	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
TERT_E2_STA101190	1290.0	1457.0	2061.0	1042.0	694.0	290.0	1599.0	1672.0	356.0	840.0	2207.0	1093.0	1582.0	1860.0	292.0	1583.0	1235.0	3415.0	1725.0	1721.0	2704.0	2250.0	1122.0	1821.0	1068.0	1001.0	1527.0	360.0	1323.0	1963.0	4361.0
TERT_E2_STA101191	447.0	806.0	1060.0	474.0	384.0	176.0	859.0	759.0	100.0	325.0	815.0	636.0	604.0	743.0	236.0	595.0	560.0	1023.0	810.0	626.0	1309.0	973.0	518.0	1192.0	624.0	395.0	581.0	221.0	727.0	1059.0	1813.0
TERT_E2_STA103246	2592.0	2500.0	3629.0	2607.0	1976.0	1052.0	3387.0	3155.0	565.0	2009.0	4801.0	2802.0	3335.0	3147.0	935.0	3950.0	3175.0	2578.0	3477.0	2987.0	6356.0	4194.0	2238.0	3073.0	2358.0	2126.0	2984.0	905.0	3267.0	4848.0	11451.0
TERT_E2_STA101193	204.0	589.0	509.0	219.0	114.0	97.0	453.0	372.0	71.0	175.0	338.0	188.0	443.0	486.0	112.0	294.0	328.0	807.0	619.0	358.0	741.0	533.0	295.0	507.0	260.0	307.0	302.0	108.0	490.0	554.0	919.0
TERT_E2_STA101812	2213.0	3477.0	4033.0	2167.0	1819.0	1058.0	2846.0	3180.0	694.0	2178.0	5605.0	2327.0	3352.0	2673.0	794.0	3586.0	3372.0	7912.0	3416.0	3589.0	6425.0	4844.0	2111.0	3459.0	2527.0	2063.0	2628.0	666.0	3689.0	4066.0	10351.0
TERT_E2_STA101811	2663.0	3815.0	5541.0	2675.0	2127.0	1269.0	4191.0	3563.0	740.0	2105.0	7888.0	2515.0	4112.0	4050.0	1213.0	4473.0	3268.0	8026.0	3763.0	3692.0	7692.0	5327.0	2712.0	4083.0	3246.0	2588.0	3406.0	1340.0	3521.0	6464.0	11536.0
TERT_E2_STA102079	2000.0	3229.0	3935.0	1842.0	1436.0	853.0	3079.0	3346.0	467.0	1543.0	4185.0	2127.0	3294.0	3603.0	715.0	3515.0	2869.0	6794.0	3063.0	3094.0	5371.0	4058.0	2505.0	3610.0	2136.0	2006.0	2640.0	833.0	2392.0	4182.0	9140.0
TERT_E2_STA101197	786.0	1859.0	1665.0	566.0	544.0	322.0	1213.0	1002.0	251.0	596.0	1368.0	1026.0	1229.0	1230.0	440.0	951.0	755.0	2648.0	1519.0	1037.0	2453.0	1679.0	675.0	1629.0	742.0	798.0	1143.0	365.0	1408.0	1883.0	3695.0
TERT_E2_STA102080	614.0	1613.0	1280.0	422.0	432.0	230.0	849.0	764.0	216.0	414.0	1008.0	719.0	895.0	1040.0	335.0	732.0	510.0	1841.0	1221.0	799.0	1759.0	1160.0	527.0	1369.0	553.0	622.0	777.0	314.0	1020.0	1247.0	2617.0
TERT_E2_STA103243	256.0	461.0	440.0	119.0	174.0	66.0	342.0	415.0	81.0	190.0	421.0	271.0	328.0	473.0	104.0	308.0	317.0	937.0	402.0	387.0	717.0	590.0	249.0	403.0	227.0	201.0	388.0	119.0	359.0	472.0	1310.0
TERT_E2_STA103247	1207.0	2123.0	2568.0	933.0	1036.0	506.0	1660.0	1919.0	405.0	828.0	2503.0	1447.0	1910.0	2093.0	378.0	1655.0	1492.0	3703.0	1675.0	2061.0	3733.0	2846.0	1398.0	2032.0	1513.0	1227.0	1828.0	492.0	1659.0	2649.0	6735.0
TERT_E2_STA102076	1566.0	2308.0	3129.0	916.0	829.0	734.0	1574.0	1439.0	328.0	940.0	3454.0	2092.0	2409.0	1518.0	809.0	2011.0	2115.0	4238.0	1536.0	2352.0	4536.0	3264.0	1219.0	2060.0	1685.0	1450.0	1931.0	650.0	2770.0	3775.0	7474.0
TERT_E2_STA101206	450.0	1035.0	1318.0	277.0	343.0	222.0	470.0	647.0	157.0	285.0	720.0	582.0	892.0	920.0	307.0	587.0	733.0	1706.0	786.0	910.0	1465.0	1238.0	420.0	756.0	621.0	597.0	578.0	262.0	628.0	1330.0	2510.0
