	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
RET_E16_STA100480	1113.0	2114.0	2204.0	1189.0	1769.0	746.0	3038.0	1714.0	238.0	1404.0	671.0	1365.0	1753.0	1268.0	847.0	1467.0	1706.0	4951.0	3429.0	1759.0	4247.0	1718.0	750.0	2672.0	2880.0	1269.0	920.0	228.0	2625.0	1745.0	2906.0
RET_E17_STA100481	483.0	729.0	895.0	541.0	756.0	126.0	1190.0	710.0	133.0	409.0	659.0	319.0	573.0	636.0	178.0	722.0	470.0	1616.0	671.0	621.0	1049.0	543.0	415.0	1022.0	711.0	248.0	269.0	85.0	476.0	524.0	997.0
RET_E17_STA100482	6996.0	11714.0	12825.0	6591.0	9743.0	2236.0	14865.0	9360.0	1651.0	5725.0	7688.0	6177.0	10565.0	9613.0	2466.0	9313.0	7523.0	22751.0	10307.0	8121.0	15087.0	7008.0	5973.0	13084.0	9561.0	4899.0	3891.0	1406.0	6768.0	7251.0	14534.0
RET_E17_STA100483	4237.0	8213.0	7238.0	3750.0	6059.0	1277.0	9129.0	5971.0	999.0	3085.0	3735.0	4334.0	6569.0	5439.0	1673.0	5189.0	3987.0	13095.0	6050.0	5281.0	9726.0	4051.0	3113.0	8612.0	5812.0	3044.0	2673.0	749.0	4053.0	4675.0	8442.0
RET_E18_STA100484	2191.0	3094.0	3990.0	2804.0	3141.0	769.0	5386.0	2848.0	662.0	2185.0	2460.0	2034.0	3244.0	2544.0	863.0	3061.0	2711.0	7469.0	3265.0	2932.0	6087.0	3077.0	1682.0	4797.0	3643.0	1612.0	1440.0	450.0	2776.0	2979.0	4777.0
RET_E18_STA100485	5664.0	7519.0	8960.0	6696.0	8369.0	2056.0	14193.0	7350.0	1042.0	6050.0	5187.0	5646.0	7828.0	6159.0	2275.0	7706.0	6968.0	19275.0	8254.0	5350.0	13521.0	6659.0	4699.0	9477.0	7485.0	3532.0	4196.0	1137.0	7513.0	6884.0	13275.0
RET_E19_STA100486	860.0	1304.0	1471.0	719.0	1313.0	276.0	1728.0	1075.0	151.0	923.0	693.0	970.0	1431.0	838.0	301.0	984.0	1106.0	2966.0	1469.0	941.0	1886.0	1026.0	713.0	1719.0	1410.0	678.0	596.0	151.0	1268.0	1000.0	1633.0
RET_E19_STA100487	4110.0	6405.0	6131.0	3728.0	5020.0	1312.0	5718.0	5861.0	922.0	3109.0	2002.0	3465.0	5391.0	4679.0	1498.0	4958.0	4142.0	10646.0	5682.0	3904.0	7973.0	3395.0	2897.0	6337.0	5268.0	2386.0	2189.0	617.0	5095.0	3364.0	8092.0
RET_E19_STA100488	1653.0	3028.0	2661.0	1741.0	2295.0	794.0	2692.0	2323.0	390.0	1495.0	673.0	1320.0	2222.0	2036.0	1055.0	1676.0	1674.0	5040.0	3819.0	1987.0	3820.0	1810.0	1709.0	3875.0	2454.0	1328.0	1111.0	354.0	2687.0	1945.0	2594.0
RET_E20_STA100489	16554.0	19026.0	19382.0	14030.0	23641.0	7115.0	20090.0	18531.0	2745.0	15769.0	7151.0	11897.0	20728.0	16135.0	7461.0	18197.0	14823.0	34524.0	26272.0	12596.0	22966.0	9459.0	12099.0	29160.0	22451.0	6859.0	8733.0	2317.0	20677.0	11531.0	22713.0
RET_E20_STA100490	14380.0	13444.0	12593.0	12277.0	20015.0	6366.0	14527.0	13802.0	2111.0	13205.0	4827.0	10170.0	16234.0	10812.0	5948.0	13893.0	12943.0	26058.0	18789.0	9581.0	22979.0	9750.0	7721.0	19020.0	18047.0	5753.0	8157.0	1907.0	18752.0	10554.0	19267.0
RET_E20_STA100491	9720.0	13750.0	11598.0	7996.0	15357.0	3952.0	10776.0	11471.0	1755.0	8985.0	4138.0	6802.0	12449.0	10510.0	5245.0	9401.0	8581.0	20899.0	16128.0	7777.0	14694.0	7017.0	6469.0	18374.0	13988.0	4481.0	5664.0	1498.0	13564.0	7424.0	15019.0
PTEN_E1_STA100492	7468.0	12144.0	7758.0	4707.0	8815.0	3627.0	9579.0	10417.0	1742.0	5873.0	2482.0	5200.0	10089.0	7304.0	3163.0	6106.0	6296.0	12757.0	10743.0	6013.0	10612.0	4957.0	4349.0	12894.0	9558.0	3713.0	3912.0	1224.0	8240.0	6003.0	12195.0
PTEN_E2_STA100493	2535.0	3028.0	2495.0	1720.0	5541.0	993.0	3462.0	2754.0	537.0	2099.0	954.0	1620.0	3364.0	1908.0	1583.0	2129.0	2836.0	4796.0	6147.0	1902.0	4040.0	1717.0	1496.0	4569.0	3979.0	1363.0	1308.0	332.0	3833.0	1881.0	2859.0
PTEN_E2_STA100494	5650.0	6425.0	4128.0	4072.0	9494.0	1793.0	6551.0	6667.0	934.0	3373.0	2602.0	2822.0	6417.0	4069.0	2213.0	4486.0	3977.0	7881.0	8582.0	2943.0	5578.0	2694.0	3681.0	9332.0	6464.0	1912.0	1768.0	699.0	6003.0	3094.0	5447.0
PTEN_E3_STA100495	9974.0	10592.0	7487.0	8220.0	17593.0	3459.0	11502.0	10169.0	1898.0	6307.0	4267.0	6275.0	12972.0	6796.0	4452.0	7914.0	8449.0	15850.0	17367.0	5539.0	10471.0	4946.0	5732.0	14767.0	12721.0	3745.0	3487.0	1131.0	12091.0	6445.0	9777.0
PTEN_E4_STA100496	14653.0	16550.0	12353.0	12059.0	28346.0	5921.0	17766.0	16734.0	2059.0	11571.0	5648.0	10518.0	18251.0	8789.0	7608.0	11830.0	12432.0	22821.0	24410.0	8169.0	17376.0	7388.0	8920.0	23466.0	19809.0	5614.0	6141.0	1690.0	19054.0	9164.0	16211.0
PTEN_E0_STA100497	7807.0	9468.0	6317.0	5913.0	12398.0	2930.0	8707.0	8872.0	1537.0	5292.0	3089.0	4306.0	9317.0	5179.0	3678.0	5759.0	5578.0	11929.0	12773.0	4023.0	7411.0	3595.0	5229.0	11672.0	10083.0	2886.0	2691.0	917.0	8410.0	4126.0	6812.0
PTEN_E5_STA100498	7517.0	8200.0	5743.0	5396.0	11256.0	2744.0	5918.0	7672.0	889.0	4932.0	2311.0	4294.0	8793.0	4113.0	2718.0	4754.0	5683.0	11696.0	13432.0	3278.0	7978.0	3776.0	3262.0	9738.0	8290.0	3613.0	3212.0	790.0	9853.0	4222.0	6770.0
PTEN_E5_STA100499	33939.0	37986.0	24657.0	21021.0	50538.0	11276.0	27499.0	37991.0	4078.0	22477.0	8483.0	17127.0	37456.0	22367.0	14139.0	28197.0	23769.0	42732.0	45140.0	15970.0	30953.0	14120.0	17443.0	43119.0	40710.0	10742.0	10665.0	3914.0	32794.0	19309.0	28713.0
PTEN_E5_STA100500	10583.0	11968.0	8538.0	7032.0	18000.0	3313.0	9481.0	11654.0	1459.0	7032.0	3094.0	6834.0	11646.0	6289.0	5489.0	8621.0	8967.0	15900.0	16696.0	5568.0	12336.0	5406.0	5510.0	15509.0	13070.0	4008.0	4342.0	1034.0	14590.0	6337.0	10893.0
PTEN_E5_STA100501	5037.0	5579.0	3699.0	3970.0	7168.0	1740.0	4748.0	5518.0	858.0	2751.0	1900.0	2282.0	4878.0	3453.0	1920.0	4033.0	3540.0	7891.0	7390.0	2447.0	4333.0	2080.0	2983.0	7506.0	5474.0	1654.0	1591.0	558.0	5156.0	2588.0	4292.0
PTEN_E6_STA100502	3028.0	3483.0	2364.0	2321.0	5735.0	1288.0	3520.0	3323.0	367.0	2761.0	782.0	2052.0	3428.0	1875.0	1600.0	2321.0	2915.0	5683.0	6694.0	1465.0	4364.0	1633.0	1617.0	4072.0	3749.0	1590.0	1428.0	437.0	5454.0	2360.0	3120.0
PTEN_E6_STA100503	6109.0	10105.0	6530.0	4973.0	11761.0	2217.0	7491.0	8277.0	1197.0	4628.0	1987.0	3752.0	7936.0	5074.0	3280.0	5154.0	5696.0	9203.0	14517.0	3972.0	7291.0	3923.0	4765.0	11715.0	9553.0	2840.0	2706.0	984.0	8124.0	3878.0	6834.0
PTEN_E6_STA100504	13879.0	12822.0	9732.0	9897.0	20385.0	4815.0	14498.0	14228.0	2105.0	9591.0	6065.0	6095.0	14713.0	8342.0	5836.0	11152.0	10436.0	20149.0	19503.0	6121.0	13032.0	6537.0	7494.0	18411.0	15972.0	5425.0	5695.0	1627.0	15134.0	7502.0	12224.0
PTEN_E7_STA100505	5934.0	5078.0	3557.0	4467.0	8868.0	2177.0	7092.0	5334.0	882.0	4348.0	2359.0	2771.0	5721.0	3524.0	2650.0	4409.0	4413.0	8735.0	8355.0	2689.0	6209.0	3099.0	3838.0	7308.0	6501.0	2388.0	2240.0	508.0	6457.0	3521.0	5842.0
PTEN_E7_STA100506	8858.0	9956.0	6646.0	6918.0	13042.0	2972.0	9081.0	10128.0	1113.0	5917.0	3254.0	4418.0	9290.0	5513.0	3564.0	7537.0	6228.0	11503.0	13222.0	4794.0	8387.0	3868.0	5325.0	13212.0	10554.0	2879.0	3314.0	835.0	8464.0	4883.0	7944.0
PTEN_E7_STA100507	3376.0	4142.0	2870.0	2751.0	5590.0	1410.0	4025.0	3625.0	509.0	2846.0	780.0	2411.0	4281.0	1866.0	1770.0	2282.0	3098.0	6743.0	7900.0	2240.0	5057.0	2899.0	1969.0	5686.0	4174.0	2056.0	1546.0	355.0	5849.0	2756.0	4604.0
PTEN_E8_STA101838	2499.0	2681.0	1847.0	1809.0	4074.0	1023.0	2367.0	2281.0	472.0	1913.0	667.0	1721.0	2751.0	1767.0	1048.0	1749.0	1937.0	4433.0	5025.0	1587.0	3650.0	1817.0	1355.0	4062.0	3157.0	1103.0	1084.0	284.0	3340.0	1631.0	3155.0
PTEN_E8_STA100509	8571.0	9827.0	6922.0	6108.0	13157.0	2913.0	9202.0	9104.0	1498.0	5862.0	3114.0	4812.0	9436.0	6569.0	4166.0	6815.0	6559.0	11876.0	14788.0	5644.0	9459.0	4245.0	6226.0	14034.0	10928.0	3649.0	2923.0	1011.0	9487.0	5354.0	9425.0
PTEN_E8_STA101829	5467.0	5987.0	3629.0	4285.0	9243.0	1920.0	5555.0	5739.0	881.0	3732.0	2137.0	3344.0	6060.0	3258.0	2004.0	4449.0	4064.0	8074.0	8708.0	2539.0	6133.0	2988.0	3342.0	7442.0	6506.0	2186.0	2410.0	616.0	6614.0	3264.0	6864.0
PTEN_E9_STA101842	11397.0	16798.0	11149.0	8110.0	17725.0	3987.0	13756.0	16060.0	1509.0	8797.0	4512.0	7215.0	14914.0	8410.0	4507.0	9405.0	8980.0	20550.0	19929.0	6088.0	12806.0	5406.0	8439.0	18818.0	14902.0	4897.0	4485.0	1222.0	11896.0	6881.0	12688.0
PTEN_E9_STA100512	1904.0	3306.0	1979.0	1469.0	2746.0	702.0	2666.0	2434.0	254.0	1440.0	349.0	1199.0	2282.0	1558.0	998.0	1600.0	1462.0	2788.0	4368.0	1127.0	2527.0	1222.0	1578.0	3622.0	2960.0	907.0	709.0	322.0	2956.0	1747.0	1953.0
PTEN_E9_STA100514	10348.0	11517.0	8783.0	7941.0	16307.0	3311.0	11467.0	12145.0	1349.0	7597.0	3866.0	6422.0	11757.0	6186.0	4331.0	9406.0	8139.0	17022.0	17238.0	5396.0	12104.0	5084.0	5397.0	15461.0	11828.0	4483.0	4059.0	1152.0	12990.0	6713.0	11034.0
FGFR2_E18_STA101332	14428.0	19354.0	13489.0	10208.0	21195.0	4213.0	14210.0	19253.0	2227.0	9342.0	5136.0	9263.0	16932.0	11550.0	5699.0	13719.0	12146.0	18287.0	22386.0	9167.0	16765.0	7970.0	8076.0	21609.0	19341.0	4445.0	7144.0	1956.0	17810.0	9757.0	16530.0
FGFR2_E17_STA101333	11205.0	15226.0	10961.0	9024.0	16296.0	4167.0	13082.0	13796.0	1809.0	8381.0	4075.0	7887.0	12783.0	10099.0	5247.0	11048.0	10130.0	15708.0	19798.0	6865.0	14458.0	6000.0	6783.0	18279.0	16419.0	4365.0	6001.0	1631.0	15186.0	8262.0	12745.0
FGFR2_E16_STA101334	2307.0	3217.0	2794.0	2054.0	4022.0	898.0	4564.0	2919.0	403.0	2760.0	1030.0	2558.0	3672.0	1794.0	1194.0	2568.0	3161.0	5534.0	4729.0	1573.0	5647.0	2329.0	1255.0	3503.0	3549.0	1523.0	1488.0	446.0	5111.0	3326.0	4286.0
FGFR2_E15_STA101335	502.0	607.0	477.0	354.0	725.0	301.0	550.0	643.0	52.0	394.0	145.0	302.0	732.0	400.0	225.0	390.0	445.0	1213.0	1427.0	466.0	919.0	634.0	295.0	929.0	619.0	281.0	331.0	65.0	1095.0	552.0	819.0
FGFR2_E14_STA101735	11421.0	14569.0	10274.0	8038.0	15777.0	2502.0	16251.0	14830.0	1521.0	5851.0	5106.0	6235.0	11038.0	6901.0	3988.0	11211.0	9820.0	18181.0	14936.0	4843.0	11579.0	4925.0	7283.0	16345.0	12236.0	4276.0	5622.0	1240.0	9545.0	6375.0	12386.0
FGFR2_E14_STA100013	15431.0	17978.0	13282.0	12362.0	22107.0	4471.0	20092.0	18894.0	2096.0	9405.0	7545.0	8381.0	15512.0	9306.0	5148.0	14357.0	13582.0	25012.0	21739.0	8239.0	18913.0	8260.0	9900.0	21607.0	17150.0	6684.0	8010.0	1642.0	14891.0	10472.0	16615.0
FGFR2_E14_STA100014	10409.0	15582.0	11175.0	10883.0	13725.0	4174.0	20299.0	12363.0	1579.0	8148.0	3251.0	6407.0	12680.0	11165.0	5790.0	9066.0	12722.0	19265.0	23884.0	6373.0	17293.0	6909.0	11256.0	21952.0	17723.0	6783.0	4277.0	1756.0	14055.0	11139.0	11853.0
FGFR2_E13_STA101336	9269.0	16010.0	12074.0	7206.0	13683.0	3659.0	13173.0	12827.0	1177.0	7503.0	3669.0	6162.0	10639.0	8207.0	4569.0	9861.0	9495.0	16626.0	17931.0	6559.0	13238.0	5468.0	6456.0	17438.0	13574.0	4534.0	4520.0	1396.0	13648.0	8214.0	12477.0
FGFR2_E12_STA100015	9173.0	15628.0	10947.0	6994.0	15063.0	3996.0	11578.0	11283.0	1599.0	7272.0	2963.0	6875.0	10490.0	8323.0	4582.0	7854.0	8531.0	14363.0	19232.0	7451.0	11906.0	5838.0	6018.0	17453.0	14757.0	3696.0	4777.0	1123.0	14041.0	7097.0	10931.0
FGFR2_E12_STA100016	8753.0	10139.0	7350.0	6763.0	13527.0	3245.0	8436.0	10675.0	1089.0	6576.0	2777.0	5997.0	10255.0	5648.0	3285.0	7363.0	7236.0	14376.0	12955.0	5676.0	11825.0	6063.0	4532.0	12120.0	11004.0	3388.0	4722.0	971.0	11827.0	6387.0	10856.0
FGFR2_E11_STA101337	28103.0	41666.0	27450.0	20510.0	45203.0	11424.0	44090.0	37897.0	4128.0	20610.0	12312.0	19321.0	31122.0	22357.0	10509.0	30394.0	23745.0	48273.0	45504.0	16583.0	36461.0	15561.0	19125.0	47616.0	39492.0	12490.0	13329.0	3690.0	32870.0	21148.0	30700.0
FGFR2_E10_STA101338	6249.0	10912.0	6819.0	4834.0	11039.0	2679.0	9450.0	8846.0	886.0	4978.0	2420.0	4414.0	8439.0	5512.0	2754.0	7099.0	6578.0	11012.0	13562.0	4745.0	8873.0	3717.0	3785.0	12047.0	8880.0	3035.0	3083.0	831.0	9312.0	4809.0	9054.0
FGFR2_E9_STA100017	9145.0	8980.0	6400.0	6737.0	13144.0	2828.0	10048.0	8818.0	1107.0	6098.0	4054.0	5544.0	9334.0	6171.0	3048.0	8886.0	7561.0	13363.0	10788.0	4829.0	11092.0	4793.0	4509.0	10606.0	9774.0	3111.0	4477.0	969.0	9383.0	6610.0	10795.0
FGFR2_E9_STA100018	1237.0	2921.0	2044.0	741.0	2489.0	577.0	2217.0	2048.0	126.0	1092.0	398.0	908.0	1822.0	1509.0	836.0	1075.0	1366.0	2644.0	3479.0	1208.0	1947.0	1024.0	1117.0	2880.0	1968.0	609.0	711.0	208.0	2243.0	1561.0	1429.0
FGFR2_E9_STA100019	12668.0	18121.0	11958.0	10303.0	21517.0	4263.0	16774.0	15368.0	2291.0	8452.0	6256.0	8149.0	13908.0	11961.0	5075.0	13550.0	11157.0	18542.0	19063.0	7703.0	16810.0	7118.0	8519.0	20060.0	16519.0	4450.0	6876.0	1936.0	14938.0	9953.0	14980.0
FGFR2_E8_STA101339	286.0	416.0	298.0	234.0	522.0	84.0	358.0	439.0	60.0	277.0	162.0	218.0	423.0	216.0	112.0	323.0	267.0	534.0	475.0	236.0	369.0	201.0	148.0	446.0	389.0	156.0	151.0	43.0	464.0	195.0	419.0
FGFR2_E7_STA100020	1420.0	1929.0	1586.0	1139.0	2485.0	533.0	1786.0	1804.0	175.0	1349.0	545.0	1168.0	1711.0	937.0	618.0	1282.0	1347.0	3155.0	2332.0	766.0	2406.0	1096.0	599.0	1788.0	1910.0	626.0	849.0	224.0	2471.0	1510.0	2006.0
FGFR2_E7_STA100021	3932.0	4915.0	3332.0	3320.0	7180.0	1408.0	5810.0	4316.0	411.0	3281.0	2295.0	2855.0	5105.0	2305.0	1306.0	3906.0	3852.0	7536.0	6386.0	2346.0	6909.0	2783.0	2165.0	5063.0	4808.0	1492.0	1886.0	452.0	5763.0	3704.0	5153.0
FGFR2_E7_STA100022	9753.0	14631.0	9492.0	9211.0	15092.0	3545.0	18588.0	14561.0	1515.0	6904.0	7005.0	6377.0	11124.0	9550.0	3793.0	11607.0	9577.0	18316.0	14468.0	6678.0	12942.0	6604.0	7527.0	16622.0	14066.0	4857.0	4866.0	1403.0	11825.0	8074.0	11960.0
FGFR2_E6_STA101340	12551.0	14720.0	10816.0	8140.0	20762.0	4354.0	11655.0	14901.0	1727.0	8721.0	3521.0	8271.0	13552.0	8257.0	5359.0	11818.0	11141.0	20480.0	18853.0	7332.0	15507.0	6883.0	5155.0	17086.0	16469.0	4713.0	6013.0	1211.0	18037.0	8571.0	13660.0
FGFR2_E5_STA101341	1985.0	3285.0	2140.0	1680.0	2742.0	470.0	2866.0	2955.0	284.0	1228.0	915.0	1130.0	2703.0	1726.0	811.0	2038.0	1729.0	3486.0	3468.0	1200.0	2779.0	1104.0	1562.0	3642.0	2719.0	1154.0	945.0	215.0	2275.0	1809.0	2499.0
FGFR2_E4_STA101342	1949.0	2996.0	1699.0	1603.0	3208.0	567.0	2311.0	3203.0	241.0	1120.0	694.0	1284.0	2202.0	1945.0	895.0	1826.0	1693.0	3029.0	2857.0	1442.0	2644.0	1257.0	1460.0	3043.0	2763.0	843.0	957.0	294.0	2397.0	1409.0	2002.0
FGFR2_E3_STA101343	13893.0	13572.0	10210.0	11116.0	20092.0	3445.0	19586.0	12447.0	1582.0	9959.0	8544.0	8790.0	13446.0	8599.0	4148.0	15245.0	12899.0	20885.0	15120.0	6727.0	18132.0	7927.0	6755.0	14415.0	14924.0	4591.0	5609.0	1496.0	14146.0	11309.0	16459.0
FGFR2_E2_STA101344	4437.0	4860.0	3954.0	3548.0	6202.0	1368.0	5735.0	4396.0	551.0	3531.0	1756.0	3265.0	5054.0	2677.0	1298.0	4349.0	4196.0	7520.0	6001.0	2650.0	6905.0	3191.0	2088.0	5732.0	5001.0	1986.0	2561.0	592.0	6302.0	3678.0	7236.0
HRAS_E4_STA100023	1965.0	3169.0	2632.0	2020.0	2393.0	1132.0	4671.0	2384.0	562.0	1931.0	3037.0	1195.0	2228.0	2815.0	641.0	2710.0	1983.0	3262.0	495.0	2441.0	5531.0	2378.0	1815.0	2418.0	1687.0	1303.0	2233.0	438.0	1318.0	2249.0	3367.0
HRAS_E4_STA101605	4795.0	6164.0	6478.0	5251.0	6387.0	2998.0	11714.0	4605.0	1179.0	5411.0	9880.0	3121.0	5447.0	5922.0	1170.0	5776.0	4891.0	8160.0	2553.0	5436.0	12763.0	5882.0	3251.0	5522.0	4524.0	3192.0	5207.0	916.0	2755.0	5456.0	7966.0
HRAS_E4_STA100025	1131.0	2137.0	2062.0	1794.0	1502.0	1168.0	3878.0	1474.0	359.0	1603.0	2412.0	984.0	1548.0	2549.0	420.0	1756.0	1543.0	2842.0	1047.0	2107.0	3826.0	2222.0	1869.0	1692.0	1304.0	1388.0	1557.0	242.0	1056.0	2063.0	2007.0
HRAS_E3_STA100026	667.0	1258.0	1092.0	683.0	938.0	544.0	1804.0	590.0	237.0	926.0	715.0	495.0	904.0	812.0	258.0	803.0	625.0	1614.0	414.0	764.0	2784.0	1139.0	679.0	808.0	663.0	693.0	962.0	225.0	966.0	1194.0	1171.0
HRAS_E3_STA100027	638.0	768.0	901.0	586.0	993.0	557.0	1647.0	607.0	184.0	890.0	794.0	492.0	749.0	746.0	200.0	668.0	628.0	1142.0	429.0	675.0	2202.0	1010.0	444.0	577.0	601.0	488.0	934.0	217.0	736.0	1073.0	1031.0
HRAS_E2_STA100028	1060.0	1496.0	1419.0	1085.0	1364.0	949.0	2851.0	864.0	342.0	1243.0	1528.0	822.0	1298.0	1216.0	409.0	1269.0	1229.0	2123.0	699.0	1389.0	3365.0	1646.0	1122.0	1162.0	986.0	1136.0	1309.0	254.0	928.0	1743.0	1910.0
HRAS_E2_STA100029	3514.0	5830.0	5255.0	3458.0	4341.0	2414.0	8085.0	4517.0	1088.0	3562.0	6273.0	2154.0	5137.0	5581.0	1460.0	4709.0	3895.0	5549.0	2642.0	3648.0	9448.0	4569.0	3459.0	4173.0	2869.0	2718.0	4020.0	787.0	3005.0	4416.0	5970.0
KRAS_E4_STA101627	13094.0	12689.0	10837.0	4811.0	34444.0	4705.0	13882.0	13246.0	1573.0	22334.0	5421.0	7455.0	17721.0	6646.0	4645.0	13631.0	16197.0	11710.0	20346.0	7407.0	15574.0	8571.0	7426.0	19152.0	16343.0	3986.0	11039.0	1471.0	12548.0	9162.0	21022.0
KRAS_E4_STA100031	10879.0	12706.0	10366.0	4118.0	24990.0	4541.0	12264.0	12586.0	1893.0	18754.0	4379.0	5584.0	14684.0	7758.0	4341.0	13142.0	14216.0	9659.0	20484.0	6477.0	13079.0	6915.0	8990.0	16962.0	14257.0	4060.0	9612.0	1565.0	11632.0	7046.0	16705.0
KRAS_E3_STA101630	2300.0	4000.0	2774.0	1004.0	6799.0	1391.0	2872.0	3473.0	385.0	4716.0	798.0	1506.0	4048.0	1828.0	1200.0	2975.0	3198.0	2814.0	4875.0	1701.0	3876.0	1930.0	2169.0	4619.0	3668.0	1019.0	2307.0	582.0	3158.0	2028.0	4772.0
KRAS_E3_STA100033	22081.0	29365.0	23717.0	8180.0	54501.0	10124.0	27561.0	28881.0	2972.0	47278.0	9447.0	14511.0	30826.0	16394.0	9968.0	28706.0	33126.0	21645.0	39794.0	13258.0	29658.0	15105.0	18613.0	38072.0	33191.0	9248.0	20492.0	3724.0	24987.0	17674.0	38111.0
KRAS_E3_STA100034	6548.0	7344.0	5912.0	3494.0	15178.0	3480.0	7176.0	6834.0	904.0	14876.0	2967.0	4475.0	7961.0	4633.0	2422.0	7435.0	9000.0	7492.0	10455.0	3441.0	9501.0	4782.0	5252.0	9992.0	8538.0	2617.0	7591.0	1025.0	7879.0	5666.0	11191.0
KRAS_E3_STA100035	13899.0	13485.0	11381.0	5128.0	29162.0	6240.0	12934.0	14631.0	1928.0	30686.0	6085.0	8176.0	16332.0	7750.0	4709.0	18976.0	20360.0	12642.0	20482.0	6933.0	17974.0	8181.0	9504.0	18991.0	17547.0	5234.0	13855.0	1951.0	13897.0	9292.0	22471.0
KRAS_E2_STA100036	3310.0	3355.0	2863.0	1239.0	7846.0	1396.0	3416.0	3682.0	348.0	6813.0	1290.0	2049.0	3924.0	1594.0	1168.0	3653.0	4768.0	3197.0	5460.0	1905.0	4072.0	2382.0	2045.0	5185.0	4182.0	1034.0	3802.0	470.0	3675.0	2028.0	5633.0
KRAS_E2_STA101625	6206.0	6079.0	5602.0	2485.0	13052.0	3026.0	6358.0	8070.0	1102.0	11818.0	2497.0	3003.0	7319.0	4615.0	1838.0	7228.0	7595.0	5641.0	9866.0	3302.0	6180.0	3714.0	5237.0	9911.0	7282.0	2083.0	5991.0	616.0	6014.0	3856.0	9602.0
BRCA2_E2_STA100515	2806.0	2906.0	3401.0	8459.0	12097.0	3226.0	3445.0	396.0	533.0	2120.0	2129.0	1864.0	2711.0	2107.0	3233.0	3139.0	3875.0	4646.0	8854.0	3853.0	9112.0	2940.0	4700.0	5713.0	4091.0	1719.0	5401.0	370.0	2468.0	2967.0	6202.0
BRCA2_E3_STA100516	18027.0	14868.0	16257.0	24307.0	48025.0	8058.0	22345.0	11095.0	2302.0	12640.0	8221.0	9049.0	20252.0	10162.0	9800.0	10437.0	15461.0	15857.0	22283.0	9065.0	29892.0	7601.0	10616.0	20596.0	21820.0	6896.0	13225.0	2107.0	15249.0	10328.0	19160.0
BRCA2_E3_STA100517	10976.0	12511.0	9269.0	12164.0	25476.0	4745.0	9995.0	13455.0	1359.0	6318.0	3840.0	4621.0	11262.0	7689.0	5971.0	6163.0	6832.0	8297.0	14941.0	6373.0	14612.0	4562.0	7507.0	10390.0	12946.0	4150.0	7766.0	1322.0	7952.0	6300.0	10075.0
BRCA2_E3_STA101751	16561.0	14425.0	11067.0	20306.0	34973.0	6767.0	14935.0	17804.0	2034.0	9692.0	4849.0	7832.0	17360.0	9007.0	7177.0	8092.0	10410.0	12448.0	19941.0	8409.0	25320.0	7338.0	7515.0	14393.0	16839.0	5506.0	11554.0	1489.0	13703.0	9080.0	17627.0
BRCA2_E3_STA100519	14386.0	11676.0	9906.0	15620.0	29819.0	6154.0	14073.0	14208.0	2192.0	8204.0	5949.0	5308.0	14139.0	8059.0	6844.0	8091.0	9819.0	10309.0	16080.0	6867.0	19701.0	5809.0	6912.0	11736.0	16229.0	4219.0	9477.0	1600.0	11653.0	7714.0	13072.0
BRCA2_E4_STA100520	4762.0	5746.0	4610.0	6222.0	10747.0	1896.0	6842.0	5892.0	823.0	2482.0	1942.0	2385.0	5236.0	3968.0	2684.0	2234.0	3662.0	4157.0	6718.0	3170.0	8029.0	2286.0	4109.0	6181.0	5722.0	1859.0	3814.0	781.0	3954.0	3553.0	5390.0
BRCA2_E4_STA100521	2035.0	2171.0	1757.0	2859.0	5016.0	1123.0	3044.0	1989.0	282.0	1279.0	634.0	1230.0	2441.0	1069.0	919.0	1000.0	1707.0	2141.0	3754.0	1244.0	4141.0	1304.0	1414.0	1867.0	2621.0	1007.0	1650.0	187.0	2136.0	1632.0	2492.0
BRCA2_E5_STA100522	3894.0	5281.0	4186.0	6361.0	9858.0	2006.0	6550.0	5123.0	599.0	2548.0	1750.0	2189.0	4420.0	3139.0	2101.0	2910.0	2890.0	3921.0	6854.0	2792.0	6921.0	1871.0	3370.0	5080.0	5746.0	1631.0	2710.0	717.0	3949.0	2675.0	4505.0
BRCA2_E6_STA100523	10894.0	9673.0	9466.0	13973.0	27300.0	4741.0	13177.0	10949.0	1644.0	7061.0	4620.0	5121.0	11119.0	5667.0	6600.0	5025.0	8065.0	9840.0	15598.0	6266.0	17517.0	5602.0	6708.0	11675.0	12996.0	4444.0	7354.0	998.0	9217.0	7271.0	10725.0
BRCA2_E7_STA100524	13576.0	10179.0	9200.0	17105.0	25571.0	5136.0	14201.0	11947.0	1586.0	7918.0	5263.0	5985.0	11594.0	6946.0	6669.0	6878.0	8508.0	9452.0	15803.0	7099.0	18307.0	4569.0	6424.0	11661.0	14784.0	4160.0	7180.0	1672.0	9191.0	7412.0	11031.0
