	C21D00633	D21D00614T	D21D00615T	D21D00631T	D21D00632T	D21D00635	D21D00644T	D21D00647T	D21D00654T	M21D00642	M21D00670	M21D00671	M21D00673	M21D00676	N21D00620	N21D00643	N21D00645	N21D00657	N21D00675	P21D00617	P21D00634	P21D00636	P21D00639	P21D00640	P21D00641	P21D00646	P21D00651	P21D00661	P21D00669	P21D00674	P21D00678	P21D00679
BRCA2_E3_STA100516	6729.0	21986.0	21350.0	3072.0	31314.0	22410.0	38236.0	23472.0	20365.0	15418.0	7172.0	7906.0	2948.0	17853.0	36080.0	10348.0	14831.0	27329.0	17469.0	6690.0	3789.0	28518.0	6091.0	15770.0	9754.0	5458.0	17625.0	14358.0	9867.0	29153.0	18394.0	11967.0
BRCA2_E3_STA100517	3116.0	12352.0	12822.0	1755.0	22358.0	10676.0	18914.0	11882.0	10418.0	8936.0	5035.0	4182.0	1475.0	8890.0	20048.0	6049.0	9135.0	18107.0	9030.0	3733.0	1772.0	15667.0	3707.0	10828.0	5846.0	2832.0	9611.0	8779.0	5971.0	16996.0	9725.0	6781.0
BRCA2_E3_STA101751	2522.0	16742.0	19322.0	2151.0	26504.0	14808.0	34210.0	20314.0	17576.0	13425.0	9003.0	7146.0	2294.0	14213.0	31005.0	9360.0	12620.0	25265.0	14743.0	6320.0	2973.0	26769.0	5374.0	13073.0	6679.0	4241.0	15818.0	11359.0	9267.0	25597.0	18487.0	11532.0
BRCA2_E3_STA100519	4168.0	15165.0	15669.0	2108.0	21328.0	14594.0	24342.0	15068.0	11804.0	11144.0	6110.0	5110.0	1948.0	10263.0	21564.0	8308.0	10074.0	16962.0	10600.0	4364.0	2701.0	17775.0	4562.0	11103.0	6728.0	3290.0	10079.0	8569.0	6706.0	17829.0	11594.0	7621.0
BRCA2_E4_STA100520	1459.0	5590.0	5064.0	754.0	9452.0	4287.0	8791.0	5187.0	4286.0	3913.0	2041.0	1536.0	519.0	3718.0	9621.0	2366.0	4209.0	8004.0	4198.0	1458.0	876.0	6670.0	1629.0	5254.0	2206.0	1202.0	3668.0	3514.0	2483.0	8323.0	4252.0	2734.0
BRCA2_E4_STA100521	376.0	2065.0	2441.0	238.0	3358.0	2031.0	5137.0	3348.0	2749.0	1322.0	947.0	877.0	170.0	1866.0	4734.0	1162.0	1933.0	3640.0	2164.0	684.0	489.0	4047.0	753.0	1575.0	834.0	555.0	2477.0	1524.0	1163.0	2703.0	2536.0	1562.0
BRCA2_E5_STA100522	1687.0	4067.0	3771.0	854.0	8082.0	3801.0	7041.0	3954.0	3597.0	3022.0	1526.0	1355.0	441.0	2920.0	7334.0	1776.0	3449.0	7090.0	3490.0	1088.0	801.0	4923.0	1404.0	4301.0	1549.0	1081.0	3209.0	3119.0	2185.0	6233.0	3559.0	2186.0
BRCA2_E6_STA100523	3526.0	12118.0	12428.0	1714.0	16866.0	11817.0	21736.0	12726.0	10569.0	9372.0	4393.0	4116.0	717.0	8919.0	20477.0	5855.0	8693.0	14613.0	8788.0	3701.0	2341.0	16987.0	3255.0	7848.0	5001.0	2346.0	8594.0	6876.0	5762.0	14152.0	10545.0	6109.0
BRCA2_E7_STA100524	3598.0	13076.0	13684.0	1982.0	16974.0	12860.0	22983.0	14150.0	10588.0	9909.0	4556.0	4788.0	1031.0	9331.0	20860.0	6529.0	8780.0	13695.0	9554.0	4198.0	2328.0	16149.0	3985.0	8980.0	5818.0	2912.0	10100.0	8298.0	6819.0	15686.0	11542.0	6605.0
BRCA2_E7_STA100525	3195.0	10197.0	9996.0	1526.0	18800.0	9503.0	16171.0	9921.0	8909.0	7793.0	3168.0	3452.0	1753.0	6949.0	16186.0	4739.0	7639.0	13264.0	7740.0	2811.0	1586.0	11045.0	2741.0	7832.0	4022.0	2176.0	6345.0	6787.0	5252.0	14666.0	7968.0	6013.0
