	C21D01093	D21D01026T	D21D01032T	D21D01039T	D21D01059T	D21D01061T	D21D01081	D21D01082	D21D01087T	D21D01090	D21D01094T	D21D01102T	E21D01053T	M21D01116	N19D01411	N21D01072	N21D01084	N21D01085	N21D01113	O21D01018T	P21D01091M	P21D01092M	P21D01098	P21D01099	P21D01104	T21D01047	U21D01089	U21D01103	X21D01017	X21D01086	X21D01095
ALK_E7_STA101382	6740.0	7991.0	15946.0	13458.0	11690.0	1747.0	10873.0	8907.0	24917.0	3391.0	24415.0	6563.0	16478.0	18419.0	6094.0	936.0	10343.0	5325.0	8284.0	1979.0	11903.0	4273.0	10180.0	15693.0	15086.0	1872.0	8395.0	6361.0	8836.0	76647.0	21125.0
ALK_E6_STA101383	4219.0	5806.0	10973.0	10469.0	8604.0	1014.0	7047.0	6970.0	17247.0	1988.0	13462.0	3853.0	14644.0	14633.0	3752.0	648.0	7560.0	4588.0	5431.0	1766.0	9795.0	2897.0	5098.0	8926.0	10296.0	1076.0	4799.0	4795.0	6716.0	58447.0	12457.0
ALK_E5_STA101384	7528.0	6491.0	12389.0	13692.0	11401.0	2845.0	13302.0	10251.0	27510.0	3480.0	25228.0	6927.0	17524.0	18773.0	6422.0	1285.0	10016.0	6069.0	10266.0	3220.0	11932.0	5262.0	10500.0	15159.0	16382.0	2647.0	7910.0	6372.0	9807.0	75905.0	24353.0
ALK_E4_STA101385	1215.0	937.0	1847.0	2820.0	1370.0	174.0	1640.0	1817.0	4727.0	486.0	4410.0	741.0	3029.0	2412.0	916.0	141.0	1483.0	910.0	1231.0	281.0	1958.0	656.0	1733.0	2314.0	1995.0	343.0	1346.0	1036.0	1257.0	9329.0	3230.0
ALK_E3_STA101640	9177.0	10482.0	18836.0	17582.0	17040.0	2149.0	10458.0	11913.0	29689.0	4222.0	28476.0	5578.0	27706.0	23259.0	7257.0	1199.0	13957.0	6765.0	10750.0	2765.0	19351.0	4562.0	11566.0	23399.0	19023.0	2025.0	8334.0	7413.0	11750.0	107114.0	25672.0
ALK_E2_STA101387	3919.0	3141.0	6869.0	6668.0	4569.0	1543.0	4715.0	4692.0	13073.0	1653.0	12748.0	2228.0	7727.0	8561.0	1978.0	604.0	3935.0	2583.0	3778.0	914.0	7275.0	2124.0	6830.0	9004.0	7300.0	584.0	3951.0	2417.0	3512.0	27555.0	10844.0
ALK_E1_STA101388	2060.0	1932.0	3860.0	3633.0	4121.0	274.0	3810.0	3201.0	9481.0	781.0	7206.0	1417.0	5318.0	5843.0	1724.0	324.0	2227.0	2073.0	2078.0	938.0	4585.0	1435.0	2611.0	4274.0	4843.0	643.0	2922.0	2020.0	3169.0	25352.0	7637.0
ALK_E1_STA102007	27.0	5.0	25.0	21.0	13.0	2.0	16.0	19.0	82.0	9.0	78.0	16.0	28.0	57.0	6.0	1.0	7.0	2.0	27.0	4.0	76.0	26.0	25.0	74.0	63.0	4.0	29.0	15.0	14.0	79.0	56.0
IDH1_E4_STA100131	4034.0	6394.0	10596.0	10078.0	7875.0	3219.0	6543.0	6769.0	14111.0	2345.0	14584.0	3450.0	12633.0	12153.0	2576.0	899.0	6511.0	4441.0	5055.0	1673.0	7904.0	2885.0	8661.0	13410.0	8125.0	1078.0	4698.0	2554.0	4480.0	40358.0	9371.0
IDH1_E4_STA100132	5170.0	4741.0	10901.0	10474.0	7390.0	2213.0	7580.0	8218.0	18333.0	2979.0	16866.0	4241.0	10997.0	12786.0	3727.0	702.0	4898.0	4011.0	5642.0	1708.0	7704.0	2474.0	9686.0	11693.0	11050.0	1126.0	5388.0	3392.0	4297.0	33284.0	10573.0
