	D20D02433	D20D02436T	D20D02444	D20D02445T	G20D02417	G20D02460	K20D02437	M20D02448	M20D02474	N20D02449	N20D02451	N20D02452	P20D02439	P20D02450	P20D02453	P20D02454	P20D02455	P20D02456	P20D02459	P20D02464	P20D02465	P20D02469	P20D02471	S20D02363	S20D02435	S20D02473	T20D02402	U20D02442	U20D02443	X20D02423	X20D02457
ERBB2_E0_STA101633	2066.0	1157.0	1537.0	2154.0	461.0	4169.0	234.0	701.0	2025.0	300.0	1512.0	2941.0	2454.0	3194.0	3028.0	650.0	2336.0	1089.0	653.0	2407.0	5496.0	1824.0	1577.0	568.0	38383.0	192.0	510.0	52.0	1343.0	10253.0	2896.0
ERBB2_E5_STA101346	2994.0	1787.0	2649.0	3842.0	615.0	4836.0	251.0	1050.0	2181.0	274.0	1905.0	3718.0	2938.0	4151.0	3533.0	903.0	2807.0	1527.0	957.0	3384.0	6543.0	2495.0	2241.0	629.0	56812.0	132.0	724.0	116.0	1602.0	11672.0	3366.0
ERBB2_E6_STA101347	733.0	286.0	477.0	593.0	180.0	765.0	74.0	233.0	628.0	139.0	408.0	672.0	576.0	1040.0	778.0	206.0	639.0	363.0	248.0	782.0	1268.0	482.0	469.0	157.0	9059.0	74.0	181.0	22.0	318.0	3408.0	521.0
ERBB2_E7_STA101348	15160.0	8395.0	11420.0	14929.0	3340.0	22992.0	1411.0	4098.0	10016.0	874.0	8763.0	15944.0	12904.0	15907.0	16212.0	3792.0	12818.0	6213.0	4826.0	13185.0	27947.0	11574.0	9005.0	2217.0	293734.0	959.0	3311.0	341.0	8375.0	77959.0	13785.0
ERBB2_E8_STA101349	7914.0	4109.0	5059.0	6211.0	1293.0	9295.0	582.0	2304.0	4766.0	740.0	3632.0	6990.0	5662.0	8017.0	6849.0	1721.0	5741.0	2880.0	1700.0	6541.0	13504.0	5429.0	3428.0	874.0	129257.0	391.0	1413.0	223.0	3631.0	40114.0	5760.0
ERBB2_E9_STA101350	8026.0	4651.0	6666.0	9944.0	1791.0	12124.0	698.0	2260.0	5391.0	509.0	4874.0	10025.0	7334.0	10549.0	8124.0	1963.0	8321.0	3641.0	2245.0	7675.0	15325.0	6188.0	5690.0	1092.0	143767.0	659.0	2267.0	224.0	4068.0	30585.0	9252.0
ERBB2_E10_STA101351	19861.0	12005.0	15232.0	18454.0	4339.0	30584.0	1556.0	7346.0	14561.0	1654.0	10184.0	21644.0	18264.0	23100.0	22901.0	5352.0	17085.0	8719.0	6091.0	18675.0	35821.0	14165.0	10099.0	3132.0	406305.0	1148.0	5252.0	733.0	11113.0	101032.0	19492.0
ERBB2_E11_STA101352	3354.0	2107.0	1847.0	3164.0	880.0	5157.0	312.0	1218.0	2674.0	294.0	1896.0	3535.0	2996.0	3678.0	4167.0	1031.0	3040.0	1839.0	1331.0	3099.0	5631.0	2216.0	1611.0	524.0	68093.0	199.0	905.0	77.0	1903.0	14550.0	3839.0
ERBB2_E13_STA101354	545.0	285.0	377.0	506.0	182.0	1339.0	27.0	209.0	518.0	84.0	392.0	735.0	671.0	832.0	949.0	214.0	747.0	332.0	236.0	662.0	1214.0	495.0	427.0	95.0	11849.0	38.0	166.0	22.0	430.0	2736.0	633.0
ERBB2_E14_STA101355	7202.0	4129.0	5798.0	7612.0	1645.0	12079.0	709.0	2190.0	4363.0	665.0	5228.0	9317.0	5674.0	9099.0	7896.0	1917.0	6147.0	3801.0	2059.0	6944.0	13634.0	6404.0	3937.0	1156.0	129132.0	692.0	1967.0	306.0	4297.0	30183.0	8794.0
ERBB2_E15_STA101356	10483.0	5436.0	6921.0	9243.0	2561.0	18116.0	1081.0	2951.0	8360.0	657.0	6398.0	11630.0	11117.0	16884.0	15148.0	2928.0	13131.0	5340.0	3405.0	11848.0	22264.0	8703.0	7376.0	1587.0	204258.0	876.0	2306.0	491.0	6807.0	54014.0	12065.0
ERBB2_E16_STA101357	1571.0	1026.0	1430.0	2440.0	500.0	4137.0	151.0	584.0	1369.0	215.0	1679.0	2801.0	2192.0	3431.0	2982.0	671.0	2356.0	948.0	719.0	2566.0	4001.0	2225.0	1984.0	397.0	32858.0	178.0	591.0	104.0	1085.0	7326.0	3085.0
ERBB2_E17_STA101642	2258.0	1091.0	1455.0	2267.0	353.0	3563.0	126.0	722.0	1598.0	206.0	1135.0	2307.0	2270.0	2956.0	2103.0	596.0	2283.0	929.0	648.0	2515.0	3855.0	1501.0	1287.0	182.0	54635.0	124.0	445.0	60.0	1105.0	11816.0	2352.0
ERBB2_E18_STA101359	10851.0	6942.0	9543.0	14032.0	2784.0	16789.0	930.0	4190.0	8612.0	619.0	6193.0	12165.0	9380.0	13109.0	13499.0	3748.0	11005.0	4135.0	4668.0	9466.0	19333.0	8908.0	6530.0	2260.0	233810.0	758.0	3008.0	387.0	6664.0	45624.0	13716.0
ERBB2_E19_STA101360	7650.0	4614.0	5677.0	9087.0	2258.0	14481.0	593.0	2987.0	6000.0	484.0	4607.0	9626.0	7122.0	10258.0	10480.0	2043.0	7211.0	4073.0	2873.0	8335.0	14422.0	7157.0	4847.0	1431.0	152689.0	518.0	1957.0	445.0	3922.0	30941.0	9219.0
ERBB2_E20_STA101645	13029.0	6143.0	7398.0	10613.0	2178.0	14884.0	1025.0	3739.0	8163.0	1062.0	5367.0	12017.0	9595.0	12348.0	12540.0	2573.0	9664.0	4784.0	3209.0	10203.0	19875.0	8542.0	5430.0	1610.0	266878.0	849.0	2452.0	368.0	7071.0	61263.0	11224.0
ERBB2_E21_STA101362	819.0	865.0	652.0	1970.0	354.0	2766.0	58.0	408.0	523.0	102.0	1425.0	1002.0	1329.0	2047.0	928.0	288.0	753.0	479.0	472.0	841.0	1951.0	1115.0	1306.0	228.0	17955.0	86.0	296.0	39.0	419.0	3030.0	1692.0
ERBB2_E22_STA101613	12173.0	6023.0	7478.0	10571.0	3367.0	20873.0	1367.0	3274.0	10950.0	682.0	7959.0	14389.0	12693.0	19853.0	16951.0	4212.0	13006.0	6413.0	3305.0	14048.0	26594.0	10538.0	8501.0	2029.0	252519.0	739.0	3050.0	507.0	8032.0	64986.0	11506.0
ERBB2_E22_STA100071	11167.0	5301.0	8543.0	12984.0	2511.0	20409.0	955.0	3640.0	9341.0	513.0	6536.0	14568.0	11837.0	18375.0	15223.0	3219.0	11281.0	6071.0	3465.0	12240.0	21024.0	10206.0	7555.0	1512.0	237580.0	585.0	2857.0	296.0	6699.0	56880.0	13497.0
ERBB2_E23_STA100072	4610.0	2498.0	3139.0	4204.0	973.0	7243.0	276.0	1457.0	3088.0	323.0	2541.0	4714.0	4164.0	5342.0	4866.0	1342.0	4086.0	2031.0	1165.0	4618.0	8749.0	3065.0	2435.0	637.0	107525.0	292.0	1078.0	163.0	2414.0	21534.0	4584.0
ERBB2_E23_STA100073	7365.0	3646.0	4816.0	6356.0	1599.0	10526.0	484.0	1963.0	4156.0	357.0	3661.0	8217.0	6377.0	8607.0	8162.0	1688.0	5702.0	3371.0	1771.0	6302.0	13234.0	4852.0	3743.0	849.0	144731.0	451.0	1433.0	263.0	3703.0	28161.0	6460.0
ERBB2_E23_STA100074	572.0	274.0	352.0	666.0	123.0	1334.0	66.0	269.0	485.0	41.0	395.0	955.0	608.0	979.0	982.0	255.0	729.0	258.0	141.0	662.0	1318.0	513.0	514.0	102.0	11461.0	45.0	182.0	22.0	366.0	1886.0	873.0
