	19T10717	19T18091	20T33159	D20D02352	E20D02359T	M20D02354	N20D02344	N20D02353	P20D02335	P20D02348	P20D02350	P20D02355	P20D02360	U20D02340	X20D02334	X20D02342	X20D02365
ALK_E29_STA100104	6044.0	9435.0	12519.0	5298.0	35211.0	38487.0	1449.0	30780.0	34446.0	12091.0	4279.0	6433.0	5836.0	11874.0	26854.0	14236.0	21726.0
ALK_E29_STA100105	8339.0	6914.0	13417.0	5840.0	44281.0	26529.0	2555.0	32047.0	32186.0	18145.0	3883.0	7887.0	9554.0	9433.0	33888.0	17754.0	18200.0
ALK_E29_STA100106	7756.0	11174.0	14702.0	6560.0	43629.0	40928.0	2090.0	33518.0	35783.0	16553.0	6336.0	5922.0	8632.0	12122.0	32564.0	15886.0	24467.0
ALK_E29_STA100107	8267.0	10440.0	15987.0	5444.0	47115.0	48503.0	2279.0	39865.0	52007.0	13769.0	6641.0	8086.0	7926.0	15330.0	33877.0	17140.0	27988.0
ALK_E29_STA100108	7942.0	10590.0	16451.0	6522.0	43313.0	47718.0	2337.0	39484.0	49126.0	17714.0	6199.0	7845.0	8321.0	14950.0	36405.0	16544.0	30370.0
ALK_E29_STA100109	8739.0	13073.0	17230.0	7330.0	50190.0	44238.0	3035.0	42947.0	46715.0	20773.0	6522.0	9604.0	12678.0	15437.0	44440.0	22191.0	30807.0
ALK_E29_STA101369	2239.0	4149.0	5445.0	2299.0	11590.0	13230.0	626.0	10669.0	11804.0	5774.0	1942.0	2552.0	2790.0	5065.0	10335.0	5994.0	7554.0
ALK_E28_STA100110	7474.0	10412.0	14675.0	10108.0	60721.0	46800.0	3542.0	33750.0	39714.0	23025.0	11245.0	17981.0	12657.0	17908.0	39275.0	27088.0	27393.0
ALK_E28_STA100111	5248.0	8341.0	12055.0	5799.0	42180.0	31712.0	1988.0	26440.0	29943.0	14991.0	8006.0	10007.0	7889.0	10796.0	26862.0	17294.0	23996.0
ALK_E28_STA100112	4966.0	7684.0	12016.0	5810.0	28068.0	32098.0	1450.0	27168.0	30706.0	14130.0	7122.0	9311.0	9096.0	10889.0	25675.0	13909.0	24173.0
ALK_E27_STA101615	3189.0	3597.0	5640.0	3010.0	18241.0	16334.0	870.0	13384.0	16679.0	6128.0	2883.0	4157.0	2961.0	5858.0	12579.0	6638.0	8768.0
ALK_E27_STA100114	2620.0	4209.0	5665.0	2586.0	18309.0	16349.0	750.0	13047.0	13336.0	7784.0	3000.0	4014.0	5247.0	3981.0	12066.0	5867.0	12589.0
ALK_E27_STA100115	4045.0	5272.0	7013.0	3560.0	28116.0	23286.0	1543.0	19589.0	21822.0	11349.0	4144.0	6472.0	6926.0	7109.0	17263.0	9544.0	15179.0
ALK_E26_STA100116	1374.0	2016.0	3071.0	1451.0	9897.0	9857.0	432.0	9292.0	12049.0	3346.0	1917.0	2681.0	1721.0	3770.0	6551.0	3545.0	5299.0
ALK_E26_STA100117	3512.0	6044.0	7411.0	3415.0	28774.0	23603.0	1195.0	24004.0	24350.0	8087.0	4747.0	6342.0	5485.0	9229.0	18582.0	9423.0	16260.0
ALK_E25_STA100118	4676.0	5463.0	8560.0	3626.0	32598.0	25008.0	1314.0	21201.0	24445.0	11556.0	4502.0	4717.0	6089.0	8688.0	20843.0	10376.0	16761.0
ALK_E25_STA100119	1932.0	3530.0	5372.0	2017.0	12110.0	13939.0	547.0	10750.0	13035.0	5676.0	2516.0	2850.0	2995.0	4238.0	11610.0	3026.0	8473.0
ALK_E24_STA100120	4470.0	4974.0	9176.0	3742.0	23569.0	22931.0	1236.0	17547.0	22936.0	10919.0	3279.0	3552.0	3246.0	7872.0	19207.0	10262.0	12521.0
ALK_E24_STA100121	7456.0	8754.0	14683.0	6575.0	42650.0	42041.0	2299.0	33290.0	41426.0	20626.0	5158.0	4928.0	8534.0	12335.0	34495.0	15589.0	27731.0
ALK_E24_STA100122	2534.0	3329.0	5330.0	2122.0	16700.0	14746.0	891.0	10722.0	15156.0	7088.0	2046.0	1742.0	2634.0	4717.0	11512.0	6008.0	8826.0
ALK_E23_STA100123	1345.0	2001.0	3029.0	1284.0	5343.0	11543.0	403.0	5963.0	9904.0	3936.0	1215.0	1196.0	1644.0	3170.0	7909.0	2826.0	5491.0
ALK_E23_STA100124	4114.0	5093.0	8487.0	3390.0	28452.0	23676.0	1197.0	17405.0	24006.0	11498.0	2727.0	3533.0	4067.0	8904.0	20502.0	10115.0	18204.0
ALK_E22_STA100125	744.0	898.0	942.0	522.0	2509.0	4062.0	133.0	2330.0	3094.0	1392.0	502.0	369.0	807.0	1084.0	2944.0	1175.0	2998.0
ALK_E21_STA100126	2545.0	3496.0	5770.0	2067.0	15564.0	16582.0	729.0	11140.0	14541.0	5849.0	1897.0	1746.0	1859.0	4971.0	12970.0	5429.0	9500.0
ALK_E20_STA101611	1305.0	1710.0	2317.0	791.0	7486.0	8453.0	430.0	4902.0	7313.0	2531.0	834.0	839.0	922.0	2350.0	5896.0	2586.0	4727.0
ALK_E20_STA100128	5250.0	6104.0	10151.0	4241.0	28412.0	21310.0	1915.0	27265.0	36770.0	15672.0	2479.0	4877.0	7208.0	6219.0	25314.0	10622.0	20547.0
ALK_E20_STA100129	13812.0	15276.0	26483.0	10882.0	73081.0	69250.0	4457.0	52344.0	68396.0	37453.0	10594.0	8857.0	11242.0	20752.0	59081.0	26255.0	51170.0
ALK_E20_STA100130	6082.0	6418.0	9815.0	5121.0	32849.0	34262.0	2048.0	19642.0	28894.0	15716.0	4101.0	4120.0	5767.0	9110.0	26489.0	11298.0	25808.0
ALK_E19_STA101370	7303.0	9463.0	14045.0	6018.0	30489.0	36870.0	1889.0	23216.0	38607.0	17369.0	4536.0	3178.0	4929.0	12266.0	30391.0	14504.0	22817.0
ALK_E18_STA101371	3124.0	4274.0	6800.0	2494.0	14546.0	14605.0	1048.0	9527.0	12292.0	8574.0	1800.0	1630.0	2446.0	4174.0	12333.0	5474.0	10715.0
ALK_E17_STA101372	7135.0	9961.0	16657.0	5497.0	33572.0	34202.0	2081.0	28240.0	35574.0	17562.0	3430.0	4476.0	5304.0	11847.0	35138.0	15157.0	28407.0
ALK_E15_STA101374	3900.0	4928.0	7457.0	2737.0	18924.0	20551.0	1079.0	17877.0	26380.0	9615.0	2038.0	2331.0	2235.0	7476.0	15356.0	7257.0	11652.0
ALK_E14_STA101375	1717.0	2260.0	3317.0	1292.0	10725.0	9111.0	316.0	7238.0	8554.0	4758.0	1705.0	1447.0	1593.0	2912.0	7669.0	3407.0	5500.0
ALK_E13_STA101376	531.0	1067.0	1964.0	753.0	2657.0	3966.0	154.0	3308.0	3386.0	1711.0	349.0	532.0	1291.0	1163.0	3469.0	1224.0	2724.0
ALK_E12_STA101377	612.0	814.0	846.0	394.0	1795.0	2665.0	105.0	1824.0	2427.0	882.0	194.0	203.0	352.0	715.0	1782.0	820.0	1886.0
ALK_E11_STA101378	9843.0	12154.0	15662.0	5131.0	47486.0	38931.0	2521.0	33130.0	41366.0	21238.0	7804.0	8287.0	7581.0	12886.0	33858.0	18082.0	30048.0
ALK_E10_STA101379	18264.0	21762.0	27372.0	12108.0	96004.0	88960.0	4499.0	62708.0	83402.0	41700.0	16246.0	12099.0	16279.0	30923.0	78053.0	33824.0	64332.0
ALK_E9_STA101380	404.0	750.0	991.0	418.0	2975.0	3053.0	74.0	2130.0	2119.0	1368.0	374.0	478.0	1103.0	605.0	2718.0	839.0	2213.0
ALK_E8_STA101381	6397.0	8438.0	11871.0	5343.0	19031.0	35866.0	1491.0	30883.0	39909.0	12767.0	6078.0	7949.0	7207.0	13673.0	26026.0	15206.0	20923.0
ALK_E7_STA101382	10446.0	12352.0	17962.0	7901.0	67513.0	57718.0	3279.0	43555.0	50151.0	24952.0	9279.0	10231.0	10806.0	16908.0	43113.0	21358.0	39341.0
ALK_E6_STA101383	8846.0	12092.0	15205.0	5802.0	42549.0	46376.0	2008.0	36615.0	44149.0	15075.0	4615.0	5448.0	6825.0	15531.0	34157.0	16435.0	30388.0
ALK_E5_STA101384	12068.0	16076.0	23120.0	9912.0	77531.0	69697.0	3337.0	57047.0	64909.0	28202.0	10862.0	14803.0	15585.0	21268.0	53531.0	27956.0	44023.0
ALK_E4_STA101385	1037.0	1519.0	2842.0	986.0	7863.0	7708.0	515.0	5303.0	5971.0	3162.0	1047.0	1116.0	2481.0	1760.0	5518.0	2410.0	6234.0
ALK_E3_STA101640	11668.0	15972.0	25117.0	9426.0	68994.0	85737.0	3716.0	66931.0	77218.0	27604.0	11723.0	10934.0	13725.0	23494.0	58817.0	25204.0	53953.0
ALK_E2_STA101387	5666.0	8139.0	16107.0	5220.0	35958.0	35577.0	2234.0	32157.0	30064.0	13270.0	7596.0	9123.0	8930.0	11792.0	26641.0	16707.0	27104.0
ALK_E1_STA101388	2123.0	3280.0	5733.0	2559.0	12209.0	13549.0	753.0	12704.0	15287.0	7026.0	1174.0	1673.0	2815.0	4913.0	13104.0	5397.0	12222.0
ALK_E1_STA102007	705.0	1884.0	2594.0	1216.0	6707.0	7159.0	454.0	7106.0	8101.0	2489.0	518.0	681.0	1390.0	2673.0	6771.0	2454.0	8279.0
IDH1_E4_STA100131	6801.0	11193.0	14538.0	6385.0	42349.0	40757.0	2030.0	32835.0	35738.0	14048.0	9788.0	16789.0	7889.0	14809.0	30809.0	18705.0	23579.0
IDH1_E4_STA100132	5384.0	10024.0	14599.0	6457.0	51304.0	38494.0	2380.0	33796.0	36535.0	21310.0	9656.0	15652.0	12854.0	13852.0	33651.0	21165.0	25064.0
IDH1_E4_STA100133	4650.0	7427.0	8988.0	5445.0	37181.0	31482.0	1960.0	25833.0	26878.0	14765.0	7825.0	14144.0	8406.0	11301.0	25306.0	15910.0	18647.0
IDH1_E4_STA100134	4713.0	7747.0	11804.0	5186.0	36234.0	30778.0	1422.0	28281.0	31164.0	11688.0	7130.0	13218.0	6506.0	13073.0	23957.0	14894.0	16441.0
ERBB4_E12_STA100135	6970.0	10357.0	15246.0	6772.0	52134.0	38982.0	2307.0	35525.0	36025.0	18271.0	7914.0	15558.0	10817.0	14934.0	31454.0	22894.0	33517.0
ERBB4_E12_STA100136	3490.0	5738.0	9285.0	3417.0	27045.0	21574.0	1139.0	18204.0	18796.0	10603.0	4612.0	8435.0	7204.0	7267.0	17163.0	11272.0	19723.0
ERBB4_E12_STA100137	3965.0	6831.0	10356.0	3974.0	28939.0	25312.0	1434.0	22430.0	23506.0	14545.0	5974.0	10790.0	7848.0	8737.0	21335.0	12408.0	23201.0
ERBB4_E11_STA100138	776.0	1847.0	2497.0	953.0	7400.0	7359.0	338.0	5312.0	6734.0	2167.0	1374.0	2626.0	1600.0	2299.0	4806.0	3223.0	4152.0
ERBB4_E11_STA101738	1470.0	2434.0	3649.0	1308.0	11102.0	8770.0	482.0	6980.0	8030.0	3981.0	2340.0	3473.0	2275.0	2859.0	8436.0	4697.0	7447.0
ERBB4_E10_STA100140	3218.0	5542.0	9684.0	2766.0	23756.0	20506.0	1370.0	15429.0	17298.0	8974.0	3657.0	7193.0	4505.0	6468.0	16619.0	11269.0	16936.0
VHL_E1_STA103214	353.0	442.0	803.0	446.0	2232.0	2056.0	165.0	1754.0	2282.0	1060.0	197.0	278.0	423.0	534.0	1949.0	470.0	864.0
VHL_E1_STA101149	2390.0	3520.0	7418.0	3907.0	20518.0	15045.0	1783.0	14438.0	15592.0	8056.0	1546.0	1902.0	3726.0	4605.0	16328.0	3819.0	9191.0
VHL_E1_STA102009	925.0	1230.0	3414.0	1392.0	7213.0	6340.0	585.0	5836.0	6742.0	3662.0	669.0	575.0	1853.0	1798.0	7543.0	1509.0	3895.0
VHL_E2_STA101152	2332.0	2181.0	6030.0	2112.0	17654.0	16310.0	860.0	13287.0	17196.0	4421.0	1889.0	3207.0	2151.0	6054.0	11399.0	4196.0	4330.0
VHL_E2_STA101153	2674.0	3720.0	5991.0	2626.0	17942.0	15739.0	803.0	14237.0	16810.0	4194.0	2262.0	3526.0	2577.0	5506.0	12857.0	4513.0	5320.0
VHL_E3_STA101154	5456.0	7213.0	13158.0	6684.0	41798.0	31802.0	1871.0	27670.0	33522.0	14409.0	7800.0	8540.0	6735.0	11581.0	27207.0	10106.0	12035.0
VHL_E3_STA101155	3348.0	4458.0	8535.0	3435.0	18795.0	21601.0	1077.0	15364.0	20398.0	7724.0	4370.0	4941.0	4204.0	6778.0	17109.0	5401.0	6908.0
VHL_E3_STA101156	9596.0	10941.0	14646.0	8193.0	57041.0	45954.0	3298.0	34323.0	45525.0	21288.0	11727.0	13168.0	9792.0	17749.0	41064.0	15174.0	17857.0
CTNNB1_E3_STA100160	3615.0	5972.0	10278.0	5308.0	24508.0	26663.0	935.0	23309.0	21317.0	9231.0	6109.0	9038.0	8051.0	8813.0	20646.0	7886.0	20423.0
CTNNB1_E3_STA100161	1179.0	1884.0	2482.0	1075.0	8492.0	7512.0	462.0	5973.0	5471.0	3109.0	1945.0	2469.0	2654.0	2116.0	6432.0	2169.0	5102.0
CTNNB1_E3_STA100162	4651.0	7508.0	10675.0	4896.0	37016.0	33223.0	1728.0	29453.0	30167.0	10043.0	8363.0	11609.0	8118.0	11325.0	25640.0	9389.0	20222.0
CTNNB1_E3_STA100163	5665.0	8817.0	13981.0	6449.0	41888.0	38683.0	1600.0	30750.0	32215.0	14529.0	9481.0	14435.0	11263.0	12870.0	29257.0	13750.0	27838.0
CTNNB1_E3_STA100164	1663.0	3089.0	4452.0	2172.0	15103.0	10174.0	468.0	8786.0	9062.0	4490.0	2769.0	4168.0	4028.0	3671.0	8905.0	4042.0	9924.0
MITF_E10_STA100165	5648.0	6514.0	10873.0	4730.0	32561.0	29270.0	1552.0	23352.0	24680.0	12699.0	5731.0	9232.0	6348.0	9382.0	24121.0	9298.0	20429.0
MITF_E10_STA100166	7702.0	11597.0	16590.0	5754.0	53904.0	50593.0	1964.0	47802.0	43633.0	16068.0	8827.0	12816.0	9398.0	18369.0	38105.0	15167.0	33156.0
MITF_E10_STA100167	9068.0	12474.0	19101.0	6825.0	57830.0	61556.0	2901.0	47964.0	52433.0	16220.0	9188.0	13847.0	10830.0	20428.0	41293.0	15365.0	34902.0
MITF_E10_STA100168	7901.0	9811.0	14431.0	5560.0	51627.0	50265.0	2075.0	40993.0	40943.0	18973.0	8599.0	10306.0	10453.0	14864.0	38127.0	12601.0	35249.0
FOXL2_E1_STA103228	5371.0	6580.0	11080.0	5987.0	21643.0	16217.0	2252.0	23614.0	23165.0	14019.0	1300.0	2714.0	4335.0	9094.0	24009.0	10486.0	22704.0
FOXL2_E1_STA103224	2309.0	2904.0	5132.0	2817.0	14688.0	10088.0	1224.0	13783.0	13725.0	8199.0	1414.0	1253.0	2956.0	4341.0	13971.0	3877.0	15607.0
FOXL2_E1_STA103226	7556.0	11210.0	14202.0	7030.0	41855.0	24992.0	3136.0	31130.0	37063.0	20565.0	3930.0	3987.0	7712.0	15213.0	37635.0	14219.0	35924.0
FOXL2_E1_STA103227	3396.0	5250.0	7049.0	3458.0	18977.0	13715.0	1391.0	18555.0	19608.0	7546.0	1192.0	2015.0	3489.0	7208.0	17131.0	7228.0	15032.0
FOXL2_E1_STA103225	440.0	631.0	812.0	588.0	2378.0	2262.0	117.0	2569.0	3524.0	879.0	193.0	195.0	375.0	984.0	2633.0	762.0	1704.0
PIK3CA_E2_STA101624	629.0	909.0	1190.0	501.0	3572.0	2732.0	156.0	2655.0	2373.0	1167.0	900.0	1141.0	933.0	1288.0	3218.0	1586.0	2448.0
PIK3CA_E2_STA100182	1665.0	3112.0	3443.0	1548.0	11127.0	10036.0	452.0	7917.0	8258.0	3025.0	2459.0	3237.0	2422.0	3429.0	8371.0	5134.0	6799.0
PIK3CA_E2_STA101652	4591.0	7852.0	9292.0	4003.0	27348.0	24805.0	1161.0	21906.0	24316.0	7423.0	6546.0	8744.0	5181.0	9278.0	21288.0	13618.0	17564.0
PIK3CA_E2_STA100183	5672.0	9118.0	11725.0	4846.0	31105.0	31491.0	1434.0	25277.0	26812.0	12481.0	7973.0	11212.0	8666.0	9626.0	25184.0	15824.0	25219.0
PIK3CA_E2_STA100184	1827.0	3562.0	3858.0	2284.0	15420.0	12102.0	772.0	10139.0	12118.0	4998.0	3814.0	4983.0	3223.0	4430.0	11150.0	7761.0	8875.0
PIK3CA_E3_STA100185	1860.0	3705.0	3815.0	2196.0	14629.0	11720.0	748.0	8622.0	9460.0	4897.0	2972.0	5110.0	2980.0	4128.0	9124.0	7688.0	7906.0
PIK3CA_E3_STA100186	6009.0	10200.0	10680.0	6258.0	45921.0	36690.0	1919.0	28012.0	29687.0	13761.0	9780.0	14295.0	10292.0	12772.0	27655.0	20212.0	29065.0
PIK3CA_E3_STA100187	7974.0	11161.0	15150.0	8101.0	43000.0	41579.0	2113.0	35483.0	34957.0	15207.0	12065.0	15552.0	10574.0	14932.0	34246.0	26001.0	32191.0
PIK3CA_E4_STA101651	3439.0	5539.0	8748.0	3658.0	23106.0	20768.0	1051.0	17199.0	19149.0	6050.0	4185.0	6954.0	4374.0	8010.0	16318.0	10283.0	16725.0
PIK3CA_E5_STA101392	4443.0	6886.0	10773.0	3953.0	38705.0	29133.0	2400.0	24199.0	24975.0	11764.0	6287.0	10800.0	9109.0	9815.0	24072.0	16478.0	26488.0
PIK3CA_E6_STA101393	2155.0	2917.0	4375.0	1858.0	13436.0	10632.0	556.0	9389.0	9315.0	3889.0	2059.0	3393.0	2625.0	3680.0	9937.0	6168.0	8535.0
PIK3CA_E7_STA101394	1857.0	3279.0	5021.0	2336.0	13037.0	13753.0	876.0	11501.0	12170.0	4706.0	4242.0	4461.0	3611.0	5072.0	11161.0	7207.0	10417.0
