	C21D00402	C21D00444	D21D00412	M21D00435	N21D00374	N21D00379	N21D00401	N21D00404	N21D00438	N21D00440	P21D00366	P21D00372	P21D00373	P21D00386	P21D00389	P21D00391	P21D00395	P21D00396	P21D00397	P21D00398	P21D00399	P21D00405	P21D00408	P21D00436	P21D00437	P21D00442	P21D00447	S21D00410	X20D02486	X21D00400T
IDH1_E4_STA100134	4833.0	5139.0	3559.0	6264.0	12287.0	9994.0	15277.0	3257.0	5225.0	260.0	14739.0	2630.0	5490.0	4845.0	466.0	1008.0	11283.0	11364.0	7565.0	8415.0	30467.0	10170.0	4547.0	15612.0	15858.0	12712.0	1900.0	943.0	10123.0	8512.0
ERBB4_E12_STA100135	7296.0	6756.0	6758.0	9384.0	20178.0	16491.0	28009.0	9627.0	6362.0	604.0	17406.0	2847.0	5132.0	11416.0	524.0	722.0	10782.0	19151.0	12308.0	12103.0	16552.0	11841.0	6654.0	18297.0	14948.0	25967.0	3837.0	2856.0	15260.0	7101.0
ERBB4_E12_STA100136	4387.0	3302.0	3551.0	5195.0	9501.0	9069.0	15958.0	3834.0	3596.0	302.0	9400.0	1966.0	2838.0	5226.0	274.0	508.0	5558.0	10546.0	6541.0	5570.0	8889.0	5810.0	3273.0	10855.0	6702.0	12687.0	1607.0	1360.0	6768.0	3841.0
ERBB4_E12_STA100137	4980.0	4732.0	4141.0	6312.0	11960.0	10667.0	19555.0	3709.0	4620.0	323.0	11395.0	2199.0	3531.0	6718.0	280.0	928.0	7334.0	12755.0	7926.0	7377.0	11233.0	7624.0	3370.0	13194.0	10224.0	14923.0	1683.0	1106.0	9788.0	5143.0
ERBB4_E11_STA100138	623.0	738.0	530.0	920.0	1612.0	1480.0	2898.0	736.0	644.0	28.0	2424.0	458.0	591.0	1121.0	76.0	132.0	1417.0	2359.0	1313.0	1109.0	2623.0	1746.0	798.0	2468.0	2272.0	2099.0	298.0	190.0	1754.0	1099.0
ERBB4_E11_STA101738	1475.0	1328.0	1555.0	2557.0	4977.0	3814.0	6525.0	1223.0	1914.0	152.0	4653.0	944.0	1313.0	1584.0	34.0	408.0	2575.0	4730.0	2430.0	2934.0	4440.0	2442.0	1403.0	5660.0	4031.0	5276.0	490.0	320.0	4474.0	1567.0
ERBB4_E10_STA100140	3394.0	2859.0	3079.0	4032.0	9316.0	7209.0	13632.0	3196.0	3464.0	377.0	7488.0	1247.0	2189.0	5132.0	214.0	674.0	4275.0	9201.0	5154.0	5174.0	7661.0	5877.0	2764.0	9526.0	6877.0	12434.0	1748.0	1362.0	6126.0	3744.0
VHL_E1_STA103214	305.0	486.0	703.0	222.0	1343.0	1071.0	1668.0	1358.0	248.0	9.0	1061.0	156.0	337.0	434.0	23.0	44.0	550.0	819.0	567.0	468.0	1358.0	555.0	715.0	751.0	681.0	2885.0	187.0	179.0	809.0	550.0
VHL_E1_STA101149	2864.0	2656.0	5637.0	1902.0	13588.0	9742.0	19796.0	8682.0	1830.0	41.0	11725.0	1817.0	3378.0	4689.0	225.0	582.0	5278.0	8927.0	6601.0	3904.0	15323.0	4916.0	6696.0	6516.0	3663.0	25531.0	666.0	442.0	10604.0	4625.0
VHL_E1_STA102009	876.0	989.0	1591.0	945.0	3474.0	3469.0	7336.0	2421.0	699.0	16.0	3928.0	674.0	1026.0	1191.0	79.0	178.0	1688.0	2512.0	2035.0	1300.0	5005.0	1912.0	1695.0	1658.0	1333.0	8078.0	235.0	178.0	3275.0	2032.0
VHL_E2_STA101152	1482.0	1804.0	1602.0	1608.0	5661.0	4688.0	8118.0	3036.0	1232.0	74.0	5390.0	882.0	1844.0	1602.0	178.0	335.0	4016.0	2766.0	2941.0	2499.0	7849.0	3769.0	2470.0	3697.0	3212.0	7503.0	1144.0	338.0	3805.0	3092.0
VHL_E2_STA101153	1346.0	2086.0	1983.0	2154.0	7193.0	5557.0	10887.0	2126.0	1907.0	156.0	7265.0	1266.0	2004.0	2152.0	296.0	383.0	3598.0	4607.0	4161.0	2870.0	10060.0	4232.0	3106.0	4656.0	4482.0	8777.0	1078.0	220.0	5689.0	3872.0
VHL_E3_STA101154	5076.0	5015.0	5701.0	6596.0	15450.0	13774.0	24022.0	5710.0	4205.0	230.0	12126.0	2327.0	5862.0	3396.0	590.0	878.0	9372.0	13087.0	9761.0	7067.0	16439.0	10496.0	6324.0	10917.0	9231.0	24343.0	1933.0	974.0	10133.0	7327.0
VHL_E3_STA101155	1883.0	2994.0	2610.0	3568.0	6383.0	6850.0	12142.0	3878.0	2117.0	178.0	8785.0	1143.0	2650.0	1712.0	464.0	439.0	5145.0	6528.0	4495.0	3765.0	10057.0	4534.0	3345.0	6031.0	4068.0	12517.0	867.0	514.0	5374.0	4825.0
VHL_E3_STA101156	6807.0	6947.0	8062.0	10513.0	21365.0	16868.0	27443.0	8819.0	6298.0	656.0	19349.0	3419.0	8744.0	4689.0	421.0	976.0	13611.0	20000.0	14562.0	9392.0	23970.0	12004.0	8333.0	16102.0	13204.0	32810.0	3039.0	1649.0	14738.0	10102.0
CTNNB1_E3_STA100160	3120.0	4300.0	3250.0	6625.0	8639.0	8662.0	17386.0	3782.0	3541.0	210.0	14426.0	2680.0	3727.0	4022.0	529.0	1215.0	7757.0	9219.0	7953.0	6094.0	15059.0	9587.0	5318.0	15050.0	11634.0	16319.0	801.0	421.0	9054.0	6039.0
