	D20D02477T	D20D02527	D21D00009T	D21D00012T	K20D02522T	M20D02483	M20D02521	M20D02532	M21D00003	M21D00004	M21D00010	N21D00002	N21D00011	N21D00032	P20D02524	P20D02526	P20D02528	P20D02529	P21D00014	P21D00017	P21D00020	P21D00025	P21D00036	P21D00039	P21D00041	S21D00030T	U21D00008	X20D02446HPV
RICTOR_E6_STA101486	376.0	479.0	1005.0	252.0	271.0	242.0	642.0	472.0	615.0	1023.0	1129.0	1753.0	3139.0	3564.0	16.0	6.0	28.0	939.0	46.0	274.0	278.0	332.0	1198.0	202.0	551.0	232.0	51.0	339.0
RICTOR_E5_STA101739	7888.0	7958.0	17200.0	4327.0	4916.0	4115.0	13454.0	8579.0	5723.0	16761.0	20473.0	18465.0	37167.0	50369.0	552.0	275.0	844.0	15298.0	825.0	5342.0	3383.0	7777.0	22862.0	4517.0	9301.0	3137.0	842.0	4978.0
RICTOR_E4_STA101488	8836.0	7866.0	18399.0	3074.0	4073.0	4516.0	13999.0	9713.0	7336.0	18135.0	20281.0	21025.0	27599.0	58675.0	539.0	422.0	530.0	17083.0	995.0	6460.0	2760.0	11248.0	25405.0	4974.0	9598.0	3413.0	1121.0	5421.0
RICTOR_E3_STA101489	866.0	1008.0	1947.0	481.0	531.0	446.0	1498.0	941.0	571.0	2248.0	2205.0	2505.0	6093.0	7069.0	62.0	36.0	72.0	1529.0	130.0	872.0	324.0	968.0	2959.0	440.0	984.0	410.0	104.0	533.0
RICTOR_E1_STA101491	1745.0	861.0	2136.0	233.0	173.0	860.0	1223.0	813.0	595.0	2260.0	1508.0	4372.0	6188.0	11815.0	65.0	43.0	88.0	2860.0	128.0	1320.0	361.0	1334.0	3452.0	615.0	1793.0	118.0	172.0	546.0
HIST1H3B_E1_STA100235	6294.0	5579.0	15411.0	3601.0	2811.0	5815.0	8107.0	5038.0	3183.0	10291.0	10511.0	12054.0	29553.0	50574.0	433.0	238.0	544.0	8123.0	615.0	4995.0	3027.0	2626.0	11014.0	2375.0	7120.0	1830.0	705.0	4132.0
HIST1H3B_E1_STA100236	2303.0	2401.0	6150.0	1239.0	658.0	2072.0	3597.0	2333.0	1321.0	4675.0	6001.0	5650.0	10405.0	22340.0	128.0	134.0	68.0	4106.0	232.0	1990.0	875.0	2473.0	5406.0	1070.0	2624.0	608.0	375.0	1635.0
HIST1H3B_E1_STA100237	9956.0	7593.0	27459.0	3726.0	2724.0	12153.0	14038.0	9093.0	5241.0	18746.0	16666.0	21114.0	31273.0	75833.0	674.0	395.0	339.0	16875.0	580.0	5831.0	3546.0	8487.0	19158.0	5341.0	12319.0	2324.0	900.0	5733.0
HIST1H3B_E1_STA100238	3328.0	3174.0	11161.0	1459.0	715.0	3890.0	4580.0	2299.0	2233.0	6395.0	5551.0	9259.0	11873.0	32087.0	170.0	165.0	307.0	6891.0	512.0	2502.0	1500.0	2758.0	8207.0	1727.0	4088.0	846.0	385.0	2161.0
HIST1H3B_E1_STA100239	1736.0	1178.0	3115.0	625.0	406.0	1351.0	1928.0	970.0	681.0	2225.0	2931.0	3302.0	5404.0	13833.0	95.0	58.0	34.0	2507.0	130.0	953.0	451.0	1147.0	2764.0	815.0	1504.0	319.0	151.0	932.0
ROS1_E41_STA100240	20975.0	18458.0	60411.0	9410.0	10611.0	8873.0	33184.0	21116.0	15085.0	31401.0	37238.0	35130.0	91251.0	130721.0	1922.0	855.0	1055.0	23233.0	1920.0	12538.0	7897.0	17628.0	42476.0	9375.0	25227.0	5998.0	3203.0	12846.0
ROS1_E41_STA100241	3767.0	3839.0	11619.0	1649.0	1589.0	1274.0	6100.0	3848.0	2753.0	5466.0	7881.0	6191.0	19275.0	26494.0	188.0	148.0	210.0	4183.0	293.0	2662.0	1713.0	2622.0	8499.0	1533.0	4142.0	1198.0	624.0	2166.0
ROS1_E41_STA100242	23945.0	20117.0	68971.0	10987.0	10517.0	7918.0	35414.0	21644.0	14941.0	36764.0	33333.0	39367.0	88880.0	142688.0	1832.0	829.0	2383.0	28936.0	2185.0	14672.0	10998.0	17092.0	46017.0	10568.0	26260.0	8373.0	3490.0	13115.0
ROS1_E38_STA100243	3829.0	3032.0	9308.0	1948.0	1726.0	1230.0	5284.0	3109.0	2175.0	5166.0	6092.0	5663.0	11925.0	20706.0	244.0	126.0	198.0	3400.0	394.0	2127.0	1075.0	2429.0	7202.0	1532.0	3673.0	1205.0	466.0	1950.0
ROS1_E38_STA100244	5680.0	6051.0	19202.0	3018.0	2783.0	2244.0	11371.0	6510.0	3907.0	10839.0	11057.0	9612.0	28211.0	35606.0	439.0	299.0	224.0	6152.0	695.0	4559.0	2631.0	5572.0	13459.0	2370.0	7879.0	2060.0	937.0	3501.0
RAC1_E2_STA100245	77.0	3019.0	7386.0	3307.0	2821.0	2347.0	8241.0	2622.0	4243.0	172.0	168.0	12070.0	486.0	1621.0	317.0	6.0	362.0	256.0	588.0	2298.0	46.0	2662.0	15226.0	1912.0	2246.0	898.0	261.0	34.0
EGFR_E2_STA101493	2170.0	2517.0	7234.0	1194.0	1624.0	1117.0	2990.0	2011.0	1362.0	3032.0	6221.0	5739.0	10950.0	19264.0	137.0	77.0	118.0	3725.0	267.0	1615.0	715.0	1238.0	5260.0	1029.0	2044.0	584.0	407.0	1431.0
EGFR_E3_STA101494	6849.0	8467.0	20241.0	3642.0	4406.0	3373.0	9673.0	6939.0	3639.0	10169.0	14016.0	24523.0	34826.0	68215.0	295.0	324.0	453.0	13992.0	513.0	5281.0	3266.0	5089.0	19284.0	2969.0	7416.0	1867.0	778.0	3808.0
EGFR_E4_STA101495	1934.0	2329.0	6060.0	1018.0	959.0	1330.0	2589.0	1158.0	1229.0	4178.0	1521.0	11439.0	14163.0	26039.0	207.0	103.0	319.0	5804.0	156.0	1765.0	797.0	1379.0	7245.0	1266.0	2417.0	221.0	221.0	1817.0
EGFR_E5_STA101496	6107.0	7390.0	21157.0	3099.0	3255.0	4065.0	9452.0	5218.0	4774.0	10271.0	8781.0	27582.0	27737.0	69010.0	440.0	372.0	751.0	17535.0	718.0	4864.0	2999.0	5517.0	22180.0	3409.0	6721.0	1876.0	836.0	3883.0
EGFR_E6_STA101497	6657.0	6103.0	16941.0	1875.0	1585.0	3775.0	6200.0	3368.0	4144.0	8844.0	6710.0	28071.0	29873.0	71785.0	311.0	213.0	601.0	14127.0	611.0	4438.0	2323.0	4784.0	17179.0	3474.0	5861.0	658.0	554.0	4840.0
EGFR_E7_STA101498	15033.0	11952.0	46695.0	3810.0	3775.0	9606.0	23338.0	12275.0	8436.0	28151.0	18556.0	65183.0	84393.0	142462.0	1006.0	464.0	723.0	39995.0	1180.0	8641.0	5867.0	20311.0	40661.0	7600.0	19214.0	1313.0	1485.0	9939.0
EGFR_E8_STA101499	1480.0	805.0	3197.0	432.0	317.0	698.0	909.0	418.0	774.0	2057.0	1078.0	4896.0	4668.0	14925.0	66.0	18.0	51.0	2646.0	101.0	711.0	407.0	677.0	2874.0	639.0	1071.0	111.0	118.0	652.0
EGFR_E9_STA101500	5624.0	4926.0	16402.0	2597.0	3265.0	3537.0	7322.0	3823.0	3702.0	8340.0	8902.0	19288.0	26938.0	50818.0	446.0	209.0	480.0	10489.0	501.0	3732.0	2416.0	4616.0	13786.0	2628.0	5711.0	1142.0	417.0	3161.0
EGFR_E10_STA101501	2628.0	2162.0	7204.0	959.0	1389.0	1374.0	3087.0	1608.0	1610.0	3355.0	4385.0	6704.0	12959.0	18793.0	125.0	62.0	87.0	4193.0	249.0	1510.0	747.0	2320.0	6254.0	1145.0	2788.0	576.0	275.0	1451.0
EGFR_E11_STA101502	1197.0	1050.0	2565.0	607.0	583.0	557.0	1338.0	454.0	611.0	1646.0	1114.0	5250.0	7292.0	11983.0	52.0	40.0	175.0	2343.0	144.0	834.0	412.0	537.0	2626.0	411.0	1098.0	168.0	109.0	684.0
EGFR_E12_STA100246	3185.0	3545.0	9685.0	1811.0	2461.0	1635.0	3618.0	2282.0	2024.0	3918.0	5697.0	10161.0	15498.0	29997.0	167.0	112.0	296.0	5679.0	242.0	2515.0	1099.0	2043.0	8079.0	1636.0	2870.0	862.0	444.0	1891.0
EGFR_E12_STA100247	5107.0	5538.0	15930.0	2430.0	3705.0	2694.0	7934.0	4380.0	3427.0	8235.0	12753.0	13796.0	26091.0	42467.0	206.0	236.0	249.0	9670.0	469.0	3806.0	1616.0	4500.0	12712.0	2465.0	5665.0	1703.0	512.0	2856.0
EGFR_E12_STA100248	856.0	1143.0	5096.0	978.0	751.0	548.0	1234.0	1159.0	708.0	4392.0	1755.0	5252.0	8822.0	15348.0	46.0	116.0	152.0	2985.0	250.0	844.0	678.0	1189.0	4827.0	712.0	1802.0	316.0	82.0	954.0
EGFR_E13_STA101503	6110.0	4470.0	17261.0	1544.0	1371.0	2986.0	5947.0	3102.0	3049.0	8946.0	8589.0	22029.0	31513.0	60282.0	351.0	206.0	252.0	11401.0	608.0	4120.0	1425.0	5251.0	15014.0	2725.0	5367.0	461.0	639.0	3402.0
EGFR_E14_STA101504	6367.0	6492.0	22470.0	2497.0	2219.0	3816.0	8861.0	5096.0	4675.0	11078.0	10789.0	26519.0	28315.0	63502.0	506.0	220.0	518.0	17726.0	572.0	4548.0	2070.0	6731.0	16314.0	3585.0	6732.0	933.0	874.0	4388.0
EGFR_E15_STA101505	4318.0	5019.0	13720.0	1863.0	1880.0	3306.0	6475.0	2652.0	3319.0	9527.0	4215.0	20648.0	19908.0	41630.0	297.0	119.0	404.0	12856.0	398.0	2339.0	1929.0	3941.0	14797.0	3104.0	5863.0	781.0	534.0	3308.0
EGFR_E16_STA101506	3633.0	2782.0	9188.0	1341.0	1319.0	1712.0	3170.0	1864.0	2440.0	3901.0	4843.0	13633.0	17108.0	35120.0	256.0	105.0	318.0	6774.0	155.0	2103.0	1057.0	1868.0	8322.0	1646.0	3404.0	564.0	168.0	2051.0
EGFR_E17_STA101507	8130.0	5037.0	21472.0	2192.0	1882.0	5268.0	9011.0	4338.0	3846.0	11857.0	8185.0	26205.0	27732.0	62982.0	574.0	267.0	310.0	17388.0	622.0	3817.0	2149.0	7964.0	15598.0	5072.0	8906.0	636.0	732.0	4553.0
EGFR_E18_STA100249	4536.0	3564.0	12334.0	1310.0	1466.0	3191.0	6415.0	3290.0	2768.0	8160.0	6572.0	18088.0	19294.0	42475.0	320.0	126.0	167.0	10762.0	333.0	2693.0	1543.0	6429.0	11909.0	2654.0	5252.0	389.0	190.0	2648.0
EGFR_E18_STA100250	3585.0	2516.0	8545.0	1082.0	694.0	2197.0	2729.0	1608.0	1645.0	3988.0	3412.0	12754.0	12861.0	34574.0	304.0	66.0	155.0	7303.0	187.0	1926.0	923.0	2402.0	7300.0	1733.0	3110.0	240.0	225.0	2026.0
EGFR_E19_STA100251	5517.0	6395.0	14313.0	2780.0	1989.0	2998.0	6751.0	3765.0	3504.0	9507.0	5681.0	27177.0	31807.0	59270.0	341.0	224.0	615.0	13926.0	574.0	4032.0	2311.0	3297.0	17309.0	2603.0	6599.0	841.0	541.0	3780.0
EGFR_E19_STA100252	4311.0	5567.0	11083.0	2259.0	1784.0	2422.0	5228.0	2589.0	2793.0	7328.0	3936.0	22788.0	24489.0	46420.0	226.0	203.0	796.0	12971.0	584.0	3367.0	1883.0	2328.0	15212.0	2587.0	5543.0	853.0	458.0	3521.0
EGFR_E20_STA100253	18408.0	12286.0	42732.0	4193.0	4220.0	10622.0	15804.0	7482.0	8819.0	22397.0	13837.0	60240.0	67039.0	141673.0	919.0	342.0	1203.0	36649.0	1474.0	7972.0	4640.0	15536.0	35849.0	8500.0	19568.0	834.0	1222.0	9741.0
EGFR_E20_STA100254	12118.0	8874.0	32761.0	2536.0	3744.0	8853.0	13856.0	7050.0	6456.0	21372.0	14782.0	45641.0	56559.0	100569.0	734.0	334.0	318.0	26858.0	823.0	6836.0	3431.0	17130.0	25382.0	6771.0	13827.0	1029.0	1030.0	7319.0
EGFR_E20_STA100255	17724.0	13139.0	45759.0	4256.0	5938.0	10984.0	18395.0	8162.0	8598.0	30190.0	18618.0	65586.0	90229.0	156246.0	1108.0	536.0	857.0	39592.0	1081.0	8837.0	4746.0	18353.0	37698.0	9480.0	21090.0	1316.0	1359.0	10844.0
EGFR_E20_STA100256	5568.0	5042.0	15265.0	1791.0	2576.0	3867.0	6340.0	2517.0	2983.0	11289.0	4951.0	23122.0	27006.0	47649.0	349.0	178.0	336.0	14495.0	432.0	3080.0	1991.0	5616.0	13285.0	3280.0	8232.0	541.0	258.0	3697.0
EGFR_E21_STA100257	7541.0	5817.0	21664.0	1950.0	2346.0	4873.0	9139.0	4571.0	4058.0	13743.0	8324.0	28980.0	37790.0	58781.0	447.0	368.0	310.0	17164.0	408.0	3924.0	2059.0	9469.0	20207.0	3581.0	8470.0	559.0	457.0	4456.0
EGFR_E21_STA100258	13456.0	16618.0	61785.0	5690.0	5984.0	15220.0	27191.0	11482.0	11820.0	39333.0	17586.0	82701.0	96283.0	55835.0	1597.0	732.0	1385.0	53360.0	1320.0	7418.0	6322.0	25147.0	52850.0	11625.0	25488.0	1283.0	1860.0	12156.0
EGFR_E21_STA100259	6069.0	6128.0	18242.0	2212.0	1835.0	4839.0	8907.0	3082.0	3823.0	13978.0	4607.0	28034.0	27656.0	57210.0	453.0	234.0	558.0	17270.0	827.0	3351.0	2162.0	6554.0	20102.0	3945.0	7820.0	870.0	404.0	4267.0
EGFR_E22_STA100260	10447.0	10384.0	26960.0	4205.0	5803.0	6455.0	13336.0	6762.0	5861.0	19015.0	11054.0	40573.0	62788.0	92121.0	806.0	347.0	851.0	20875.0	1164.0	6777.0	3519.0	8790.0	26175.0	4465.0	13939.0	1859.0	811.0	6707.0
EGFR_E23_STA100261	5790.0	5862.0	14108.0	3040.0	2833.0	2179.0	6146.0	3702.0	3291.0	6619.0	11156.0	19503.0	25892.0	55532.0	190.0	266.0	265.0	11180.0	443.0	3921.0	1453.0	4000.0	13712.0	2064.0	4552.0	1075.0	564.0	3937.0
EGFR_E23_STA100262	9148.0	9030.0	29449.0	4337.0	4275.0	4705.0	13531.0	8644.0	5029.0	14330.0	17904.0	39554.0	41855.0	86909.0	552.0	338.0	473.0	22428.0	1017.0	6160.0	3436.0	8183.0	23254.0	3606.0	8801.0	2129.0	1091.0	5905.0
EGFR_E24_STA100263	5024.0	4139.0	12897.0	1918.0	2822.0	2828.0	6095.0	3418.0	2512.0	6519.0	7179.0	14265.0	19840.0	37035.0	240.0	216.0	218.0	8526.0	269.0	3234.0	1505.0	4600.0	10455.0	2240.0	5523.0	864.0	414.0	2625.0
EGFR_E24_STA100264	10185.0	11014.0	34710.0	4765.0	5629.0	7600.0	18312.0	9384.0	7097.0	23459.0	15758.0	46860.0	55483.0	99715.0	948.0	472.0	926.0	26499.0	991.0	8027.0	5118.0	10945.0	31082.0	5477.0	14216.0	2384.0	1061.0	7635.0
EGFR_E25_STA100265	8596.0	7284.0	23614.0	3388.0	3667.0	4663.0	10401.0	5172.0	6022.0	11172.0	11223.0	35045.0	32620.0	82382.0	637.0	286.0	689.0	21107.0	728.0	5829.0	3093.0	5975.0	20146.0	4324.0	8651.0	1328.0	832.0	5079.0
EGFR_E25_STA100266	11520.0	9468.0	32344.0	4097.0	4466.0	5950.0	14662.0	8788.0	6548.0	16615.0	18283.0	46833.0	59840.0	111672.0	669.0	378.0	649.0	26446.0	1044.0	7768.0	4466.0	8730.0	28213.0	5151.0	9905.0	1646.0	870.0	7552.0
EGFR_E25_STA100267	7462.0	6853.0	21912.0	3320.0	3504.0	4687.0	10690.0	4931.0	3704.0	12774.0	8523.0	29041.0	29906.0	57101.0	504.0	380.0	580.0	16593.0	780.0	3941.0	2833.0	6310.0	19560.0	4015.0	8374.0	1591.0	808.0	4572.0
EGFR_E26_STA101508	16944.0	16316.0	46188.0	7173.0	8386.0	9702.0	24357.0	12705.0	10385.0	24419.0	27082.0	45934.0	85714.0	119371.0	992.0	589.0	1284.0	33206.0	1503.0	9735.0	6185.0	13323.0	39239.0	8419.0	20785.0	3586.0	1388.0	10776.0
EGFR_E27_STA101647	5171.0	3735.0	12818.0	1142.0	1056.0	2733.0	4857.0	2275.0	2481.0	7423.0	5273.0	16744.0	17428.0	42105.0	125.0	86.0	246.0	9704.0	332.0	2519.0	1434.0	4158.0	9486.0	2172.0	4569.0	376.0	523.0	2631.0
EGFR_E28_STA101510	5648.0	6564.0	17505.0	2319.0	2239.0	4455.0	7903.0	3345.0	3734.0	13144.0	5191.0	26972.0	24496.0	53869.0	528.0	231.0	653.0	14620.0	668.0	4140.0	3248.0	4796.0	18490.0	3588.0	8384.0	951.0	666.0	4385.0
MET_E2_STA100268	8844.0	11825.0	25531.0	3955.0	4770.0	6085.0	12990.0	8421.0	5433.0	20834.0	20771.0	30687.0	31841.0	80570.0	439.0	377.0	665.0	11489.0	1021.0	7000.0	3727.0	25442.0	22519.0	3874.0	9716.0	2766.0	1048.0	5689.0
MET_E2_STA100269	12250.0	14324.0	36063.0	5475.0	6792.0	7451.0	18349.0	12784.0	7424.0	30602.0	29267.0	43804.0	46632.0	104066.0	877.0	515.0	674.0	15263.0	1113.0	8147.0	5126.0	46103.0	29826.0	4812.0	14316.0	3205.0	1727.0	6653.0
MET_E2_STA101511	12278.0	14361.0	36150.0	5493.0	6809.0	7465.0	18391.0	12808.0	7439.0	30678.0	29315.0	43880.0	46708.0	104271.0	879.0	516.0	676.0	15292.0	1114.0	8165.0	5142.0	46197.0	29879.0	4823.0	14346.0	3213.0	1728.0	6665.0
MET_E2_STA100270	25150.0	30018.0	76103.0	12246.0	13494.0	15932.0	38549.0	27195.0	14811.0	65768.0	59678.0	87347.0	95182.0	220701.0	1474.0	952.0	1454.0	33147.0	2727.0	18011.0	11393.0	87151.0	64109.0	10745.0	29487.0	6972.0	3243.0	14838.0
MET_E2_STA100271	12571.0	14465.0	40345.0	6225.0	5424.0	7349.0	17835.0	12448.0	7712.0	30974.0	26456.0	45344.0	55896.0	117997.0	840.0	357.0	838.0	17140.0	1608.0	9779.0	5238.0	33395.0	32292.0	4930.0	14068.0	3007.0	1327.0	6993.0
MET_E2_STA100272	5246.0	8463.0	16367.0	3421.0	3326.0	3440.0	8159.0	4513.0	3366.0	16711.0	11236.0	23015.0	27516.0	53489.0	372.0	262.0	423.0	6834.0	500.0	4830.0	3105.0	12063.0	14436.0	1718.0	7926.0	1413.0	756.0	3994.0
MET_E2_STA100273	7103.0	10659.0	22218.0	3758.0	2993.0	4856.0	11757.0	7992.0	5964.0	19722.0	16790.0	32941.0	32378.0	79227.0	533.0	422.0	796.0	12122.0	797.0	6096.0	3793.0	24461.0	21874.0	3251.0	8805.0	1826.0	1118.0	5460.0
MET_E2_STA100274	17986.0	21449.0	52700.0	8553.0	8800.0	11496.0	30298.0	18243.0	10927.0	50472.0	37259.0	67138.0	69036.0	144252.0	1314.0	652.0	2055.0	24659.0	1830.0	12155.0	7694.0	69003.0	45594.0	7433.0	22975.0	5020.0	2467.0	11814.0
MET_E2_STA100275	4767.0	7324.0	13263.0	2866.0	3126.0	3475.0	8092.0	4688.0	2610.0	14030.0	9998.0	16483.0	22861.0	34997.0	295.0	227.0	476.0	5689.0	645.0	3684.0	2302.0	16520.0	15023.0	2182.0	6769.0	1524.0	607.0	2665.0
MET_E2_STA100276	6918.0	8848.0	19485.0	3519.0	3799.0	4623.0	8652.0	5937.0	4185.0	13628.0	15214.0	17303.0	25892.0	52976.0	439.0	216.0	518.0	7237.0	492.0	5164.0	2492.0	21374.0	17907.0	2977.0	7955.0	1544.0	814.0	4007.0
MET_E2_STA100277	6750.0	8146.0	18678.0	3620.0	4997.0	4167.0	10453.0	7211.0	4036.0	16576.0	18570.0	17574.0	26637.0	48108.0	435.0	261.0	322.0	6962.0	607.0	4432.0	2790.0	27286.0	17870.0	2595.0	8199.0	1957.0	768.0	4327.0
MET_E2_STA100278	8705.0	9266.0	21063.0	3877.0	4467.0	4784.0	11137.0	8614.0	3977.0	19498.0	20174.0	19315.0	31262.0	52062.0	448.0	366.0	328.0	7091.0	849.0	4452.0	2541.0	29239.0	19128.0	3274.0	9443.0	2069.0	838.0	4933.0
MET_E2_STA100279	2954.0	5205.0	7953.0	2149.0	1976.0	1790.0	3857.0	2589.0	1820.0	5986.0	5514.0	13566.0	17971.0	31678.0	196.0	191.0	398.0	3426.0	395.0	2921.0	1605.0	6306.0	8848.0	1156.0	3456.0	977.0	358.0	2501.0
MET_E2_STA100280	4407.0	5732.0	13565.0	2305.0	2532.0	2773.0	6903.0	3584.0	3250.0	10594.0	11063.0	17260.0	17743.0	40825.0	262.0	132.0	223.0	5804.0	354.0	3456.0	1848.0	15245.0	9933.0	1398.0	5059.0	1276.0	444.0	2784.0
MET_E2_STA101512	7802.0	10099.0	22360.0	4368.0	5128.0	4942.0	12541.0	9550.0	5219.0	19353.0	21180.0	26152.0	37185.0	65532.0	749.0	292.0	379.0	8575.0	717.0	5227.0	3599.0	33981.0	21917.0	3763.0	9655.0	2616.0	810.0	4649.0
MET_E3_STA101513	10634.0	14426.0	33180.0	7425.0	7958.0	7812.0	20569.0	12448.0	8183.0	26453.0	35459.0	32791.0	45490.0	81077.0	904.0	467.0	589.0	12150.0	1401.0	7722.0	4739.0	46371.0	28629.0	4510.0	12954.0	4618.0	1424.0	6870.0
MET_E4_STA101514	799.0	1316.0	1993.0	686.0	446.0	300.0	1151.0	559.0	416.0	1820.0	1516.0	2277.0	5517.0	7376.0	50.0	48.0	64.0	609.0	133.0	759.0	355.0	1313.0	2317.0	239.0	974.0	270.0	121.0	623.0
MET_E5_STA101515	13809.0	14360.0	43663.0	5051.0	6053.0	8650.0	20522.0	14614.0	8085.0	40281.0	29716.0	46645.0	65996.0	122095.0	677.0	426.0	389.0	18946.0	1453.0	9523.0	5013.0	59278.0	34668.0	5957.0	17083.0	1895.0	1432.0	8716.0
MET_E6_STA101516	5625.0	7519.0	17544.0	3082.0	3475.0	3306.0	8747.0	5072.0	3712.0	13580.0	15048.0	17031.0	27747.0	45970.0	372.0	154.0	805.0	6338.0	600.0	4675.0	2334.0	22595.0	15367.0	2465.0	6173.0	2368.0	837.0	2909.0
MET_E7_STA101517	943.0	1037.0	2462.0	468.0	601.0	450.0	1389.0	686.0	545.0	1784.0	2982.0	2555.0	5517.0	9127.0	52.0	18.0	47.0	853.0	160.0	479.0	344.0	3140.0	2274.0	337.0	1023.0	229.0	151.0	646.0
MET_E8_STA101518	5642.0	8335.0	17274.0	2833.0	4507.0	4102.0	8972.0	5281.0	3856.0	16697.0	13403.0	19472.0	27564.0	44703.0	526.0	330.0	473.0	7151.0	740.0	3836.0	2755.0	18748.0	16244.0	2829.0	7344.0	2220.0	690.0	3843.0
MET_E9_STA101519	6826.0	8990.0	23732.0	3084.0	5000.0	4329.0	11941.0	7260.0	5164.0	17565.0	22024.0	19805.0	37481.0	65769.0	515.0	325.0	447.0	7922.0	958.0	5999.0	2463.0	29321.0	19685.0	2545.0	7899.0	2570.0	906.0	4847.0
MET_E10_STA100281	3945.0	3699.0	8851.0	1920.0	1743.0	1889.0	4495.0	2758.0	1388.0	6867.0	8865.0	8116.0	18519.0	29732.0	118.0	174.0	190.0	3095.0	520.0	2371.0	1234.0	8726.0	8940.0	1265.0	3309.0	1109.0	462.0	2241.0
MET_E10_STA100282	6382.0	8732.0	18720.0	3236.0	3944.0	4063.0	9942.0	6228.0	3988.0	15205.0	16885.0	17028.0	32115.0	55810.0	272.0	238.0	593.0	7141.0	669.0	4720.0	2753.0	20148.0	17175.0	2570.0	7501.0	2117.0	704.0	4370.0
MET_E10_STA100283	1758.0	1427.0	3887.0	750.0	610.0	997.0	1153.0	873.0	911.0	2992.0	2927.0	3899.0	5654.0	13219.0	154.0	57.0	127.0	1457.0	119.0	1091.0	390.0	3868.0	2997.0	737.0	1169.0	323.0	226.0	866.0
MET_E11_STA101520	2874.0	5404.0	8778.0	1814.0	2501.0	2010.0	5191.0	2926.0	1886.0	8442.0	7764.0	9432.0	18507.0	25277.0	110.0	147.0	328.0	2930.0	424.0	2674.0	1385.0	9457.0	9181.0	994.0	3672.0	1122.0	449.0	2053.0
MET_E12_STA101521	10760.0	13909.0	30599.0	5447.0	5451.0	5586.0	14839.0	8516.0	5859.0	20557.0	27432.0	26080.0	48913.0	82791.0	477.0	332.0	1016.0	10276.0	1350.0	7926.0	3851.0	26695.0	26484.0	3811.0	11351.0	3394.0	1623.0	6036.0
MET_E13_STA101522	6099.0	7561.0	15706.0	3168.0	4007.0	2965.0	7486.0	4800.0	3358.0	9660.0	15101.0	13453.0	25337.0	43819.0	359.0	233.0	545.0	5561.0	642.0	4177.0	2377.0	15457.0	13496.0	2131.0	5208.0	1904.0	689.0	3427.0
MET_E14_STA100284	6700.0	9620.0	20421.0	4366.0	4975.0	4764.0	10014.0	6828.0	4469.0	14088.0	17462.0	19389.0	27334.0	51692.0	524.0	310.0	905.0	7484.0	433.0	5128.0	3339.0	19969.0	16528.0	3227.0	7432.0	2511.0	667.0	3844.0
MET_E14_STA100285	1221.0	1583.0	2907.0	808.0	893.0	561.0	1838.0	1190.0	831.0	2070.0	3887.0	2818.0	7139.0	12218.0	20.0	56.0	93.0	1311.0	215.0	1086.0	439.0	3504.0	3692.0	509.0	1250.0	358.0	105.0	854.0
MET_E14_STA100286	3110.0	5559.0	9684.0	2220.0	2586.0	1849.0	5619.0	3237.0	2501.0	8843.0	8913.0	10651.0	20349.0	30078.0	288.0	173.0	325.0	3278.0	442.0	2862.0	1530.0	9796.0	10165.0	1322.0	4064.0	1235.0	530.0	2089.0
MET_E14_STA100287	1297.0	2316.0	4056.0	945.0	1123.0	956.0	2340.0	1472.0	1171.0	3636.0	3567.0	4895.0	6968.0	11296.0	104.0	58.0	129.0	1492.0	138.0	866.0	617.0	4585.0	3540.0	618.0	1645.0	623.0	130.0	891.0
MET_E15_STA101628	4111.0	6796.0	12210.0	2481.0	3363.0	2745.0	7046.0	4081.0	3128.0	12286.0	10748.0	14819.0	23570.0	39657.0	263.0	295.0	485.0	4924.0	684.0	3015.0	1934.0	14842.0	13665.0	1655.0	5367.0	1690.0	619.0	2705.0
MET_E15_STA100289	6810.0	8822.0	20400.0	4122.0	3490.0	4187.0	8949.0	6154.0	4141.0	14414.0	16793.0	21303.0	33810.0	62741.0	357.0	258.0	602.0	8009.0	768.0	4901.0	2812.0	17360.0	16938.0	2738.0	6870.0	1902.0	1255.0	4041.0
MET_E15_STA100290	4649.0	5719.0	13046.0	2150.0	2865.0	2607.0	6286.0	3564.0	2368.0	10106.0	11127.0	11647.0	21659.0	39181.0	258.0	186.0	234.0	4459.0	571.0	3538.0	1753.0	11966.0	10927.0	1723.0	5007.0	1122.0	650.0	2705.0
MET_E16_STA100291	9899.0	11938.0	25462.0	4331.0	7923.0	6399.0	14057.0	10217.0	5807.0	21058.0	29513.0	23410.0	40658.0	65163.0	671.0	322.0	368.0	8814.0	911.0	6112.0	3578.0	42530.0	19716.0	3804.0	11046.0	2873.0	1104.0	5050.0
MET_E16_STA100292	6100.0	8484.0	17651.0	2722.0	3761.0	3496.0	7649.0	5194.0	3924.0	11115.0	16978.0	15583.0	31122.0	54890.0	253.0	203.0	786.0	5496.0	801.0	4190.0	2432.0	15221.0	14914.0	2562.0	6106.0	1810.0	623.0	4035.0
MET_E17_STA100293	10709.0	16813.0	35529.0	6986.0	7876.0	6554.0	19012.0	12335.0	7094.0	28664.0	30126.0	31913.0	45886.0	88706.0	841.0	630.0	995.0	12338.0	1193.0	8987.0	5805.0	41004.0	29987.0	4176.0	13915.0	4043.0	1843.0	6383.0
