	D20D02477T	D20D02527	D21D00009T	D21D00012T	K20D02522T	M20D02483	M20D02521	M20D02532	M21D00003	M21D00004	M21D00010	N21D00002	N21D00011	N21D00032	P20D02524	P20D02526	P20D02528	P20D02529	P21D00014	P21D00017	P21D00020	P21D00025	P21D00036	P21D00039	P21D00041	S21D00030T	U21D00008	X20D02446HPV
JAK3_E24_STA101094	6207.0	2652.0	15366.0	1527.0	594.0	3769.0	6752.0	2696.0	3490.0	11372.0	3847.0	19459.0	28085.0	38711.0	457.0	163.0	264.0	8475.0	460.0	3175.0	2136.0	5738.0	13889.0	3069.0	11624.0	709.0	460.0	2649.0
JAK3_E24_STA101095	1054.0	645.0	2856.0	323.0	141.0	946.0	1272.0	305.0	398.0	2777.0	731.0	4351.0	6941.0	6695.0	62.0	44.0	39.0	1536.0	77.0	464.0	436.0	696.0	3094.0	587.0	2234.0	116.0	77.0	680.0
JAK3_E23_STA101777	8267.0	3978.0	15700.0	1818.0	710.0	4206.0	6610.0	2104.0	3590.0	17753.0	3946.0	25829.0	47097.0	47756.0	529.0	250.0	532.0	8105.0	668.0	3916.0	2367.0	5094.0	18334.0	2487.0	16252.0	711.0	392.0	3291.0
JAK3_E22_STA101098	3092.0	1081.0	4625.0	581.0	238.0	1550.0	2375.0	609.0	1178.0	5286.0	728.0	8051.0	14211.0	14261.0	162.0	105.0	178.0	3028.0	199.0	1276.0	729.0	1394.0	6203.0	1280.0	5386.0	221.0	113.0	1018.0
JAK3_E22_STA101099	754.0	263.0	1148.0	107.0	52.0	379.0	391.0	176.0	252.0	899.0	311.0	1781.0	3412.0	4303.0	29.0	8.0	24.0	759.0	44.0	342.0	237.0	415.0	1511.0	285.0	1094.0	70.0	36.0	240.0
JAK3_E21_STA101101	1590.0	1189.0	3845.0	338.0	71.0	1252.0	924.0	685.0	664.0	1914.0	874.0	5334.0	9376.0	7321.0	85.0	29.0	105.0	1350.0	87.0	614.0	315.0	714.0	3747.0	1444.0	2394.0	105.0	116.0	1028.0
JAK3_E21_STA101102	7602.0	2149.0	12712.0	1414.0	555.0	4513.0	7108.0	2836.0	3218.0	11861.0	4551.0	16847.0	35241.0	34482.0	619.0	340.0	174.0	7276.0	506.0	2930.0	1669.0	7438.0	12723.0	3536.0	14208.0	440.0	553.0	2347.0
JAK3_E20_STA101103	2180.0	1140.0	5059.0	547.0	195.0	1339.0	2002.0	722.0	1123.0	5448.0	1171.0	8547.0	14768.0	15448.0	130.0	103.0	96.0	2405.0	142.0	1392.0	746.0	1126.0	5413.0	1043.0	4962.0	276.0	121.0	1041.0
JAK3_E20_STA101104	753.0	297.0	1313.0	259.0	76.0	377.0	649.0	331.0	313.0	1130.0	294.0	1693.0	2687.0	4769.0	63.0	14.0	18.0	667.0	30.0	327.0	171.0	432.0	1187.0	355.0	1187.0	70.0	28.0	291.0
JAK3_E19_STA101105	2454.0	1119.0	6319.0	637.0	267.0	1345.0	2391.0	970.0	1328.0	3494.0	1579.0	7672.0	13067.0	17477.0	124.0	106.0	86.0	3492.0	179.0	1313.0	744.0	1506.0	5506.0	1081.0	4324.0	189.0	176.0	1360.0
JAK3_E19_STA101106	7601.0	3370.0	16731.0	1862.0	800.0	3374.0	7457.0	2864.0	3761.0	12578.0	5102.0	23639.0	38057.0	51536.0	446.0	367.0	429.0	9334.0	568.0	4251.0	2505.0	5133.0	15147.0	3490.0	13058.0	575.0	669.0	4357.0
JAK3_E19_STA101107	13367.0	4837.0	28519.0	3011.0	1488.0	6255.0	12624.0	4614.0	5968.0	21966.0	7681.0	38635.0	57408.0	74167.0	761.0	400.0	436.0	14994.0	775.0	6062.0	3905.0	9293.0	23658.0	6116.0	23775.0	959.0	508.0	6547.0
JAK3_E19_STA101108	6905.0	2611.0	13265.0	1457.0	726.0	3214.0	6104.0	2506.0	2887.0	9591.0	4302.0	18221.0	30927.0	36785.0	485.0	224.0	190.0	7056.0	307.0	2967.0	1783.0	4799.0	12048.0	2763.0	11711.0	698.0	201.0	3054.0
JAK3_E19_STA101109	2849.0	1419.0	6283.0	646.0	251.0	1744.0	2515.0	1090.0	1651.0	4099.0	1581.0	9776.0	13151.0	20107.0	125.0	96.0	191.0	3729.0	212.0	1495.0	977.0	1735.0	7181.0	1068.0	4932.0	214.0	178.0	1640.0
JAK3_E18_STA101110	890.0	523.0	2039.0	211.0	97.0	488.0	1141.0	319.0	493.0	2100.0	440.0	3428.0	4932.0	5050.0	68.0	12.0	89.0	1111.0	87.0	422.0	310.0	593.0	2177.0	408.0	1912.0	149.0	36.0	479.0
JAK3_E17_STA101111	391.0	220.0	995.0	134.0	39.0	216.0	286.0	120.0	239.0	661.0	214.0	1480.0	1982.0	3055.0	37.0	6.0	22.0	526.0	44.0	259.0	177.0	249.0	894.0	143.0	660.0	13.0	28.0	210.0
JAK3_E17_STA101112	17080.0	6662.0	36891.0	3144.0	1435.0	9319.0	16818.0	6489.0	7840.0	27663.0	10104.0	45924.0	72887.0	93052.0	1137.0	485.0	667.0	19410.0	1044.0	8255.0	4231.0	13776.0	29162.0	6726.0	29125.0	1359.0	640.0	7233.0
JAK3_E16_STA101114	2045.0	892.0	4063.0	438.0	182.0	982.0	1949.0	733.0	879.0	3307.0	1576.0	5775.0	9644.0	13287.0	120.0	71.0	42.0	2188.0	89.0	1075.0	440.0	1307.0	3974.0	958.0	3642.0	133.0	112.0	781.0
JAK3_E15_STA101115	8286.0	3624.0	14071.0	1674.0	917.0	3900.0	6583.0	2699.0	2594.0	14138.0	3374.0	21264.0	38311.0	39003.0	522.0	199.0	310.0	8704.0	651.0	3481.0	1787.0	3586.0	14516.0	3075.0	16188.0	687.0	323.0	4232.0
JAK3_E15_STA101116	4451.0	24.0	9398.0	302.0	339.0	2417.0	3747.0	1687.0	1853.0	7506.0	2409.0	10968.0	8827.0	24693.0	357.0	80.0	78.0	4602.0	92.0	2145.0	1113.0	2884.0	8592.0	20.0	8238.0	316.0	266.0	910.0
JAK3_E14_STA101117	1037.0	420.0	2197.0	256.0	68.0	510.0	824.0	320.0	388.0	1279.0	597.0	2797.0	5690.0	6808.0	46.0	6.0	25.0	990.0	104.0	525.0	196.0	509.0	1764.0	461.0	1794.0	68.0	46.0	477.0
JAK3_E14_STA101118	5054.0	2084.0	9047.0	778.0	467.0	2741.0	3876.0	1691.0	2387.0	6804.0	2425.0	12338.0	16749.0	26174.0	527.0	178.0	257.0	5143.0	236.0	2304.0	1488.0	2604.0	8252.0	1992.0	6885.0	344.0	445.0	2577.0
JAK3_E13_STA102058	4880.0	2055.0	12935.0	930.0	535.0	2886.0	6485.0	2305.0	2456.0	8991.0	2702.0	15026.0	22039.0	28970.0	388.0	164.0	176.0	7210.0	440.0	2252.0	1774.0	4746.0	10622.0	2398.0	10197.0	490.0	278.0	2517.0
JAK3_E12_STA101121	13008.0	4189.0	30784.0	2876.0	1460.0	8395.0	13570.0	4438.0	6924.0	24702.0	7264.0	36725.0	54214.0	74862.0	995.0	223.0	474.0	16809.0	794.0	6466.0	4105.0	10165.0	22949.0	6357.0	22587.0	1407.0	716.0	6310.0
JAK3_E12_STA101122	2390.0	1329.0	5110.0	701.0	371.0	1767.0	2668.0	766.0	1056.0	5035.0	921.0	7223.0	9186.0	12543.0	119.0	72.0	199.0	2818.0	141.0	1012.0	840.0	1457.0	5333.0	1227.0	4922.0	234.0	72.0	1132.0
