	C21D00284	C21D00304	C21D00307	D21D00280T	D21D00289	D21D00299	D21D00327T	D21D00329T	D21D00335T	D21D00342T	M21D00265	M21D00302	N21D00272	N21D00273	N21D00290	N21D00301	N21D00310	P21D00308	P21D00309	P21D00322	P21D00332	P21D00334	P21D00338	P21D00341	P21D00343	P21D00346	S21D00266	U21D00339	X21D00263	X21D00340
TERT_E2_STA101812	2030.0	913.0	6668.0	694.0	6053.0	3128.0	3588.0	1058.0	2600.0	7518.0	1533.0	3248.0	8984.0	701.0	6268.0	672.0	170.0	4800.0	1291.0	2721.0	1708.0	6951.0	3009.0	814.0	536.0	914.0	314.0	12.0	544.0	1076.0
TERT_E2_STA101811	2032.0	792.0	6338.0	678.0	5822.0	3266.0	3907.0	884.0	2812.0	7309.0	1475.0	3373.0	9532.0	628.0	6694.0	622.0	214.0	4635.0	1967.0	2315.0	2180.0	5847.0	2622.0	974.0	498.0	961.0	347.0	26.0	457.0	1025.0
TERT_E2_STA102079	2001.0	728.0	5622.0	607.0	5859.0	3166.0	3462.0	1275.0	2435.0	6672.0	1496.0	3426.0	9527.0	639.0	6204.0	691.0	166.0	4057.0	1840.0	2379.0	2201.0	6365.0	2508.0	781.0	380.0	780.0	346.0	44.0	548.0	1234.0
TERT_E2_STA101197	848.0	374.0	2699.0	287.0	2704.0	1134.0	1346.0	367.0	730.0	2485.0	421.0	1727.0	3714.0	216.0	2372.0	282.0	42.0	1879.0	790.0	1093.0	697.0	2465.0	915.0	252.0	165.0	342.0	184.0	28.0	147.0	428.0
TERT_E2_STA102080	642.0	277.0	2018.0	220.0	1956.0	735.0	919.0	269.0	497.0	1780.0	272.0	1266.0	2834.0	152.0	1683.0	204.0	28.0	1232.0	592.0	761.0	529.0	1868.0	595.0	199.0	115.0	236.0	138.0	22.0	135.0	281.0
TERT_E2_STA103243	312.0	140.0	1215.0	167.0	1349.0	535.0	523.0	197.0	368.0	1020.0	196.0	769.0	1622.0	146.0	1070.0	122.0	49.0	894.0	409.0	439.0	296.0	1183.0	331.0	181.0	52.0	166.0	78.0	2.0	104.0	154.0
TERT_E2_STA103247	1194.0	536.0	3904.0	572.0	3878.0	1871.0	1738.0	615.0	1164.0	3605.0	899.0	2439.0	5783.0	483.0	3536.0	417.0	115.0	2773.0	1251.0	1402.0	1338.0	4170.0	1313.0	390.0	332.0	512.0	205.0	19.0	205.0	675.0
TERT_E2_STA102076	1186.0	497.0	4630.0	398.0	4054.0	1942.0	2060.0	647.0	1532.0	4012.0	614.0	2713.0	6507.0	521.0	4387.0	419.0	82.0	3557.0	1080.0	1853.0	1211.0	4221.0	1631.0	564.0	300.0	484.0	215.0	28.0	176.0	701.0
TERT_E2_STA101206	578.0	300.0	1944.0	232.0	1790.0	487.0	960.0	320.0	480.0	1469.0	182.0	1845.0	3033.0	220.0	1982.0	231.0	60.0	1524.0	619.0	858.0	538.0	1611.0	481.0	241.0	127.0	283.0	118.0	2.0	114.0	379.0
RICTOR_E38_STA101453	420.0	212.0	612.0	560.0	427.0	188.0	831.0	150.0	260.0	2153.0	378.0	682.0	504.0	210.0	564.0	194.0	86.0	1094.0	344.0	772.0	182.0	920.0	1061.0	166.0	132.0	174.0	206.0	20.0	262.0	246.0
RICTOR_E37_STA101454	1692.0	772.0	2297.0	3242.0	2196.0	878.0	3413.0	1034.0	1205.0	10458.0	1927.0	2783.0	2292.0	654.0	2206.0	1028.0	254.0	4222.0	1294.0	2818.0	867.0	3907.0	4178.0	654.0	596.0	828.0	656.0	162.0	1380.0	1471.0
RICTOR_E36_STA101455	220.0	114.0	298.0	487.0	377.0	96.0	413.0	119.0	132.0	1699.0	180.0	316.0	406.0	110.0	358.0	144.0	14.0	650.0	154.0	424.0	52.0	416.0	685.0	120.0	84.0	108.0	195.0	16.0	234.0	144.0
RICTOR_E35_STA101456	3877.0	1541.0	5486.0	7557.0	4489.0	1702.0	6931.0	1814.0	2655.0	20446.0	5102.0	5236.0	5657.0	1641.0	5772.0	2263.0	629.0	9846.0	2813.0	6701.0	1780.0	9354.0	9515.0	1497.0	1362.0	1752.0	2135.0	345.0	3283.0	3387.0
RICTOR_E34_STA101457	1799.0	992.0	1527.0	3885.0	1491.0	303.0	2730.0	1042.0	796.0	8341.0	804.0	3909.0	1758.0	669.0	1752.0	1114.0	220.0	3211.0	1406.0	2389.0	584.0	2517.0	2878.0	625.0	325.0	757.0	744.0	137.0	1434.0	1253.0
RICTOR_E33_STA101458	4345.0	2476.0	5905.0	9019.0	6863.0	1986.0	10350.0	2696.0	3121.0	29986.0	4787.0	7140.0	7571.0	1857.0	7234.0	3075.0	662.0	14164.0	3877.0	9013.0	1948.0	9680.0	13326.0	1958.0	1384.0	2242.0	3694.0	429.0	4996.0	4316.0
RICTOR_E32_STA101737	1325.0	724.0	1957.0	3152.0	1831.0	594.0	2751.0	983.0	985.0	7447.0	1834.0	2201.0	1987.0	509.0	2060.0	896.0	243.0	3856.0	1160.0	2061.0	715.0	3358.0	3297.0	591.0	562.0	654.0	806.0	128.0	1411.0	1322.0
RICTOR_E31_STA101460	5388.0	2035.0	6238.0	11354.0	7423.0	2854.0	9802.0	3192.0	4392.0	29626.0	7701.0	7672.0	7166.0	2086.0	7227.0	3329.0	862.0	12583.0	4134.0	9225.0	2465.0	12612.0	16167.0	2310.0	1690.0	2616.0	2974.0	584.0	4923.0	5057.0
RICTOR_E31_STA101461	1789.0	1153.0	2722.0	4260.0	2224.0	791.0	3955.0	1020.0	1539.0	12169.0	2416.0	3141.0	3097.0	932.0	3008.0	1300.0	345.0	5312.0	1472.0	3655.0	985.0	4811.0	6107.0	818.0	622.0	930.0	1526.0	304.0	1960.0	1881.0
RICTOR_E30_STA101462	5414.0	2339.0	6337.0	12291.0	6816.0	2691.0	8662.0	3298.0	3741.0	29756.0	6595.0	8177.0	6781.0	2117.0	7275.0	3697.0	916.0	12840.0	4456.0	8471.0	2640.0	12394.0	14953.0	2384.0	1774.0	2641.0	3447.0	631.0	5733.0	4621.0
RICTOR_E29_STA101740	14894.0	6480.0	15789.0	30964.0	15987.0	5856.0	24065.0	7626.0	10153.0	71205.0	19094.0	19688.0	19233.0	5911.0	18071.0	9324.0	1897.0	33075.0	8852.0	21829.0	7269.0	32863.0	34522.0	5967.0	3938.0	5834.0	7600.0	1393.0	15698.0	11542.0
RICTOR_E28_STA101464	1197.0	732.0	2026.0	2942.0	1782.0	780.0	2464.0	825.0	973.0	8110.0	1668.0	1605.0	2077.0	414.0	2428.0	796.0	184.0	4207.0	732.0	2439.0	555.0	2644.0	3833.0	595.0	513.0	572.0	1101.0	119.0	1131.0	1024.0
RICTOR_E26_STA101466	4098.0	2177.0	5700.0	11069.0	5223.0	1784.0	7590.0	2985.0	2843.0	22159.0	6016.0	6262.0	5920.0	1843.0	5815.0	3470.0	640.0	10415.0	3145.0	7102.0	1934.0	10414.0	10580.0	2284.0	1486.0	2047.0	2417.0	412.0	5208.0	3924.0
RICTOR_E25_STA101467	1615.0	796.0	3003.0	3491.0	2304.0	882.0	3600.0	1188.0	1193.0	10483.0	2196.0	2975.0	2875.0	787.0	2722.0	1175.0	171.0	4161.0	1198.0	2983.0	798.0	3818.0	4030.0	824.0	490.0	670.0	895.0	172.0	1487.0	1488.0
