	D21D00353	D21D00358T	D21D00362	D21D00364	E21D00361	N21D00347	N21D00348	P21D00345	P21D00352	P21D00354	P21D00356	P21D00357	P21D00359	P21D00365	X21D00316	X21D00317	X21D00318	X21D00355
JAK3_E19_STA101108	4470.0	12655.0	38072.0	8199.0	17171.0	23800.0	10230.0	923.0	12166.0	14552.0	15443.0	12890.0	7311.0	6629.0	11100.0	3390.0	9317.0	12492.0
JAK3_E19_STA101109	2148.0	6712.0	17475.0	3850.0	9381.0	12432.0	7087.0	432.0	7809.0	7757.0	9404.0	7096.0	4837.0	3603.0	6270.0	1944.0	4477.0	6297.0
JAK3_E18_STA101110	339.0	1289.0	3745.0	820.0	2095.0	2560.0	1030.0	134.0	1295.0	1074.0	1308.0	1625.0	711.0	634.0	800.0	297.0	868.0	1266.0
JAK3_E17_STA101111	343.0	1142.0	3122.0	654.0	1324.0	2122.0	859.0	113.0	1227.0	1401.0	1116.0	1317.0	813.0	524.0	924.0	290.0	890.0	1196.0
JAK3_E17_STA101112	12248.0	35926.0	93830.0	16999.0	62475.0	62009.0	34500.0	2991.0	43117.0	41290.0	43480.0	31302.0	26815.0	15758.0	31384.0	10291.0	20808.0	35618.0
JAK3_E16_STA101114	684.0	2748.0	8391.0	1667.0	3687.0	4950.0	1855.0	321.0	2645.0	2289.0	2821.0	2520.0	1964.0	1413.0	2399.0	897.0	1860.0	2555.0
JAK3_E15_STA101115	2977.0	10592.0	27077.0	5113.0	13923.0	20875.0	9612.0	688.0	10525.0	8772.0	11231.0	11075.0	6955.0	6119.0	6755.0	2244.0	6388.0	10055.0
JAK3_E15_STA101116	1819.0	2840.0	16442.0	2563.0	5542.0	10335.0	5463.0	252.0	2284.0	6550.0	6522.0	5354.0	4404.0	3187.0	5010.0	1379.0	4252.0	5775.0
JAK3_E14_STA101117	728.0	2654.0	7585.0	1424.0	2456.0	4638.0	1773.0	168.0	2154.0	2489.0	3115.0	2834.0	1677.0	1586.0	1938.0	899.0	1955.0	2920.0
JAK3_E14_STA101118	2972.0	9694.0	27798.0	4137.0	14065.0	17975.0	7652.0	780.0	11416.0	10050.0	11802.0	10632.0	8742.0	5240.0	7587.0	2614.0	5201.0	8009.0
JAK3_E13_STA102058	3452.0	9877.0	25274.0	4338.0	18591.0	14744.0	9180.0	842.0	13230.0	11626.0	11989.0	9681.0	6851.0	5139.0	8621.0	2493.0	6849.0	9003.0
JAK3_E12_STA101121	4868.0	15438.0	41015.0	7779.0	28636.0	26812.0	13327.0	1506.0	19552.0	15973.0	18010.0	15094.0	11221.0	8698.0	13404.0	4035.0	8862.0	14312.0
JAK3_E12_STA101122	1243.0	2989.0	9293.0	1608.0	5923.0	5113.0	2068.0	360.0	3572.0	3484.0	4070.0	3941.0	1991.0	1842.0	1820.0	630.0	2024.0	2668.0
JAK3_E11_STA101123	3926.0	9112.0	24292.0	5391.0	12996.0	16115.0	7156.0	631.0	7793.0	8801.0	9793.0	9737.0	6693.0	5311.0	7651.0	2530.0	6092.0	8799.0
JAK3_E11_STA101124	3309.0	9541.0	22625.0	6676.0	11124.0	20332.0	9390.0	1116.0	11248.0	10542.0	12075.0	10743.0	7558.0	5932.0	7529.0	2576.0	6934.0	7587.0
JAK3_E10_STA101125	1046.0	3518.0	10328.0	2023.0	4795.0	5986.0	3114.0	298.0	4080.0	4693.0	4746.0	4247.0	2365.0	2385.0	2752.0	1177.0	2496.0	3836.0
JAK3_E10_STA101126	2006.0	6514.0	19478.0	3340.0	7693.0	11866.0	5267.0	602.0	7030.0	7901.0	8385.0	7581.0	5875.0	3723.0	5692.0	1908.0	4061.0	7096.0
JAK3_E9_STA101127	5767.0	12343.0	33212.0	7933.0	18684.0	21848.0	9845.0	1209.0	13440.0	12981.0	14620.0	13904.0	9102.0	6801.0	10300.0	3730.0	8560.0	13505.0
