	M21D00182	M21D00185	M21D00194	M21D00219	N21D00184	N21D00213	N21D00214	N21D00217	N21D00218	N21D00223	P21D00158	P21D00159	P21D00164	P21D00165	P21D00169	P21D00170	P21D00173	P21D00180	P21D00181	P21D00186	P21D00189	P21D00190	P21D00191	P21D00195	P21D00200	P21D00209	P21D00210	P21D00215	P21D00221	P21D00222	X21D00163
NF1_E34_STA100880	3365.0	3298.0	1401.0	144.0	2440.0	1597.0	3578.0	1349.0	1018.0	1959.0	588.0	2503.0	4363.0	4017.0	4598.0	3488.0	1474.0	2897.0	965.0	2403.0	6526.0	2160.0	2598.0	838.0	5251.0	3424.0	648.0	2720.0	4135.0	2047.0	704.0
NF1_E34_STA100881	4862.0	5207.0	3371.0	258.0	3639.0	2437.0	6129.0	2605.0	1487.0	4214.0	768.0	4915.0	6435.0	6277.0	7124.0	5631.0	3045.0	6836.0	1863.0	3620.0	10698.0	3132.0	3537.0	1986.0	8604.0	5433.0	860.0	5062.0	6693.0	4031.0	759.0
NF1_E34_STA100882	4605.0	5929.0	3019.0	466.0	3656.0	2300.0	5836.0	2152.0	1527.0	3479.0	868.0	4132.0	6277.0	5302.0	7300.0	5371.0	2467.0	5856.0	1708.0	3915.0	9700.0	3218.0	3881.0	1618.0	8261.0	5027.0	897.0	4416.0	6684.0	3556.0	927.0
NF1_E35_STA100883	1864.0	1399.0	608.0	38.0	1316.0	690.0	1744.0	658.0	411.0	1209.0	226.0	1196.0	1798.0	2290.0	2771.0	1383.0	820.0	1417.0	539.0	1260.0	3157.0	1017.0	1233.0	318.0	2938.0	1854.0	396.0	1442.0	2410.0	871.0	276.0
NF1_E35_STA100884	5354.0	5285.0	2264.0	214.0	3243.0	2240.0	4502.0	1956.0	1282.0	3082.0	744.0	4339.0	5923.0	5919.0	6478.0	4684.0	2090.0	4558.0	1519.0	3134.0	8663.0	2353.0	3274.0	1224.0	7399.0	5622.0	937.0	3972.0	6065.0	2952.0	509.0
NF1_E35_STA100885	6571.0	6618.0	3420.0	309.0	6228.0	2795.0	7902.0	3269.0	1491.0	5070.0	1012.0	4850.0	6961.0	6692.0	11194.0	7650.0	3455.0	6586.0	2134.0	5506.0	13430.0	4079.0	5130.0	2102.0	11309.0	5240.0	1348.0	6883.0	9322.0	4999.0	788.0
NF1_E36_STA101837	5223.0	5092.0	2178.0	222.0	4162.0	2584.0	5336.0	1846.0	1321.0	3177.0	799.0	4506.0	6098.0	6554.0	7453.0	4699.0	2324.0	5381.0	1424.0	3603.0	9851.0	2785.0	3818.0	1157.0	8137.0	5925.0	769.0	3668.0	6106.0	3261.0	1066.0
NF1_E36_STA100887	2695.0	2560.0	1026.0	132.0	1841.0	1200.0	2504.0	920.0	649.0	1540.0	395.0	2317.0	3122.0	3353.0	3636.0	2558.0	1202.0	2424.0	797.0	2121.0	5663.0	1471.0	1873.0	664.0	4038.0	2710.0	364.0	1907.0	3697.0	1670.0	520.0
NF1_E37_STA100888	2204.0	1318.0	640.0	66.0	1475.0	956.0	2137.0	690.0	588.0	1182.0	240.0	1088.0	2168.0	2720.0	2816.0	1547.0	869.0	1358.0	516.0	1344.0	3120.0	1494.0	1460.0	440.0	1834.0	2064.0	402.0	1438.0	2316.0	1032.0	458.0
NF1_E37_STA100889	571.0	648.0	356.0	30.0	768.0	405.0	924.0	340.0	200.0	660.0	86.0	589.0	918.0	890.0	1275.0	928.0	462.0	694.0	264.0	692.0	1742.0	666.0	547.0	266.0	1458.0	612.0	130.0	741.0	1404.0	574.0	114.0
