	D21D00904T	D21D00908T	D21D00917T	D21D00921T	D21D00937	D21D00941T	D21D00942	D21D00943	D21D00948	D21D00949	D21D00952	N21D00923	N21D00932	N21D00946	U21D00938	X21D00911	X21D00918HPV
RB1_E21_STA100704	2257.0	6791.0	3649.0	3464.0	1496.0	1172.0	586.0	2223.0	2541.0	1257.0	2918.0	4065.0	5383.0	4001.0	530.0	2452.0	2595.0
RB1_E22_STA100706	7880.0	21684.0	10987.0	14478.0	4993.0	8066.0	3618.0	9192.0	11861.0	4910.0	13062.0	15577.0	20911.0	14162.0	2490.0	11783.0	15442.0
RB1_E22_STA100707	8218.0	22119.0	11574.0	15435.0	5366.0	9298.0	2946.0	9602.0	10574.0	4898.0	15055.0	16327.0	20429.0	14543.0	2660.0	11535.0	15809.0
RB1_E23_STA101818	16489.0	42769.0	17803.0	26087.0	9691.0	14462.0	5288.0	18622.0	23930.0	7930.0	23567.0	28189.0	45298.0	28478.0	4434.0	24015.0	26313.0
RB1_E23_STA100709	4895.0	13096.0	7542.0	10613.0	2874.0	6909.0	2238.0	6694.0	7580.0	2980.0	11595.0	10897.0	14765.0	8243.0	2129.0	8352.0	9755.0
RB1_E24_STA100710	3619.0	7663.0	4872.0	7147.0	1615.0	2616.0	1353.0	2250.0	4038.0	1903.0	6421.0	6069.0	7562.0	4802.0	995.0	3501.0	5707.0
RB1_E25_STA100711	2217.0	6865.0	3738.0	4795.0	1287.0	2700.0	836.0	2463.0	3138.0	1450.0	4221.0	4494.0	6129.0	3066.0	743.0	3594.0	4598.0
RB1_E25_STA100712	24299.0	47353.0	28658.0	42052.0	9904.0	20505.0	6677.0	22203.0	29782.0	11854.0	35527.0	34901.0	48805.0	36910.0	5483.0	24483.0	33456.0
RB1_E25_STA101817	18280.0	38876.0	22723.0	30743.0	6885.0	16641.0	5798.0	16331.0	23783.0	9638.0	29835.0	25293.0	36694.0	28068.0	4555.0	20200.0	26084.0
RB1_E26_STA100714	3222.0	5823.0	4373.0	6078.0	1782.0	1983.0	1276.0	3440.0	3669.0	1968.0	4397.0	6367.0	7306.0	4425.0	1235.0	3253.0	4314.0
RB1_E27_STA100715	34917.0	55141.0	33899.0	52125.0	14045.0	26877.0	10429.0	28980.0	39801.0	14802.0	38968.0	48220.0	69582.0	49626.0	6522.0	30795.0	40667.0
AKT1_E5_STA100038	541.0	12092.0	1330.0	1738.0	1166.0	3375.0	787.0	3113.0	2144.0	1332.0	3852.0	6674.0	10475.0	5644.0	464.0	7018.0	4861.0
AKT1_E5_STA100039	2027.0	27419.0	1735.0	4348.0	2108.0	5695.0	1229.0	7067.0	4999.0	2471.0	6689.0	13484.0	21575.0	12062.0	969.0	14936.0	8516.0
AKT1_E4_STA100040	1017.0	25412.0	2438.0	2965.0	2018.0	7455.0	1473.0	6553.0	4067.0	1881.0	6641.0	11725.0	20902.0	8850.0	521.0	16536.0	9151.0
AKT1_E4_STA100041	891.0	13112.0	836.0	1901.0	1506.0	3093.0	707.0	3995.0	2126.0	1213.0	2991.0	6006.0	12251.0	6044.0	216.0	7180.0	4640.0
MAP2K1_E2_STA100042	603.0	2820.0	1371.0	1749.0	440.0	1273.0	486.0	1146.0	1140.0	584.0	2559.0	3142.0	3673.0	2659.0	199.0	1363.0	1460.0
MAP2K1_E2_STA100043	14819.0	61088.0	13053.0	24528.0	6643.0	15493.0	5114.0	19025.0	19381.0	7231.0	28819.0	42356.0	49630.0	43003.0	4091.0	33543.0	25457.0
MAP2K1_E2_STA100044	387.0	1650.0	927.0	1413.0	144.0	955.0	410.0	766.0	528.0	343.0	2052.0	1704.0	2239.0	1527.0	248.0	907.0	930.0
MAP2K1_E3_STA100045	5647.0	11393.0	7337.0	13822.0	2413.0	6090.0	2832.0	6835.0	6893.0	3171.0	12132.0	20320.0	25420.0	16931.0	2127.0	5778.0	7913.0
MAP2K1_E3_STA100046	6325.0	20738.0	11183.0	16405.0	2836.0	10548.0	2951.0	8820.0	9095.0	3854.0	19798.0	23243.0	28242.0	19519.0	3160.0	10884.0	11735.0
MAP2K1_E3_STA100047	9689.0	37547.0	9800.0	17990.0	4692.0	10900.0	3597.0	11925.0	13560.0	5941.0	20478.0	29400.0	33200.0	31008.0	2929.0	20645.0	16382.0
MAP2K1_E6_STA100048	5585.0	30360.0	6729.0	11660.0	4087.0	9082.0	2331.0	10340.0	11223.0	3496.0	14152.0	21347.0	30788.0	19594.0	2034.0	17156.0	13313.0
MAP2K1_E6_STA100049	3821.0	22260.0	5976.0	10355.0	2216.0	9908.0	2158.0	8882.0	7740.0	3163.0	14167.0	15548.0	25425.0	13275.0	1598.0	13292.0	11642.0
MAP2K1_E7_STA100050	6740.0	44168.0	10766.0	15947.0	4612.0	14711.0	3673.0	13304.0	13710.0	7102.0	21565.0	28778.0	34819.0	26244.0	2705.0	25948.0	21053.0
MAP2K1_E7_STA100051	7487.0	39987.0	7367.0	15147.0	5187.0	11612.0	2891.0	13924.0	13580.0	5365.0	18261.0	29177.0	40098.0	22896.0	2157.0	21264.0	16334.0
MAP2K1_E7_STA100052	4644.0	29893.0	4795.0	10793.0	3417.0	8404.0	2291.0	10372.0	9016.0	2973.0	13347.0	17046.0	30452.0	18557.0	1538.0	12535.0	11502.0
MAP2K1_E7_STA100053	5236.0	34885.0	6800.0	13344.0	4247.0	14331.0	3514.0	14946.0	11575.0	4984.0	18769.0	22410.0	38122.0	20709.0	2432.0	19349.0	15719.0
MAP2K1_E11_STA100054	1404.0	5317.0	2103.0	2921.0	791.0	2046.0	783.0	2828.0	2010.0	1002.0	3638.0	5977.0	7397.0	5560.0	588.0	2832.0	2405.0
MAP2K1_E11_STA100055	9237.0	35715.0	8719.0	18856.0	3681.0	10978.0	3638.0	10787.0	13809.0	4796.0	24406.0	31982.0	34222.0	26031.0	2925.0	16638.0	15888.0
MAP2K1_E11_STA101612	8857.0	39196.0	9740.0	19281.0	4056.0	15477.0	4042.0	11726.0	12184.0	5359.0	24296.0	27373.0	32499.0	24576.0	3084.0	23469.0	19574.0
IDH2_E4_STA100057	3042.0	26640.0	4010.0	8536.0	2663.0	9392.0	2195.0	7562.0	7787.0	3903.0	11547.0	15056.0	22362.0	13328.0	1051.0	16265.0	12611.0
IDH2_E4_STA100058	1574.0	17460.0	3624.0	5031.0	1597.0	6921.0	1654.0	5227.0	4488.0	2041.0	9392.0	10567.0	14682.0	7363.0	912.0	11474.0	7972.0
PALB2_E13_STA100716	1033.0	1201.0	1046.0	1961.0	354.0	832.0	340.0	949.0	949.0	338.0	2022.0	2434.0	3498.0	2435.0	315.0	1018.0	1123.0
PALB2_E13_STA100717	24967.0	60214.0	21782.0	32783.0	10682.0	20462.0	7768.0	21996.0	22385.0	10609.0	31513.0	39720.0	60042.0	43165.0	5126.0	47634.0	32561.0
PALB2_E13_STA100718	10015.0	25122.0	7308.0	12436.0	4937.0	8190.0	3877.0	8632.0	12755.0	5606.0	22954.0	14360.0	28165.0	21599.0	2905.0	12114.0	19893.0
PALB2_E12_STA100719	874.0	5297.0	2667.0	2989.0	651.0	2955.0	1052.0	2148.0	1578.0	934.0	5226.0	5940.0	7102.0	4855.0	443.0	3017.0	2603.0
PALB2_E12_STA100720	6477.0	21995.0	6534.0	11990.0	3519.0	8521.0	2844.0	8151.0	8843.0	3757.0	14865.0	21739.0	26210.0	18150.0	1907.0	14686.0	11792.0
PALB2_E12_STA100721	16333.0	43415.0	15250.0	25091.0	9147.0	19533.0	6644.0	19420.0	22941.0	9805.0	26765.0	37198.0	55304.0	36421.0	4000.0	39826.0	29324.0
PALB2_E11_STA100722	6794.0	12317.0	8920.0	10721.0	3100.0	6934.0	2383.0	7453.0	6848.0	3637.0	11784.0	15223.0	24978.0	15580.0	1797.0	10501.0	10317.0
