	C21D00050	D21D00052	D21D00060T	D21D00065	D21D00066T	D21D00074T	K21D00053	M21D00054	M21D00075	N21D00042	N21D00061	O21D00086T	P20D02528	P21D00043	P21D00044	P21D00045	P21D00046	P21D00055	P21D00056	P21D00062	P21D00067	P21D00068	P21D00078	P21D00083	P21D00091	U21D00040	X21D00037	X21D00058T	X21D00069	X21D00077
NF1_E11_STA100819	3014.0	1384.0	3985.0	1590.0	3614.0	3012.0	1716.0	3187.0	1261.0	3598.0	3756.0	1587.0	457.0	2668.0	3025.0	1784.0	1890.0	990.0	1170.0	882.0	4476.0	1056.0	254.0	470.0	150.0	2444.0	712.0	1830.0	622.0	644.0
NF1_E12_STA100820	30651.0	17973.0	31490.0	17213.0	31282.0	29715.0	13358.0	25381.0	16013.0	30753.0	43135.0	15500.0	3813.0	18856.0	25731.0	16836.0	15434.0	8997.0	8794.0	9804.0	35484.0	10620.0	2632.0	3972.0	1944.0	20544.0	9536.0	16586.0	6174.0	8117.0
NF1_E12_STA100821	17096.0	11245.0	23873.0	10109.0	21640.0	19794.0	9238.0	20289.0	8743.0	26054.0	19543.0	10376.0	2744.0	14541.0	19140.0	12948.0	11113.0	6154.0	7562.0	5106.0	27208.0	8073.0	1779.0	2863.0	938.0	13728.0	7252.0	12386.0	4710.0	4171.0
NF1_E12_STA100822	2504.0	1455.0	4215.0	1671.0	3135.0	3079.0	1366.0	3624.0	1293.0	3108.0	3122.0	1910.0	498.0	1758.0	2673.0	1911.0	1894.0	952.0	1162.0	913.0	3795.0	1038.0	164.0	748.0	190.0	2696.0	1249.0	2302.0	610.0	508.0
NF1_E13_STA103254	21240.0	11543.0	33054.0	13898.0	24969.0	23782.0	12968.0	24314.0	13418.0	22448.0	29821.0	11840.0	2605.0	14723.0	22594.0	13073.0	12760.0	7378.0	6655.0	6640.0	29246.0	8680.0	1686.0	3291.0	1735.0	16694.0	5140.0	14357.0	5103.0	6167.0
NF1_E13_STA100824	20140.0	9483.0	24909.0	11980.0	22930.0	25596.0	13271.0	21084.0	10679.0	22308.0	21213.0	11058.0	2951.0	16608.0	23121.0	14872.0	13854.0	6590.0	6938.0	6165.0	27053.0	7373.0	1420.0	2402.0	1231.0	14886.0	6290.0	12773.0	4269.0	4783.0
NF1_E13_STA103210	8003.0	3779.0	10591.0	4890.0	9577.0	11876.0	5673.0	9020.0	4363.0	9664.0	8995.0	4329.0	1430.0	7549.0	10145.0	6188.0	5749.0	2874.0	2953.0	2531.0	11520.0	3073.0	623.0	1009.0	482.0	6183.0	2568.0	5078.0	1835.0	1899.0
NF1_E14_STA100826	1008.0	469.0	1043.0	495.0	697.0	803.0	144.0	996.0	179.0	681.0	825.0	404.0	97.0	321.0	778.0	442.0	617.0	195.0	411.0	250.0	1275.0	300.0	52.0	122.0	53.0	511.0	451.0	406.0	124.0	113.0
NF1_E14_STA100827	17295.0	10809.0	14821.0	8784.0	14866.0	11760.0	4437.0	12782.0	6138.0	17099.0	17271.0	6644.0	1547.0	9160.0	12247.0	7532.0	7845.0	3623.0	5246.0	5020.0	16776.0	4571.0	1070.0	2103.0	1257.0	9634.0	4590.0	8303.0	3162.0	3365.0
NF1_E14_STA100828	14494.0	8576.0	16025.0	7809.0	15836.0	12474.0	6617.0	12557.0	7128.0	13567.0	21993.0	5425.0	1660.0	9402.0	14196.0	6877.0	7435.0	3552.0	4187.0	5162.0	18607.0	5389.0	1084.0	1802.0	1393.0	9561.0	4295.0	7617.0	3229.0	4270.0
NF1_E15_STA100829	14326.0	7488.0	11440.0	7551.0	12356.0	11302.0	5795.0	9308.0	6531.0	11546.0	16988.0	6144.0	999.0	6568.0	10221.0	7311.0	6966.0	3427.0	3154.0	3978.0	12422.0	3487.0	791.0	1410.0	972.0	9077.0	2869.0	8450.0	2061.0	3640.0
NF1_E15_STA100830	3726.0	1663.0	4723.0	2111.0	4451.0	3855.0	2161.0	3472.0	1910.0	3599.0	5314.0	1929.0	304.0	2887.0	3404.0	2070.0	2474.0	1333.0	994.0	1039.0	5716.0	1155.0	186.0	416.0	194.0	2649.0	912.0	2543.0	716.0	1031.0
NF1_E16_STA100831	2680.0	1460.0	4635.0	1797.0	3494.0	3403.0	1986.0	3760.0	1626.0	2841.0	3214.0	1852.0	378.0	1988.0	3245.0	2190.0	2349.0	1006.0	1172.0	906.0	4477.0	1272.0	224.0	404.0	130.0	2439.0	1120.0	2287.0	586.0	676.0
NF1_E16_STA100832	10256.0	4730.0	11560.0	5502.0	10537.0	11181.0	5130.0	9296.0	5625.0	10508.0	13979.0	5108.0	1261.0	7167.0	8977.0	5328.0	5522.0	2763.0	2808.0	2879.0	14215.0	3430.0	594.0	1249.0	610.0	6723.0	2522.0	5486.0	2038.0	2588.0
NF1_E17_STA100833	7173.0	4049.0	8879.0	3968.0	7899.0	8202.0	3947.0	7078.0	3588.0	7870.0	8104.0	3954.0	1109.0	5914.0	6562.0	4597.0	4506.0	1859.0	2532.0	2422.0	10830.0	2457.0	585.0	988.0	334.0	5253.0	1918.0	4146.0	1371.0	1814.0
NF1_E17_STA100834	5537.0	3444.0	6324.0	3586.0	6286.0	5869.0	2654.0	5606.0	2699.0	5598.0	4081.0	2910.0	751.0	2676.0	4862.0	3959.0	4152.0	1546.0	2400.0	1822.0	9151.0	1962.0	328.0	743.0	333.0	4169.0	1906.0	3463.0	1079.0	1194.0
NF1_E17_STA100835	10931.0	6743.0	12341.0	5610.0	12072.0	10555.0	6215.0	9807.0	5923.0	11997.0	15009.0	4990.0	1294.0	7241.0	9773.0	6623.0	5792.0	2862.0	3038.0	3180.0	13953.0	3811.0	1175.0	1154.0	823.0	7385.0	3249.0	6924.0	2287.0	2809.0
NF1_E18_STA100836	16006.0	7156.0	11061.0	6522.0	11772.0	8292.0	2968.0	9925.0	4602.0	10631.0	11789.0	4418.0	981.0	5772.0	8862.0	6341.0	6579.0	2745.0	3560.0	3509.0	12411.0	3125.0	723.0	1272.0	758.0	8234.0	4036.0	5491.0	1838.0	1572.0
NF1_E18_STA100837	30755.0	13404.0	20489.0	11775.0	20250.0	16769.0	5375.0	16802.0	8254.0	19432.0	30406.0	7248.0	1964.0	13652.0	16494.0	10505.0	9966.0	4294.0	5633.0	6445.0	24524.0	6718.0	1416.0	2365.0	991.0	12875.0	6717.0	7466.0	4268.0	3032.0
NF1_E18_STA100838	15808.0	8207.0	16139.0	7229.0	16065.0	13768.0	5127.0	14238.0	6754.0	16490.0	18193.0	6223.0	1567.0	10508.0	13374.0	8194.0	7728.0	3660.0	4823.0	4824.0	18059.0	5369.0	1259.0	1810.0	695.0	9149.0	5602.0	6438.0	2842.0	2607.0
NF1_E19_STA100839	4066.0	1744.0	3993.0	1570.0	3386.0	3381.0	1130.0	4616.0	1155.0	4074.0	3696.0	1827.0	499.0	1764.0	3226.0	2261.0	2359.0	685.0	1413.0	992.0	4485.0	1284.0	336.0	582.0	206.0	2427.0	1230.0	1841.0	782.0	712.0
NF1_E19_STA100840	4699.0	2278.0	7185.0	1854.0	5178.0	4483.0	1549.0	5445.0	1537.0	4976.0	5624.0	1913.0	683.0	2908.0	4557.0	2456.0	2684.0	1117.0	1741.0	1337.0	6977.0	1988.0	368.0	585.0	205.0	2910.0	1532.0	2020.0	979.0	646.0
NF1_E20_STA100841	10256.0	6199.0	10506.0	6458.0	10624.0	10733.0	4739.0	7891.0	6595.0	7995.0	10808.0	5279.0	1080.0	4867.0	7871.0	6235.0	5987.0	2536.0	3066.0	3290.0	12596.0	2726.0	718.0	895.0	794.0	5773.0	2837.0	6668.0	1844.0	2752.0
NF1_E20_STA100842	11707.0	7075.0	15619.0	7020.0	15354.0	14870.0	7038.0	11603.0	7336.0	14186.0	15203.0	6941.0	1844.0	9907.0	12852.0	8211.0	6946.0	3926.0	3606.0	4484.0	18558.0	4992.0	875.0	1570.0	702.0	9071.0	3972.0	8490.0	2881.0	3525.0
NF1_E21_STA100843	5948.0	2448.0	7665.0	3301.0	6901.0	6116.0	3042.0	6701.0	2544.0	5994.0	7829.0	3075.0	766.0	4201.0	5827.0	3703.0	4030.0	1867.0	2261.0	1899.0	10062.0	2352.0	511.0	674.0	498.0	3837.0	1915.0	3673.0	1502.0	1334.0
NF1_E21_STA100844	9280.0	4255.0	5677.0	3902.0	7136.0	7786.0	2196.0	4794.0	5305.0	7157.0	9985.0	2534.0	604.0	5547.0	6019.0	3057.0	2957.0	1699.0	1669.0	2705.0	8417.0	2043.0	603.0	811.0	624.0	3937.0	1971.0	3353.0	1495.0	1927.0
NF1_E21_STA101815	11558.0	4257.0	9740.0	3651.0	9439.0	8701.0	3135.0	8510.0	3701.0	9009.0	9707.0	4026.0	1196.0	7225.0	7584.0	4803.0	4886.0	1898.0	3051.0	2763.0	13293.0	3022.0	548.0	1269.0	456.0	5809.0	2779.0	4102.0	1929.0	1521.0
NF1_E21_STA100846	15812.0	6720.0	13599.0	6988.0	14082.0	14304.0	3943.0	12339.0	5731.0	12350.0	14634.0	5635.0	1470.0	5394.0	10130.0	8194.0	8196.0	3432.0	5239.0	3883.0	17864.0	3874.0	1048.0	1541.0	789.0	7265.0	4629.0	6599.0	2610.0	2028.0
