	C21D00575	D21D00569T	D21D00578T	D21D00591	D21D00593	D21D00597	D21D00609T	D21D00611T	M21D00568	M21D00589	N21D00564	N21D00580	N21D00608	P21D00567	P21D00573	P21D00584	P21D00586	P21D00588	P21D00594	P21D00595	P21D00596	P21D00598	P21D00599	P21D00605	P21D00606	T21D00581	X21D00548T	X21D00552	X21D00558	X21D00587	X21D00600
TERT_E16_STA101810	333.0	924.0	1302.0	1032.0	354.0	1199.0	109.0	1269.0	760.0	292.0	358.0	2321.0	737.0	202.0	1408.0	450.0	1721.0	742.0	181.0	286.0	783.0	689.0	300.0	731.0	725.0	1379.0	1467.0	171.0	247.0	277.0	140.0
TERT_E16_STA101158	344.0	1038.0	1142.0	1196.0	487.0	793.0	165.0	1900.0	673.0	410.0	594.0	2497.0	1483.0	130.0	2831.0	664.0	2552.0	983.0	484.0	336.0	1042.0	1921.0	309.0	888.0	686.0	1468.0	809.0	260.0	183.0	175.0	34.0
TERT_E15_STA102081	488.0	1863.0	1421.0	1434.0	581.0	1578.0	58.0	2460.0	1301.0	722.0	886.0	4114.0	2313.0	190.0	3817.0	916.0	3036.0	1443.0	593.0	374.0	1699.0	2553.0	334.0	1383.0	1172.0	2648.0	1543.0	292.0	193.0	142.0	68.0
TERT_E15_STA101160	1984.0	5499.0	4998.0	5561.0	2239.0	4682.0	373.0	7582.0	3274.0	2183.0	3185.0	11830.0	8051.0	835.0	13474.0	4093.0	11689.0	4290.0	1762.0	1609.0	5657.0	7520.0	1535.0	3582.0	3793.0	8105.0	4919.0	1300.0	859.0	750.0	291.0
TERT_E15_STA101161	521.0	1271.0	1416.0	1524.0	523.0	933.0	74.0	2004.0	898.0	588.0	957.0	3496.0	2015.0	235.0	4101.0	831.0	3123.0	1257.0	438.0	401.0	1324.0	1888.0	373.0	1023.0	899.0	1561.0	716.0	305.0	316.0	229.0	48.0
TERT_E14_STA101162	1246.0	3111.0	2694.0	2881.0	1493.0	2788.0	407.0	4444.0	1367.0	1219.0	1672.0	6213.0	3554.0	609.0	6957.0	2209.0	6170.0	2752.0	1358.0	942.0	2730.0	3677.0	1060.0	1798.0	1942.0	5627.0	3448.0	465.0	711.0	458.0	165.0
TERT_E14_STA101163	2069.0	6056.0	3617.0	4719.0	1953.0	5488.0	670.0	7139.0	2712.0	2285.0	2536.0	10943.0	6655.0	976.0	12237.0	4021.0	10632.0	5091.0	2061.0	1503.0	5388.0	6407.0	1683.0	3557.0	3621.0	9570.0	5635.0	1040.0	961.0	835.0	214.0
TERT_E13_STA101164	2267.0	5364.0	5036.0	5218.0	2405.0	4946.0	575.0	4688.0	3085.0	1939.0	2983.0	11702.0	6087.0	1082.0	11657.0	3408.0	9832.0	4269.0	2286.0	1337.0	4603.0	7325.0	1770.0	3683.0	2731.0	6785.0	4485.0	768.0	1008.0	717.0	227.0
TERT_E12_STA101165	1220.0	2214.0	1858.0	1967.0	1041.0	1562.0	221.0	2778.0	835.0	1215.0	1135.0	3384.0	3117.0	368.0	5300.0	1802.0	4682.0	2629.0	1263.0	466.0	2357.0	2861.0	545.0	1348.0	1454.0	3959.0	1871.0	454.0	493.0	366.0	96.0
TERT_E12_STA101166	2879.0	9460.0	7653.0	8115.0	3662.0	8634.0	897.0	12280.0	5597.0	3933.0	3881.0	19027.0	9856.0	2439.0	16862.0	6565.0	15059.0	8414.0	3821.0	2035.0	9367.0	10927.0	2786.0	6061.0	5129.0	12987.0	8135.0	1809.0	1491.0	1334.0	118.0
TERT_E11_STA101167	1296.0	4725.0	3582.0	3206.0	1796.0	4226.0	424.0	5251.0	3200.0	1957.0	2337.0	10271.0	5097.0	845.0	8754.0	2542.0	7367.0	3963.0	1494.0	1070.0	3773.0	5271.0	1201.0	2687.0	2613.0	6677.0	4286.0	1088.0	841.0	776.0	242.0
TERT_E11_STA101168	2175.0	5412.0	5723.0	5662.0	2810.0	4521.0	596.0	8008.0	3800.0	2599.0	3536.0	14345.0	7953.0	1201.0	14531.0	3864.0	11939.0	5807.0	2269.0	1488.0	5629.0	8573.0	1952.0	4071.0	4067.0	7900.0	4161.0	1463.0	1159.0	1220.0	267.0
TERT_E11_STA101169	3352.0	7680.0	9139.0	9175.0	4434.0	6226.0	782.0	12469.0	5374.0	4392.0	5385.0	19292.0	15301.0	1497.0	23085.0	5645.0	20297.0	8473.0	3360.0	2246.0	9135.0	14827.0	2459.0	6903.0	7202.0	11076.0	5710.0	2575.0	1350.0	1967.0	371.0
