	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
17q11_NF1_E18_STA100836	6472	5102	2112	4138	1250	1772	686	1334	12118	8090	2396	2	224	814	1510	2646	562	776	1400	108	18	0	2	4	0	4	0	2	30	2	18	2548
17q11_NF1_E18_STA100837	11883	10563	7631	12214	3545	4100	2619	3247	27339	16666	5108	10	376	2360	3813	5846	1787	2083	3091	535	18	0	2	4	0	6	34	4	30	46	18	6307
17q11_NF1_E18_STA100838	5442	5482	5532	8112	2298	2338	1934	1922	15296	8614	2726	8	152	1556	2312	3214	1228	1314	1698	428	0	0	0	0	0	2	34	2	0	44	0	3774
17q11_NF1_E19_STA100839	5693	5548	1739	3256	1268	1404	432	1294	11975	5834	2405	0	190	1207	1628	2286	711	835	1052	253	0	0	0	0	0	0	2	0	2	2	2	1945
17q11_NF1_E19_STA100840	5814	5639	1769	3300	1283	1419	440	1316	12175	5912	2451	0	192	1228	1644	2324	722	844	1062	254	0	0	0	0	0	0	2	0	2	2	2	1984
17q11_NF1_E20_STA100841	12969	9461	8895	13755	3047	3590	3524	4071	25229	14460	6066	0	386	3070	4580	4916	2929	2640	3128	981	2	2	0	10	0	16	2	6	14	0	84	6430
17q11_NF1_E20_STA100842	13039	9496	8946	13798	3065	3606	3541	4094	25358	14514	6091	0	386	3088	4589	4932	2950	2650	3144	984	2	2	0	10	0	16	2	6	14	0	84	6451
17q11_NF1_E21_STA100843	8161	7170	12721	13696	2600	2977	4647	3720	12627	10380	6443	0	124	3019	3688	4305	2934	2395	2467	1129	2	0	0	0	4	0	0	4	88	10	36	6382
17q11_NF1_E21_STA100844	8164	7172	12730	13702	2600	2978	4648	3721	12634	10384	6448	0	124	3020	3690	4306	2934	2396	2467	1130	2	0	0	0	4	0	0	4	88	10	36	6384
17q11_NF1_E21_STA101815	12572	10260	13204	20052	3990	4916	5150	4292	27457	18861	8488	2	200	3526	5501	6886	3371	3111	3580	1192	4	0	2	2	6	4	12	4	76	14	58	7857
17q11_NF1_E21_STA100846	23255	18188	8181	20304	5413	7509	3127	5010	51414	31667	7094	4	530	3908	7601	10663	3211	3292	4723	875	10	0	4	4	6	6	14	8	20	10	26	7997
17q11_NF1_E21_STA100847	29865	23352	13336	26775	7452	9651	5270	6951	65428	40299	9586	4	718	5659	10140	13716	4500	4632	6482	1464	10	0	6	4	16	6	14	8	44	10	52	11377
17q11_NF1_E21_STA100848	21343	16367	10012	16545	5021	6606	3864	4983	44433	27813	6017	2	598	4178	7158	9111	3086	3224	4642	1110	8	0	4	2	14	2	2	6	34	4	28	8141
17q11_NF1_E22_STA100849	24604	18975	20941	29860	6272	8685	6548	8627	52851	31103	7182	6	593	6679	8213	12203	7133	5605	5521	2096	12	10	6	10	48	6	0	4	26	0	35	11894
17q11_NF1_E22_STA100850	28349	22165	22047	31525	6768	9649	6848	9349	57493	33311	7853	6	616	7234	9288	13315	7500	6157	6004	2304	12	10	6	10	48	6	0	4	28	2	38	12707
17q11_NF1_E22_STA100851	24586	18794	17971	25973	5657	8156	5214	8205	49374	27805	6257	2	518	6109	7759	11558	6388	5066	4858	1954	2	10	6	10	10	6	0	4	8	2	18	10242
17q11_NF1_E23_STA100852	3514	2663	2056	2527	833	1283	643	937	5858	3555	1489	2	30	595	1191	1734	677	722	833	328	0	0	4	0	0	10	0	0	2	3	2	1730
17q11_NF1_E23_STA100853	14266	12048	8301	11432	3513	4571	2871	3704	26731	15420	5814	6	384	2990	4864	6774	2561	3087	3291	1374	2	0	4	0	2	12	54	0	36	8	4	5893
17q11_NF1_E23_STA100854	12783	11108	7211	10440	3181	4014	2593	3202	24335	13681	5111	6	368	2700	4371	6026	2212	2825	2954	1176	2	0	2	0	2	8	54	0	36	8	2	5122
17q11_NF1_E24_STA100855	18646	13678	8594	16266	3711	5477	3021	3721	38384	17281	4789	14	444	4212	4646	7521	2834	3907	3521	1199	6	4	2	4	4	8	2	4	10	4	2	5868
17q11_NF1_E24_STA103211	18658	13683	8598	16276	3714	5481	3020	3723	38409	17297	4788	14	444	4212	4647	7525	2836	3908	3524	1198	6	4	2	4	4	8	2	4	10	4	2	5867
17q11_NF1_E25_STA100857	9191	9017	4508	8160	2267	2693	1605	2423	21658	11549	2013	12	204	1938	3328	4809	1612	1442	2244	555	14	2	6	7	8	6	0	0	10	2	52	3613
17q11_NF1_E25_STA100858	7920	7763	3618	7191	1983	2297	1278	1907	18732	10102	1721	12	190	1630	2812	4162	1377	1218	1987	447	9	2	5	8	7	5	0	0	6	2	42	3003
17q11_NF1_E26_STA100859	13209	10468	6052	11772	3316	4587	2162	2852	23637	16836	4707	0	321	2981	5002	5896	2177	2339	2886	888	2	0	0	2	2	0	4	4	40	4	2	4919
17q11_NF1_E26_STA100860	18572	15437	8686	17544	4722	6278	2956	4479	35808	23424	6351	0	434	4114	6849	7609	2934	3625	4022	1178	4	2	2	2	2	0	8	4	42	4	12	7595
17q11_NF1_E26_STA100861	16123	13143	7249	15722	4238	5681	2572	3861	31685	20812	5724	0	400	3753	5956	6661	2539	3243	3677	972	4	2	2	2	2	0	8	2	41	4	10	6618
17q11_NF1_E27_STA100862	18719	14865	6777	10009	3232	4619	2113	3626	30178	15347	2975	26	442	3630	4745	5497	2220	2710	2538	1104	8	4	8	2	2	0	6	2	22	0	70	4314
17q11_NF1_E27_STA100863	20379	16064	7142	10948	3410	4978	2228	3900	33456	17142	3277	26	514	3888	5173	5938	2353	2861	2821	1148	8	4	8	2	2	0	8	2	30	0	82	4693
17q11_NF1_E27_STA100864	21071	15872	12515	14700	4159	5543	4151	5382	37824	22303	4734	12	614	4176	6273	6244	3422	3515	3321	1438	8	4	6	6	2	2	8	2	22	6	94	7168
17q11_NF1_E27_STA100865	7688	5400	6756	6882	1774	2204	2272	2332	15869	10584	2266	0	292	1696	2392	2290	1648	1410	1398	578	0	2	0	4	0	2	4	0	14	6	24	3726
17q11_NF1_E28_STA100866	23086	18175	8942	14434	4808	5524	2822	5669	40534	20206	4078	4	441	4833	6423	8757	3320	3595	4496	1734	2	4	0	0	10	0	4	8	60	2	6	5947
17q11_NF1_E28_STA100867	23099	18187	8958	14448	4809	5524	2828	5672	40558	20220	4083	4	442	4836	6426	8767	3324	3602	4498	1738	2	4	0	0	10	0	4	8	60	2	6	5957
17q11_NF1_E29_STA100868	15414	12879	10368	14637	3101	4410	3532	3900	30195	16902	4399	38	412	3534	5721	6410	2603	2767	3254	1156	0	6	4	4	6	4	2	4	42	6	20	6047
17q11_NF1_E29_STA100869	15512	12894	10438	14731	3136	4477	3554	3913	30500	17140	4402	38	413	3563	5799	6464	2622	2790	3285	1160	0	6	4	4	6	4	2	4	42	6	20	6092
17q11_NF1_E30_STA100870	2798	3598	1922	3153	819	975	590	856	6253	3193	834	0	108	696	928	1885	427	416	734	240	0	0	0	0	0	0	0	0	2	2	2	1336
17q11_NF1_E30_STA100871	4740	5062	2797	4464	1290	1490	825	1171	10010	5346	1421	0	134	1135	1438	2654	682	697	997	354	0	0	0	0	0	0	0	0	2	2	2	1931
17q11_NF1_E30_STA100872	3039	3103	1231	2709	783	909	447	564	6680	3638	909	0	106	639	837	1407	390	399	553	173	0	0	0	0	0	0	0	0	0	0	2	901
17q11_NF1_E31_STA100873	1858	1810	1248	1908	532	732	264	524	4306	2506	388	0	46	412	720	690	292	300	474	144	0	0	0	0	0	0	0	0	0	0	0	892
17q11_NF1_E32_STA100874	26676	16088	26580	27388	5570	7602	9660	8802	53940	30298	8906	322	768	6200	8452	6026	7746	6650	5666	2372	52	4	10	34	6	6	58	6	72	2	448	13722
17q11_NF1_E32_STA100875	33150	20868	32717	33212	7049	9409	11640	11341	66185	37293	11164	324	845	7673	10489	8391	9263	8312	7310	2949	54	6	10	40	8	6	58	6	88	46	486	16983
17q11_NF1_E32_STA100876	6502	4796	6160	5860	1490	1814	1994	2550	12296	7028	2270	2	78	1476	2046	2374	1524	1672	1650	578	2	2	0	6	2	0	0	0	16	44	38	3280
17q11_NF1_E33_STA101832	16650	15104	8363	15529	3378	5206	3389	4261	28761	16833	8074	2	236	3464	5830	8174	3292	2490	4710	1044	10	2	8	4	0	6	4	0	76	20	104	7070
17q11_NF1_E33_STA101823	16652	15104	8364	15531	3380	5206	3390	4262	28762	16834	8074	2	236	3464	5830	8174	3292	2490	4710	1044	10	2	8	4	0	6	4	0	76	20	104	7070
17q11_NF1_E33_STA100879	16649	15102	8362	15529	3380	5206	3389	4261	28758	16831	8074	2	236	3464	5830	8173	3292	2490	4710	1043	10	2	8	4	0	6	4	0	76	20	104	7068
17q11_NF1_E34_STA100880	7861	7207	4088	8344	2115	2562	1802	2040	15247	9823	2457	2	156	1907	2646	3900	1123	1633	1880	598	42	0	28	0	4	0	10	0	8	0	39	3276
17q11_NF1_E34_STA100881	13561	11057	9871	14963	3667	4006	3673	3624	27250	18172	4740	2	222	3332	4673	6251	2371	2779	3216	1040	42	0	28	0	4	4	10	0	80	24	82	7103
17q11_NF1_E34_STA100882	11410	8715	8203	12897	3091	3270	3008	2880	23060	15807	3793	0	122	2615	4032	5025	1922	2255	2754	762	36	0	28	0	2	4	10	0	80	24	82	6016
17q11_NF1_E35_STA100883	1248	1348	800	978	296	364	176	434	2794	1142	274	0	16	390	424	586	226	234	222	58	0	0	0	0	0	0	0	0	0	2	12	520
17q11_NF1_E35_STA100884	8123	6643	3423	5016	2107	2752	951	1704	15828	8152	1634	0	64	1796	2650	3344	893	1475	1786	303	4	0	2	4	2	2	0	0	6	2	106	2691
17q11_NF1_E35_STA100885	6888	5302	2626	4046	1812	2392	776	1272	13070	7020	1364	0	48	1408	2228	2760	672	1242	1568	246	4	0	2	4	2	2	0	0	6	0	94	2176
17q11_NF1_E36_STA101837	6965	8046	6823	8653	1887	1881	2506	2429	12343	6970	2805	0	120	2379	2115	4750	1749	1619	1724	729	0	4	0	2	0	0	2	2	16	0	24	3405
17q11_NF1_E36_STA100887	6969	8048	6830	8653	1888	1880	2507	2430	12361	6970	2806	0	120	2379	2117	4751	1746	1623	1725	730	0	4	0	2	0	0	2	2	16	0	24	3403
17q11_NF1_E37_STA100888	2516	2372	1138	2045	428	624	362	808	4062	2588	676	0	58	474	910	872	340	356	586	102	2	0	0	2	2	0	2	0	2	0	20	1127
17q11_NF1_E37_STA100889	5628	5252	2571	4591	1040	1573	686	1755	11592	6120	1539	0	150	1282	1841	2202	823	816	1180	303	4	4	0	4	2	0	2	0	2	0	24	2125
17q11_NF1_E37_STA100890	9914	8156	3417	7809	2002	2958	1027	2384	21441	11731	3507	0	202	2525	3254	4703	1370	1626	2218	482	8	4	0	2	0	0	0	0	2	0	24	2948
17q11_NF1_E37_STA100891	9612	8355	3258	7730	1938	3022	978	2296	21313	11769	3490	0	203	2487	3255	4958	1331	1565	2224	489	6	4	0	2	0	0	0	0	2	0	24	2855
17q11_NF1_E37_STA100892	8497	6659	2923	7099	1779	2557	1086	1750	17777	10505	3428	0	114	2286	2843	4580	1182	1360	2051	433	4	0	0	0	0	0	0	0	2	0	20	2847
17q11_NF1_E37_STA100893	2608	1978	1160	2288	494	648	460	452	5185	2856	970	0	4	686	676	1372	370	264	552	160	0	0	0	0	0	0	0	0	0	0	0	1096
17q11_NF1_E38_STA100894	9676	8136	4637	8776	2394	2931	1714	2786	22420	11716	3495	10	166	2238	3250	4573	1419	1687	2308	790	26	76	0	2	6	2	2	6	10	0	18	4048
17q11_NF1_E38_STA100895	14244	13109	8156	14253	3827	4398	2870	4111	33673	17539	5896	10	271	3526	4851	7109	2300	2447	3435	1163	26	78	4	4	10	2	4	6	10	0	22	7024
17q11_NF1_E38_STA100896	13540	13342	7063	11486	3319	4118	2189	3340	30458	17478	5881	2	299	2938	4390	6813	2089	2146	3217	873	4	6	6	2	7	1	2	2	8	0	14	6808
17q11_NF1_E38_STA100897	13498	13748	6680	13482	3749	4535	2148	2916	31190	19265	6137	0	360	3254	5189	7770	2011	2066	3938	790	2	8	6	2	10	2	2	0	18	0	8	7495
17q11_NF1_E38_STA100898	8842	8722	3112	7956	2294	3048	980	1570	19792	13370	3700	0	252	1954	3572	5196	1116	1298	2796	404	2	6	2	0	6	2	0	0	18	0	4	4486
17q11_NF1_E39_STA100899	10138	7563	9005	12269	2752	3272	2776	3012	25887	13314	3358	4	334	2778	4068	4726	2493	2467	2362	888	44	0	16	4	2	2	8	2	26	0	22	5230
17q11_NF1_E39_STA100900	12453	9766	11546	15149	3554	3949	3658	3702	30984	17552	4383	4	414	3327	4864	5697	3094	2874	2844	1084	44	0	16	4	22	2	10	12	26	0	24	6488
17q11_NF1_E39_STA101822	19799	15332	18191	21776	5189	5763	6070	5856	48721	28185	7762	52	543	5134	7497	8571	4542	4899	4261	1874	60	0	16	4	22	2	12	12	30	0	88	10027
17q11_NF1_E39_STA100902	11184	9198	11159	11438	2880	3008	4030	3346	25723	16506	5090	48	216	2956	4140	4541	2576	2784	2240	1120	16	0	2	0	20	2	4	10	6	0	70	5770
17q11_NF1_E40_STA100903	7284	6039	6610	7778	1946	2194	2216	2334	13950	8078	2494	0	90	1805	2368	3525	1470	1584	1732	830	6	0	2	2	0	2	0	0	8	4	14	3557
17q11_NF1_E40_STA100904	9289	7537	7097	8442	2233	2706	2339	2815	17312	9339	2816	0	170	2202	2736	4065	1584	1779	1990	934	6	0	2	2	2	4	0	0	10	4	14	3995
17q11_NF1_E40_STA100905	27545	16914	13268	21617	5663	7723	4744	6262	50941	30998	8032	54	676	6869	8241	8178	5023	5816	5644	2298	12	16	4	0	4	8	2	2	8	2	78	8728
17q11_NF1_E40_STA100906	25857	15266	11716	19774	5260	7088	4172	5811	47770	28725	7253	54	648	6436	7597	7146	4638	5390	5086	2102	6	16	4	0	4	8	2	2	6	2	68	7784
17q11_NF1_E41_STA100907	11174	10266	7312	9983	2578	3236	2862	3424	24669	13938	5778	0	278	2194	3340	5606	2024	1770	2618	740	2	0	2	0	8	12	2	0	6	4	50	5902
17q11_NF1_E41_STA100908	13362	12632	8576	12088	3052	3933	3347	3904	29988	16475	6536	0	302	2647	4286	7198	2314	2206	3159	1078	2	0	2	0	8	12	2	0	8	4	58	6846
17q11_NF1_E41_STA100909	10320	10256	7058	9903	2460	3161	2368	3697	20667	11156	3920	22	222	2164	3684	5181	1740	2035	2275	966	0	0	0	4	8	8	2	4	4	2	52	5506
17q11_NF1_E42_STA100910	9699	8933	6394	9225	2261	2845	2491	2735	20904	11360	3762	22	114	1951	3428	4863	1423	1818	2303	803	0	0	0	4	0	6	0	4	2	0	44	5028
17q11_NF1_E42_STA100911	21913	17103	13792	18656	4594	6130	4349	5376	40555	24302	6664	28	303	4522	6223	9349	3494	4493	4052	1470	4	2	0	4	0	8	4	6	30	52	136	9045
17q11_NF1_E42_STA100912	23518	17629	14146	19283	4838	6596	4359	5224	44099	25652	6715	8	354	5159	6657	9987	3984	4736	4251	1625	34	2	0	2	16	4	8	4	30	64	178	8568
17q11_NF1_E42_STA100913	23360	17146	14835	19120	4877	6593	4296	5526	43417	25683	6576	8	340	5316	6696	9736	4201	4930	4083	1707	34	2	0	2	16	6	8	4	38	64	170	8415
17q11_NF1_E42_STA100914	8942	6605	6165	7589	2065	2610	1951	2404	18432	10198	2909	2	126	2289	2951	3649	1845	1818	1787	704	30	0	0	2	16	4	4	2	8	12	70	3449
17q11_NF1_E43_STA101828	9735	9850	5174	10338	2003	3154	2131	2637	18920	10874	3838	2	121	2405	3379	4317	1996	2050	2367	647	10	3	4	4	1	0	0	8	0	18	49	4631
17q11_NF1_E43_STA100916	10900	10993	5611	11196	2204	3579	2292	3085	21116	11902	4084	2	142	2641	3773	4892	2341	2236	2561	753	10	4	4	4	2	0	0	8	0	18	62	5060
17q11_NF1_E43_STA100917	10474	10559	4854	10073	2065	3291	2094	2768	20922	12399	3796	3	131	2270	3551	4766	2046	1950	2363	692	5	3	3	3	2	0	0	7	14	11	48	4424
17q11_NF1_E43_STA100918	3960	4130	1946	3426	777	1314	864	1362	7576	4924	1509	2	56	804	1525	2032	972	736	856	328	0	2	0	0	2	0	0	0	14	2	26	1664
17q11_NF1_E44_STA101827	3536	4324	2624	4274	786	1254	1062	1008	5694	3140	2076	2	86	1316	1510	1414	1062	704	944	442	0	2	0	0	4	0	0	2	0	0	2	1998
17q11_NF1_E45_STA100920	8828	8396	6046	8936	2404	3276	2250	2096	17540	8680	3454	6	210	2168	3188	5314	1912	1796	2536	1000	2	6	2	8	2	0	2	2	30	0	22	4036
17q11_NF1_E45_STA100921	8826	8395	6045	8933	2404	3275	2249	2096	17534	8676	3453	6	210	2168	3187	5313	1912	1796	2535	999	2	6	2	8	2	0	2	2	30	0	22	4034
17q11_NF1_E46_STA101835	15271	18237	17759	24698	4872	6800	5711	8030	36907	20509	10204	6	352	5078	5684	10134	6833	5352	5668	1658	2	4	2	6	4	44	4	2	14	4	10	11152
17q11_NF1_E46_STA100923	15270	18239	17761	24698	4871	6802	5711	8030	36907	20513	10206	6	352	5077	5683	10135	6832	5352	5667	1658	2	4	2	6	4	44	4	2	14	4	10	11149
17q11_NF1_E47_STA100924	37356	24926	16756	33563	7345	10388	6546	9184	91539	52617	11213	4	1072	8054	10781	13631	7093	6522	8301	1975	168	8	32	4	16	26	6	2	193	40	88	11593
17q11_NF1_E47_STA101816	41557	28427	20592	38581	8375	11497	7952	10695	100061	58821	13411	14	1206	9005	12436	15520	7988	7445	9520	2360	240	10	34	4	16	26	6	6	230	40	156	14244
17q11_NF1_E47_STA100926	34814	23112	15887	31769	6586	8940	6252	7956	84887	49971	11027	14	1058	7162	10272	12578	5892	5698	7952	1792	140	8	32	4	16	6	4	6	210	6	140	11042
17q11_NF1_E48_STA100927	11224	8436	10898	10879	2850	3303	4476	3485	24883	12875	7303	6	156	3304	3436	4521	2193	2750	2812	1480	2	2	18	2	16	6	4	2	26	2	88	6283
17q11_NF1_E48_STA100928	11224	8435	10886	10874	2850	3303	4471	3483	24873	12870	7300	6	156	3304	3431	4518	2193	2748	2811	1480	2	2	18	2	16	6	4	2	26	2	88	6280
17q11_NF1_E49_STA100929	13837	12597	11202	17075	4175	4577	4464	4259	30572	19938	5075	6	265	4002	5481	7132	2624	2818	4012	1290	32	20	2	0	2	0	6	6	8	0	48	6401
17q11_NF1_E49_STA100930	18044	16887	16695	22417	5502	6035	6440	5981	39530	25035	7059	22	344	5152	7078	9499	3819	3957	5266	1838	38	20	2	0	4	18	8	6	22	0	66	9110
17q11_NF1_E49_STA100931	16872	15141	14098	20164	4856	5356	5255	5733	37435	21776	6026	20	372	4579	6123	8542	3821	3547	4434	1640	14	10	2	0	4	20	6	10	26	0	20	8249
17q11_NF1_E49_STA100932	9807	8812	9473	10658	2752	3088	3294	3378	20716	11517	3446	16	246	2474	3392	4624	2714	2234	2648	1044	14	2	2	0	4	20	2	4	18	0	18	5175
17q11_NF1_E50_STA101821	8028	7173	5598	10015	1997	2422	2466	2204	18681	11307	3184	6	120	2144	3117	3876	1588	1743	1744	424	2	0	46	2	0	2	0	0	2	0	16	3326
17q11_NF1_E50_STA100934	8011	7163	5581	9965	1991	2410	2454	2194	18583	11255	3176	6	119	2136	3110	3851	1584	1736	1735	422	2	0	46	2	0	2	0	0	2	0	16	3313
17q11_NF1_E51_STA100935	26126	20048	17197	25587	6768	8445	5345	10226	62550	32492	11065	40	400	5807	8257	11275	5252	4565	6615	1709	10	4	8	10	8	18	14	2	112	64	86	14628
17q11_NF1_E51_STA100936	32301	25268	23274	35236	8342	10911	6901	12368	77508	41164	15941	42	464	7511	10449	15188	6531	6008	8277	2165	10	4	10	12	8	18	16	2	174	64	124	20776
17q11_NF1_E51_STA100937	30488	23795	20422	31085	7672	9936	5375	11413	71927	37085	14955	41	342	6765	9478	13633	6151	5541	7487	2052	6	4	8	8	2	4	8	2	152	64	76	19293
17q11_NF1_E51_STA100938	10207	8918	8893	13048	2705	3663	2489	3335	24594	13264	7571	2	162	2576	3631	5906	1918	2205	3055	851	0	0	2	4	0	0	2	0	64	0	46	9028
17q11_NF1_E52_STA100939	7052	7361	3684	5190	1267	1754	930	1591	12397	6620	1450	4	114	1346	1925	2993	1084	1293	1263	469	2	0	0	4	0	0	2	0	16	0	6	2599
17q11_NF1_E52_STA100940	7067	7367	3697	5210	1270	1755	932	1596	12416	6626	1454	4	114	1347	1928	3006	1084	1298	1266	470	2	0	0	4	0	0	2	0	16	0	6	2607
17q11_NF1_E53_STA100941	9370	8565	6063	10427	2573	2645	2248	2484	18320	11190	2954	2	160	2414	3416	3650	2024	2361	2215	938	0	2	2	0	0	2	0	0	8	2	42	3986
17q11_NF1_E53_STA100942	9395	8580	6070	10446	2578	2652	2250	2488	18356	11214	2958	2	160	2426	3419	3658	2025	2366	2220	938	0	2	2	0	0	2	0	0	8	2	42	3990
17q11_NF1_E54_STA100943	16269	13412	7104	12663	3803	4595	2038	4031	31670	19277	4113	2	313	3849	5683	8422	2110	3406	3825	984	41	4	4	6	4	8	4	6	4	4	8	6203
17q11_NF1_E54_STA100944	17005	14417	7683	13675	4078	4894	2300	4254	33080	20380	4602	2	328	4112	6062	9057	2199	3609	4097	1108	44	4	4	6	4	8	4	6	6	4	12	6564
17q11_NF1_E54_STA100945	15641	13411	7309	12928	3910	4625	2157	3948	30821	19120	4390	2	315	3927	5797	8634	2056	3414	3969	1064	44	4	4	4	4	6	4	4	4	4	6	6210
17q11_NF1_E55_STA101834	11252	10589	5529	8638	2090	3204	1935	2802	19597	11104	3427	0	102	1877	3425	5070	1621	1713	2342	752	8	2	0	2	0	6	0	5	6	6	54	4278
17q11_NF1_E55_STA100947	11436	10676	5613	8756	2122	3256	1964	2841	19941	11272	3472	0	104	1905	3449	5121	1642	1741	2361	766	8	2	0	2	0	6	0	6	6	6	54	4340
17q11_NF1_E55_STA100948	9528	8299	4374	6306	1656	2575	1385	2253	16445	8757	2384	0	82	1494	2625	4038	1257	1400	1727	606	5	1	0	2	0	5	0	4	3	6	41	3145
17q11_NF1_E56_STA100949	4544	3024	2604	3712	1054	1086	1020	776	6834	4764	1906	0	66	880	1452	2020	730	924	824	278	0	0	0	0	0	0	2	0	0	2	4	1996
17q11_NF1_E57_STA100950	10319	9681	8275	13632	2751	3386	3196	3249	23683	14610	3912	34	134	2643	4342	5355	2189	2320	2713	809	32	4	0	2	8	0	6	4	2	2	95	6013
17q11_NF1_E57_STA100951	18252	15973	10342	17144	4227	5211	3820	4556	37730	21355	5211	40	260	4130	6696	8017	2922	3412	3910	1316	34	6	0	6	8	0	12	6	10	20	172	7842
17q11_NF1_E57_STA100952	23828	18747	15086	21996	5688	7229	5191	6149	48295	26966	5691	8	498	5246	8140	8786	4268	4663	5106	1546	2	2	0	6	2	2	14	2	38	28	242	9391
17q11_NF1_E57_STA100953	18883	14219	12749	15476	4386	5433	4132	4862	37485	19361	4213	8	438	4087	5982	6366	3286	3668	3744	1262	2	2	0	4	0	2	8	2	38	26	208	7577
17q11_NF1_E58_STA100954	6830	5985	4233	7596	1907	2253	1494	1964	16826	10372	3187	4	155	1560	2627	3561	1330	1352	1547	421	2	0	4	8	4	18	44	2	10	0	82	3805
17q11_NF1_E58_STA100955	17587	13820	7793	13029	3762	5054	2530	3758	34966	19709	5371	4	338	3238	5056	5914	2734	2863	3058	1064	40	0	8	8	4	18	44	6	38	0	120	6828
17q11_NF1_E58_STA100956	15168	11273	6574	10508	3160	4302	1880	3076	29278	15573	4180	0	304	2800	4238	4848	2274	2362	2457	922	38	0	8	6	2	16	34	4	28	0	62	5644
