	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
4q12_KIT_E14_STA100228	35205	33600	25018	33573	7722	8990	8204	10927	126903	120543	12985	14	659	8616	9446	10833	8928	5788	20433	2919	22	34	4	48	6	14	14	34	78	16	134	16104
4q12_KIT_E14_STA100229	30835	29350	22337	30266	6848	7878	7563	9727	109709	105854	12251	14	622	7843	8416	9959	7972	5264	18728	2645	16	32	4	48	6	10	14	12	78	16	120	14450
4q12_KIT_E15_STA101448	8288	7668	3436	7876	1718	2476	1358	1930	36052	35776	1738	4	128	1418	2154	2064	1076	1298	4512	376	0	2	2	2	0	10	6	38	18	8	2	2760
4q12_KIT_E16_STA101449	58471	55565	38911	58130	13459	16010	15299	15630	249194	252421	14111	27	1897	14461	19293	20886	9279	8534	39195	4076	126	21	78	25	28	75	60	29	90	102	276	24672
4q12_KIT_M4_STA100230	19603	19773	15499	18377	4338	5022	5265	5571	74031	66770	8144	2	396	3661	4524	5860	4932	3403	11568	1579	2	6	4	6	0	10	6	8	6	8	30	10068
4q12_KIT_E17_STA100231	19615	19780	15511	18385	4345	5026	5270	5577	74061	66797	8148	2	396	3661	4524	5862	4935	3404	11577	1580	2	6	4	6	0	10	6	8	6	8	30	10075
4q12_KIT_E17_STA100232	19613	19778	15510	18381	4346	5025	5270	5577	74055	66792	8147	2	396	3661	4524	5860	4935	3404	11578	1580	2	6	4	6	0	10	6	8	6	8	30	10075
4q12_KIT_E18_STA100233	11345	14652	6227	15160	3106	3675	2370	3033	51688	54734	3650	0	298	3002	4910	4408	2488	2327	7317	848	50	0	2	10	10	8	4	10	20	4	30	4814
4q12_KIT_E18_STA100234	11354	14658	6228	15166	3106	3676	2370	3034	51714	54755	3652	0	298	3002	4910	4408	2488	2328	7318	848	50	0	2	10	10	8	4	10	20	4	30	4814
4q12_KIT_E19_STA101450	7924	7004	3394	7128	1720	2004	1254	2020	33054	32290	1772	0	168	1590	2208	2462	1198	1002	3930	324	0	6	2	2	2	0	2	4	20	8	56	3166
4q12_KIT_E20_STA101451	11588	15826	4954	10724	2676	3580	1720	2904	50188	45610	2562	4	340	3652	4046	5612	1464	1492	6466	884	4	12	4	2	4	4	2	40	8	4	58	3838
4q12_KIT_E21_STA101452	21006	17620	16660	17608	4226	4970	5274	5568	78520	76528	11808	6	196	4354	5846	6392	2762	2730	12752	1346	60	4	10	2	8	4	4	2	60	0	152	12760
10q23_PTEN_E1_STA100492	3720	3654	2392	4114	1098	1138	1024	774	4948	520	1222	0	92	786	1204	1754	486	422	756	286	8	2	0	6	0	0	58	0	2	0	30	1574
10q23_PTEN_E2_STA100493	8095	5934	8259	7359	1833	1974	4001	1616	9816	1816	3483	0	96	2028	2335	3450	1882	1886	1964	1098	0	0	0	2	6	0	0	0	0	2	58	5947
10q23_PTEN_E2_STA100494	8098	5936	8262	7362	1833	1974	4002	1616	9817	1816	3484	0	96	2028	2335	3452	1882	1886	1963	1098	0	0	0	2	6	0	0	0	0	2	58	5948
10q23_PTEN_E3_STA100495	4932	4932	6082	6510	1384	1562	3270	1484	7890	1424	2322	6	92	1502	2226	3426	1414	1322	1626	576	0	0	0	0	0	6	4	0	24	22	4	4456
10q23_PTEN_E4_STA100496	9706	9030	7856	9948	2572	3546	3888	2146	10400	1670	3732	12	56	2532	3668	5684	2212	2130	2754	770	0	2	2	0	4	2	2	2	2	12	4	5840
10q23_PTEN_E0_STA100497	12622	12178	9060	12639	3199	3180	5452	2514	14037	2490	3719	0	148	2741	4187	6186	2587	2025	2945	1178	0	2	4	0	0	0	0	16	90	0	16	7913
10q23_PTEN_E5_STA100498	47465	36493	34776	48430	12118	11979	17348	11126	52492	6811	8492	12	1025	10222	14990	21305	11927	9807	10424	3167	6	4	10	38	4	10	40	24	176	32	67	24939
10q23_PTEN_E5_STA100499	46326	35973	32453	48794	12107	12060	15640	11209	52686	6380	7326	12	1003	10066	15042	21414	11360	9611	10304	2764	6	4	6	38	28	10	40	24	90	32	64	22747
10q23_PTEN_E5_STA100500	41377	29879	30669	43081	10677	10452	14349	10145	46616	5375	6039	12	956	9345	12911	18510	10519	8914	8934	2510	8	4	6	38	30	14	40	8	88	32	62	20262
10q23_PTEN_E5_STA100501	6525	5584	4954	7295	1771	1662	2459	1530	8166	1053	1278	0	78	1867	2109	3393	1178	1134	1459	518	2	2	0	0	26	4	0	0	2	0	10	3245
10q23_PTEN_E6_STA100502	19224	13807	5871	12370	3918	4138	2794	2580	21016	2260	2894	2	344	2913	3579	6498	1988	2730	2504	854	0	2	6	0	0	10	0	0	4	2	14	5792
10q23_PTEN_E6_STA100503	32760	21400	15643	23265	6872	7706	7989	5064	35229	5301	7920	2	530	6002	8050	11203	4210	5448	5577	1940	6	4	8	0	0	10	0	10	58	4	24	13406
10q23_PTEN_E6_STA100504	22189	14296	13719	17059	5008	5472	6968	3978	22496	4069	6709	2	458	4838	6410	7830	3505	4190	4166	1621	6	2	2	0	0	10	0	10	58	4	12	10422
10q23_PTEN_E7_STA100505	9386	7394	6630	10051	2216	2535	3914	2177	11699	1924	3449	4	85	2514	2821	3255	2513	2126	2022	888	6	2	0	0	2	4	3	4	7	19	71	5650
10q23_PTEN_E7_STA100506	20141	15881	9684	16216	3876	4858	5459	3496	24117	4062	5280	4	348	3776	5391	7406	3946	3133	4116	1228	6	8	6	0	4	12	6	4	14	22	84	9396
10q23_PTEN_E7_STA100507	17285	12861	8035	12901	3114	4022	4328	2780	20600	3326	3964	2	318	3154	4431	5919	3406	2608	3296	961	4	8	6	0	2	10	4	0	10	22	84	7407
10q23_PTEN_E8_STA101838	16427	14475	12592	16084	3339	3841	6322	3504	17482	2693	3876	39	441	4493	5431	6927	3008	3677	3920	1729	42	0	2	0	8	44	2	2	12	63	101	8185
10q23_PTEN_E8_STA100509	20046	14900	15116	21211	4652	5026	8338	4492	21679	3519	5115	38	509	5488	7123	8526	3683	4605	4776	1979	42	0	2	0	8	42	2	2	12	64	122	10472
10q23_PTEN_E8_STA101829	18448	12036	13318	17140	4064	4398	7251	3844	19266	3045	4322	32	354	4860	6295	7405	3181	3966	4030	1780	42	0	2	0	8	40	2	0	12	64	122	9060
